"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA KUMAR","2 - SALEEM IQBAL SHERVANI","3 - KUNWAR SARVRAJ SINGH","4 - SUNITA SHAKYA","5 - IRSHAD ANSARI ADVOCATE","6 - OM VEER","7 - MOHD. ZARRAR KHAN","8 - JITENDRA SINGH YADAV","9 - NARESH SINGH SOLANKI","10 - PRAMOD KUMAR YADAV","11 - YOGENDRA KUMAR VERMA","12 - CAPTAIN P.C. SHARMA","13 - ARSHADURRAZA KHAN","14 - None of the Above","Total Votes Secured"
1,PRI.PAT.RICHHA,659,584,0,1243,480,385,0,865,865,0,363,11,340,123,4,2,0,0,1,2,4,1,5,9,865
2,"PRI.PAT. UDAYPUR GANESHKHERA",417,346,0,763,282,194,0,476,476,0,183,16,238,32,0,0,0,0,3,1,0,1,0,2,476
3,"PRI.PAT. PADHAULI",460,390,0,850,365,282,0,647,647,0,295,1,103,231,3,2,2,1,0,1,2,0,1,5,647
4,"AMBEDKAR B.I.C. BHUTA R.N.1",670,569,0,1239,403,301,0,704,704,0,434,67,168,18,0,0,2,0,3,0,3,0,3,6,704
5,"AMBEDKAR B.I.C. BHUTA R.N.2",563,463,0,1026,389,307,0,696,696,0,610,9,51,9,0,1,0,2,1,0,1,1,1,10,696
6,"AMBEDKAR B.I.C. BHUTA R.N.3",585,500,0,1085,401,308,0,709,709,0,516,10,96,67,2,1,2,1,6,0,1,0,2,5,709
7,"AMBEDKAR B.I.C. BHUTA R.N.4",587,518,0,1105,353,347,0,700,700,0,595,8,68,14,0,2,1,0,5,0,1,2,1,3,700
8,"PRI.PAT.LADPUR MUDIYA",769,614,0,1383,535,333,0,868,868,0,485,5,231,130,2,1,0,0,2,0,3,3,1,5,868
9,"PRI.PAT.DAULATPUR KARENA ROOM. NO.1",603,490,0,1093,480,347,0,827,827,0,501,17,234,25,2,1,1,1,8,2,9,7,9,10,827
10,"PRI.PAT.DAULATPUR KARENA ROOM. NO.2",361,305,0,666,273,196,0,469,469,0,169,12,242,21,1,1,0,1,4,1,4,2,1,10,469
11,"PRI.PAT. DANDIYA HETRAM",222,204,0,426,170,151,0,321,321,0,231,3,71,3,0,1,0,0,8,0,1,0,0,3,321
12,"PRI.PAT.GAJNERA ROOM. NO.1",711,536,0,1247,449,285,0,734,734,0,471,10,147,95,1,0,2,0,1,0,2,1,0,4,734
13,"PRI.PAT.GAJNERA ROOM. NO.2",343,268,0,611,228,161,0,389,389,0,213,2,60,103,2,2,0,0,2,0,1,0,0,4,389
14,PRI.PAT.MALUA,434,370,0,804,349,241,0,590,590,0,111,5,350,107,1,0,1,0,1,0,5,3,3,3,590
15,"PRI.PAT. AHIROLA",513,459,0,972,366,287,0,653,653,0,505,5,92,41,0,1,0,0,0,0,2,1,1,5,653
16,"PRI.PAT.BRAHAMPUR MO. HUSAIN",342,287,0,629,235,190,0,425,425,0,171,3,98,141,1,0,2,0,0,0,2,2,0,5,425
17,"JU. HAI. ANGADPUR KHAMRIYA",353,319,0,672,269,240,0,509,509,0,283,4,156,61,2,0,0,0,1,0,1,0,0,1,509
18,PRI.PAT.ADEENPUR,322,285,0,607,246,210,0,456,456,0,358,4,80,7,0,1,0,0,1,0,0,1,1,3,456
19,"PRI.PAT.BANJARIYA EI. GAJNERA",213,176,0,389,152,132,0,284,284,0,159,1,104,18,1,0,0,0,0,0,0,0,1,0,284
20,"PRI.PAT. KHARDHA IK. GAJNERA",300,272,0,572,242,195,0,437,437,0,292,3,87,47,2,0,0,0,0,0,0,1,1,4,437
21,"PRI.PAT. MAGRASA ROOM. NO.1",520,443,0,963,368,272,0,640,640,0,355,5,140,118,2,1,0,0,2,0,10,2,2,3,640
22,"PRI.PAT. MAGRASA ROOM. NO.2",388,361,0,749,280,208,0,488,488,0,295,7,78,101,0,0,0,1,1,1,0,0,0,4,488
23,"PRI.PAT.VARNAI KESAUPUR",393,347,0,740,298,235,0,533,533,0,421,6,55,36,0,1,2,1,1,0,1,3,4,2,533
24,"PRI.PAT. KUIYAN RAMPUR",381,282,0,663,278,205,0,483,483,0,156,6,157,138,2,0,3,0,4,0,4,4,0,9,483
25,"HAI. SEC. SCHOOL RAMPURA PRAVEEN",631,525,0,1156,389,291,0,680,680,0,357,8,221,59,3,0,3,1,8,0,1,4,4,11,680
26,PRI.PAT.PATNA,275,227,0,502,213,166,0,379,379,0,92,5,109,163,1,1,2,0,0,0,4,2,0,0,379
27,"JU. HAI. SCHOOL.RUPAPUR",269,242,0,511,196,162,0,358,358,0,131,3,120,96,2,0,0,0,1,1,0,0,0,4,358
28,PRI.PAT.KAKRAKLAN,734,663,0,1397,544,387,0,931,931,0,437,14,257,174,4,1,3,3,0,1,4,3,8,22,931
29,PRI.PAT.KHANDSARA,321,259,0,580,234,218,0,452,452,0,157,4,93,184,0,1,1,0,0,2,2,2,1,5,452
30,"PRI.PAT.GIRDHARPUR JAYDEVRAM",354,301,0,655,249,208,0,457,457,0,264,26,37,118,1,1,1,0,0,1,1,2,0,5,457
31,PRI.PAT.RUPIYAPUR,283,247,0,530,229,185,0,414,414,0,262,0,112,29,0,0,0,0,1,0,0,0,2,8,414
32,"PRI.PAT.DABHORA TA. GANAGAPUR",572,491,0,1063,502,390,0,892,892,0,722,6,63,84,3,0,0,0,1,0,0,0,2,11,892
33,"PRI.PAT.RASOOLPUR BAHANPUR",668,589,0,1257,519,434,0,953,953,0,524,12,197,183,2,0,0,2,2,3,4,0,5,19,953
34,"PRI.PAT.DANDIYA NAVAJISH ALI",515,430,0,945,392,313,0,705,705,0,381,5,297,7,0,0,1,0,0,1,2,1,1,9,705
35,"PRI.PAT.SIMRA BAHOR NAGLA",375,324,0,699,275,283,0,558,558,0,318,3,223,5,2,1,0,0,0,0,2,0,0,4,558
36,PRI.PAT.ATHANA,489,378,0,867,333,142,0,475,475,0,196,8,217,47,0,0,0,0,0,0,3,0,0,4,475
37,"PRI.PAT.AMRTA IK. BUDHAULI",257,218,0,475,193,158,0,351,351,0,80,2,206,61,0,0,0,0,0,0,1,0,0,1,351
38,PRI.PAT.ATHAIN,376,281,0,657,289,174,0,463,463,0,181,13,248,15,0,2,0,1,0,0,3,0,0,0,463
