"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MAHENDRA KUMAR","2 - VINOD KUMAR SONKAR","3 - SHAILENDRA KUMAR","4 - SURESH PASI","5 - MALTI DEVI","6 - RAJENDRA SONKAR","7 - SHRIPAL","8 - SWARNALATA SUMAN","9 - CHHEDDOO","10 - BEENA RANI","11 - MOHAN LAL","12 - None of the Above","Total Votes Secured"
1,"P.V. BADERA ROOM NO. 01",480,377,2,859,204,218,0,422,422,0,9,80,259,39,1,3,4,1,3,4,7,12,422
2,"P.V. BADERA ROOM N. 02",510,410,0,920,218,238,0,456,456,0,20,88,298,14,1,1,7,0,3,10,2,12,456
3,"P.V. SAHIJANI ROOM NO. 1",788,633,0,1421,456,360,0,816,520,0,22,315,404,25,5,7,4,4,4,5,6,15,816
4,"P.V. SAHIJANI ROOM NO.2",310,264,0,574,189,141,0,330,430,0,1,97,218,4,1,4,1,0,0,1,2,1,330
5,"P.V. SHESHPUR",375,290,0,665,200,181,0,381,381,0,8,44,262,34,5,4,2,2,1,3,6,10,381
6,"P.V. ALUVAMAI",505,387,1,893,253,261,0,514,514,0,12,175,280,26,0,2,0,0,1,6,3,9,514
7,"P.V. MOHAMIDPUR",359,298,1,658,210,205,0,415,415,0,1,185,175,24,4,0,3,1,2,5,6,9,415
8,"P.V. BADAGAU ROOM N,1",495,439,0,934,264,296,0,560,460,0,7,212,256,43,4,3,1,4,0,10,11,9,560
9,"P.V. BADGAU ROOM N. 2",401,334,0,735,237,176,0,413,40,0,6,270,116,11,3,1,0,0,0,3,1,2,413
10,"P.V. DULUVAMAI",552,447,2,1001,315,275,0,590,571,0,9,123,389,37,2,2,2,3,4,8,4,7,590
11,"P.V. TIWARIPUR ROOM NO. 1",663,555,1,1219,275,253,0,528,528,0,14,271,176,29,3,3,2,2,3,7,9,9,528
12,"P.V. TIWARIPUR ROOM NO.2",293,265,0,558,163,117,0,280,280,0,9,115,115,21,1,3,0,1,1,3,5,6,280
