"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARUN SHANKAR SHUKLA","2 - BRAJESH PATHAK","3 - SUKHDEV","4 - SWAMI SACHCHIDANAND HARI SAKSHI","5 - SUMIT TEWARI","6 - ANIL KUMAR MISHRA","7 - SHALU DHARMENDRA","8 - ANIL KUMAR CHAUDHARY","9 - ANNU TANDON","10 - ARVIND KUMAR","11 - ROOP NARAYAN SINGH","12 - GIRJA SHANKAR RAJU","13 - SHIVNATH","14 - RAKESH KUMAR","15 - ANIL KUMAR","16 - RAMESHWAR","17 - MOHAMMAD AMIR KHAN","18 - RAJNIKANT","19 - SHIVKANT","20 - AKHILESH KUMAR","21 - CHETRAM PASI","22 - None of the Above","Total Votes Secured"
1,"J.H.S. PURTHYAVA",706,561,0,1267,350,296,0,646,646,0,30,218,4,276,3,1,4,7,78,2,0,0,1,2,2,11,2,1,1,0,1,2,646
2,"G.P.S. PURTHYAVA",326,241,0,567,147,71,0,218,217,0,3,126,0,42,2,0,2,4,16,1,1,2,1,2,0,8,2,1,3,1,0,1,218
3,"P.S. PRATAP KHEDA H/O PURTHYAVA",938,756,0,1694,568,445,0,1013,1013,0,190,460,3,177,2,5,1,10,111,4,1,4,0,3,3,12,3,4,6,4,7,3,1013
4,"P.S. SHISHI",541,429,0,970,304,227,0,531,524,0,76,216,3,94,5,1,1,8,100,1,1,0,6,2,0,8,1,1,1,2,1,3,531
5,"P.S. MANIKAPUR H/O SHISHI",470,374,0,844,291,204,0,495,484,0,14,316,4,80,2,1,1,15,40,1,1,1,1,2,0,11,0,1,0,0,3,1,495
6,"P.S. PARAURI",555,438,0,993,304,240,0,544,544,0,126,221,7,55,6,2,0,5,94,1,1,2,1,2,4,8,1,2,1,0,2,3,544
7,"P.S. MAVAI",866,722,0,1588,477,384,0,861,663,0,61,356,5,293,1,2,3,16,43,1,2,7,10,7,4,21,3,3,3,4,2,14,861
8,"P.S. GODVA",644,488,0,1132,343,279,0,622,622,0,11,232,1,205,2,0,0,7,120,2,1,2,6,0,3,14,4,3,1,1,3,4,622
9,"J.H.S. ADAURA R.N. 1",482,362,0,844,250,205,0,455,344,0,27,154,1,176,4,0,1,7,61,0,0,5,0,0,3,5,1,0,5,2,2,1,455
10,"J.H.S. ADAURA R.N. 2",498,409,0,907,323,218,0,541,466,0,89,78,2,258,1,1,2,10,78,0,0,7,1,1,1,4,0,0,1,4,0,3,541
11,"P.S. CHANDAURA H/O ADAURA",574,461,0,1035,330,205,0,535,344,0,23,73,3,234,4,0,1,9,154,1,1,9,3,1,3,3,3,2,3,2,2,1,535
12,"P.S. KATARA TARAUNA R.N. 1",475,356,0,831,252,183,0,435,435,0,159,53,0,194,0,0,0,2,13,1,0,0,1,0,1,2,3,2,2,1,1,0,435
13,"P.S. KATARA TARAUNA R.N. 2",437,367,0,804,238,215,0,453,424,0,124,168,0,105,3,0,2,9,16,0,0,1,3,0,4,6,2,2,3,0,1,4,453
14,"P.S. NASIRPUR NIMAICHA",481,367,0,848,317,226,0,543,543,0,193,101,2,198,0,0,3,5,23,1,0,6,1,1,0,2,0,2,3,0,0,2,543
15,"P.S. SAMAD",822,646,0,1468,407,339,0,746,746,0,125,215,4,258,0,3,5,11,64,2,1,6,5,3,6,12,3,4,4,3,8,4,746
16,"P.S. KOTHALI",225,174,0,399,130,113,0,243,239,0,38,119,0,52,0,0,0,2,18,1,0,1,4,0,0,3,1,1,0,0,1,2,243
17,"P.S. TIKARA SAMAD",687,585,0,1272,404,337,0,741,739,0,37,116,7,401,2,1,2,8,147,0,0,4,0,1,2,3,2,2,2,2,2,0,741
18,"P.S. MUSALANVA",761,600,0,1361,416,324,0,740,736,0,307,116,3,250,2,0,1,4,32,2,0,8,1,0,2,2,1,2,0,4,2,1,740
19,"P.S. BHURKUNDI R.N. 1",577,529,0,1106,323,307,0,630,500,0,118,45,4,289,5,2,1,6,123,2,2,11,0,2,3,6,1,0,1,3,3,3,630
20,"P.S. BHURKUNDI R.N. 2",416,340,0,756,215,172,0,387,387,0,129,36,4,143,1,1,0,3,47,4,1,0,2,0,1,2,1,1,2,1,3,5,387
21,"J.H.S DHAMIYANA",829,637,0,1466,468,361,0,829,417,0,144,347,5,192,1,2,2,8,93,2,2,7,0,3,3,10,1,1,1,3,0,2,829
22,"P.S. THARIYA",331,269,0,600,174,147,0,321,305,0,96,116,0,64,1,0,0,4,22,0,1,3,4,0,2,4,1,0,2,1,0,0,321
23,"P.S. GOHALI",286,265,0,551,187,160,0,347,188,0,204,58,5,23,1,0,0,2,44,1,1,0,1,2,2,1,1,0,0,1,0,0,347
