"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AFZAL SIDDIQUI","2 - USHA MAURYA","3 - NIRANJAN JYOTI","4 - RAKESH SACHAN","5 - ASHOK MISHRA","6 - ZAINUL ABDIN","7 - MOHAMMAD JAVED","8 - RAMKRISHNA TRIPATHI","9 - RAMLOCHAN SEN","10 - RUKMINI DEVI NISHAD","11 - ARVIND KUMAR","12 - CHANDRABHAN SINGH","13 - RANJANA KAKKAR","14 - SRIDEVI","15 - None of the Above","Total Votes Secured"
1,"P.S. KHASMAU ROOM NO-1",380,328,0,708,176,165,0,341,341,0,205,2,85,29,0,1,0,6,1,2,1,0,1,3,5,341
2,"P.S. KHASMAU ROOM NO-2",473,407,0,880,218,240,0,458,453,0,191,9,37,207,2,3,0,0,0,0,0,3,2,2,2,458
3,"U.P.KHASMAU ROOM NO-1",589,482,0,1071,313,280,0,593,344,0,250,16,289,15,2,3,0,1,0,0,4,1,2,2,8,593
4,"U.P.S. KHASMAU ROOM NO-2",499,385,0,884,244,156,0,400,399,0,128,11,178,64,1,0,1,1,3,0,0,1,1,4,7,400
5,"P.S. IRADATPUR TEJU",267,240,0,507,160,157,0,317,317,0,103,1,23,178,1,1,3,0,0,1,0,2,1,1,2,317
6,P.S.BRAHAMANPUR,318,272,0,590,200,178,0,378,376,0,86,9,209,64,0,0,0,1,2,0,0,0,2,1,4,378
7,P.S.BHOGLPUR,690,585,0,1275,436,383,0,819,818,0,339,33,211,216,3,0,0,4,0,1,1,2,2,3,4,819
8,"P.S.UMARA ROOM NO-1",646,586,0,1232,279,422,0,701,699,0,290,89,183,120,3,2,0,2,3,0,0,0,1,4,4,701
9,"P.S. UMARA ROOM NO-2",298,235,0,533,201,165,0,366,350,0,138,6,37,172,1,4,0,0,0,0,0,1,1,2,4,366
10,"P.S. SUJANIPUR",580,458,0,1038,335,229,0,564,564,0,230,67,175,54,2,0,1,10,3,1,2,2,7,3,7,564
11,"P.S. ISKURI",485,428,0,913,317,286,0,603,603,0,125,34,390,17,1,3,2,3,1,1,3,4,8,4,7,603
12,"P.S. TILKAPUR",435,358,0,793,276,245,0,521,521,0,181,52,48,214,0,1,0,2,1,2,1,2,1,7,9,521
13,P.S.LAUKIYAPUR,793,639,0,1432,458,330,0,788,100,0,159,86,351,154,2,8,1,5,1,3,4,1,4,3,6,788
14,"P.S. PAMBHIPUR",520,445,0,965,360,280,0,640,639,0,116,32,266,178,2,1,3,2,1,2,1,1,7,7,21,640
15,"P.S. RAIPUR HEMLET OF HARDO ROOM NO-1",260,209,0,469,169,109,0,278,278,0,95,9,45,114,4,2,0,1,0,0,1,1,0,2,4,278
16,"P.S. RAIPUR HEMLET OF HARDO ROOM NO-2",636,517,0,1153,365,250,0,615,400,0,162,66,151,200,1,0,0,5,3,3,2,1,4,4,13,615
17,"PANCHAYAT GHAR HARDO",592,493,1,1086,314,231,0,545,474,0,113,19,280,87,1,5,1,10,1,1,2,2,7,6,10,545
18,"P.S. HARDO ROOM NO-1",665,554,0,1219,395,287,0,682,200,0,211,35,336,76,1,1,1,4,3,1,0,3,0,7,3,682
19,"P.S. HARDO ROOM NO-2",584,483,0,1067,358,264,0,622,472,0,184,24,361,15,2,3,0,8,3,0,0,0,6,6,10,622
20,"JANHITKAARI INTER COLLAGE KHAGA ROOM NO-1",629,557,0,1186,421,339,0,760,760,0,15,94,594,34,1,1,2,4,1,0,1,0,3,8,2,760
21,"JANHITKAARI INTER COLLAGE KHAGA ROOM NO-2",613,543,0,1156,399,284,0,683,680,0,60,80,389,142,2,0,0,2,0,0,0,0,1,1,6,683
22,"RAMESH KALYANKAARI  U.P.S. KHAGA ROOM NO-1",592,486,0,1078,333,282,0,615,547,0,410,26,135,24,0,0,0,3,2,1,0,4,1,3,6,615
23,"RAMESH KALYANKAARI  U.P.S. KHAGA ROOM NO-2",501,436,0,937,351,267,0,618,598,0,143,37,357,68,0,1,0,6,0,0,0,0,1,2,3,618
24,"RAMESH KALYANKAARI  U.P.S. KHAGA ROOM NO-3",404,325,0,729,232,183,0,415,413,0,85,29,284,14,1,0,0,1,0,0,0,0,1,0,0,415
25,"RAMESH KALYANKAARI  U.P.S. KHAGA ROOM NO-4",578,490,0,1068,321,299,0,620,600,0,221,51,278,42,1,0,2,5,3,0,0,0,2,6,9,620
26,"RAMESH KALYANKAARI  U.P.S. KHAGA ROOM NO-5",411,328,0,739,213,172,0,385,300,0,242,15,91,19,0,1,1,2,1,1,1,1,4,3,3,385
27,"RAMESH KALYANKAARI  U.P.S. KHAGA ROOM NO-6",595,492,0,1087,310,269,0,579,500,0,94,100,316,37,1,2,0,5,1,2,0,3,3,5,10,579
28,"KAMLA BALIKA INTER COLLAGE KHAGA ROOM NO-1",582,451,0,1033,302,251,0,553,541,0,295,29,38,180,0,0,0,0,1,0,1,1,1,3,4,553
29,"KAMLA BALIKA INTER COLLAGE KHAGA ROOM NO-2",371,320,0,691,266,177,0,443,367,0,54,8,337,38,0,0,0,2,0,0,0,0,2,1,1,443
30,"KAMLA BALIKA INTER COLLAGE KHAGA ROOM NO-3",540,459,1,1000,358,282,0,640,600,0,27,25,533,42,1,0,0,2,0,0,1,1,1,3,4,640
31,"KAMLA BALIKA INTER COLLAGE KHAGA ROOM NO-4",363,333,0,696,230,170,0,400,400,0,90,46,177,71,2,1,1,3,0,0,0,0,2,3,4,400
32,"BLOCK DEVELOPMENT OFFICE ROOM NO-1(KHAGA)",616,549,0,1165,379,277,0,656,450,0,51,36,478,80,0,1,0,3,0,0,1,2,3,1,0,656
33,"BLOCK DEVELOPMENT OFFICE ROOM NO-2",224,198,0,422,139,105,0,244,206,0,30,17,157,35,1,0,1,1,0,0,1,0,0,1,0,244
34,"SHUKDEV INTER COLLAGE KHAGA ROOM NO-1",509,430,0,939,235,205,0,440,393,0,131,50,112,142,1,1,0,1,0,0,0,0,0,1,1,440
35,"SHUKDEV INTER COLLAGE KHAGA ROOM NO-2",741,568,0,1309,400,284,0,684,560,0,122,67,259,218,6,1,0,1,0,0,0,1,0,3,6,684
36,"SHUKDEV INTER COLLAGE KHAGA ROOM NO-3",420,370,0,790,222,176,0,398,20,0,31,22,285,51,2,0,1,0,0,0,2,2,0,0,2,398
37,"SHUKDEV INTER COLLAGE KHAGA ROOM NO-4",491,421,0,912,242,199,0,441,441,0,142,44,137,104,1,0,1,0,0,0,2,1,1,3,5,441
