"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLESH PASWAN","2 - GORAKH PRASAD PASWAN","3 - SADAL PRASAD","4 - SANJAI KUMAR","5 - ARJUN PRASAD RAW","6 - CHANDRIKA PRASAD BHARATI","7 - RAMNARESH","8 - RAMNIVAS  PASWAN","9 - RAMPRIT JAKHMEE","10 - LALCHAND PRASAD JATAV","11 - KUNJAWATI","12 - SHEO SHANKAR","13 - None of the Above","Total Votes Secured"
1,"P.P RUDRAPUR ROOM NO 1",586,479,1,1066,335,405,0,740,5,0,442,104,142,33,4,1,1,0,3,5,0,0,5,740
2,"P.P RUDRAPUR ROOM NO 2",547,461,0,1008,311,293,0,604,24,0,338,99,117,14,3,1,1,2,6,7,3,3,10,604
3,"P.P RUDRAPUR ROOM NO 3",356,283,0,639,211,171,0,382,380,0,196,21,138,13,2,0,1,3,0,3,1,1,3,382
4,"P.P RUDRAPUR KUSUMHI BAJAR ROOM NO 1",453,354,0,807,333,249,0,582,569,0,412,59,91,4,1,0,0,2,0,2,2,1,8,582
5,"P.P RUDRAPUR KUSUMHI BAJAR ROOM NO 3",538,456,0,994,376,282,0,658,24,0,283,23,317,12,1,0,1,3,2,7,2,3,4,658
6,"P.P RUDRAPUR KUSUMHI BAJAR ROOM NO 2",429,353,0,782,273,211,0,484,15,0,333,32,94,13,1,1,0,1,0,4,1,0,4,484
7,"P.P BAHARAMPUR ROOM.NO.1",704,557,0,1261,395,287,0,682,682,0,233,285,85,16,3,2,3,2,5,11,8,9,20,682
8,"P.P BAHARAMPUR ROOM.NO.2",889,703,0,1592,480,420,0,900,20,0,424,65,305,29,3,2,8,6,5,14,8,6,25,900
9,"P.P BAHARAMPUR ROOM.N.1 SECOND",740,549,0,1289,455,324,0,779,10,0,444,46,225,37,1,1,2,5,2,5,5,1,5,779
10,"P.P BAHARAMPUR ROOM.N.2 SECOND",596,487,0,1083,383,326,0,709,29,0,404,166,74,14,2,1,5,2,6,11,4,5,15,709
11,"P.P RAMNAGAR KARJAHAN ROOM NO 1",522,452,0,974,292,280,0,572,10,0,374,68,84,9,1,0,0,3,2,12,2,3,14,572
12,"P.P RAMNAGAR KARJAHAN ROOM NO 2",656,579,0,1235,392,315,0,707,45,0,402,161,90,20,2,3,0,5,5,10,1,3,5,707
13,"P.P RAMNAGAR KARJAHAN IK KAKSHIY BHAWAN",659,549,0,1208,387,315,0,702,689,0,254,200,206,10,2,0,2,5,2,9,2,3,7,702
14,"P.P BHAISAHAN  ROOM.N.1",785,622,0,1407,397,362,0,759,323,0,325,157,168,29,3,4,8,7,8,17,4,3,26,759
15,"P.P BHAISAHAN ROOM.N.2",504,417,0,921,300,269,0,569,187,0,403,93,32,7,3,1,0,2,0,7,6,3,12,569
16,"P.P BHAISAHAN N.2 ROOM.N.3",609,529,0,1138,333,312,0,645,28,364,364,71,149,16,5,1,6,3,2,11,3,2,12,645
17,"J.H.S. BHAISAHAN ROOM NO 1",700,508,0,1208,391,252,0,643,68,439,439,99,53,22,3,0,1,7,0,7,2,0,10,643
18,"J.H.S. BHAISAHAN ROOM NO 2",744,589,0,1333,420,380,0,800,302,425,425,159,128,55,1,1,2,7,4,4,2,2,10,800
19,"P.P BHAISAHAN N.2 ROOM.N.1",575,427,0,1002,289,246,0,535,2,0,210,9,271,16,0,2,3,3,3,9,1,3,5,535
20,"P.P BHAISAHAN N.2 ROOM.N.2",428,301,0,729,233,166,0,399,2,0,265,48,51,14,0,2,2,2,1,6,2,1,5,399
21,"P.P KUSUMHI ROOM NO 1",426,382,0,808,294,294,0,588,588,0,325,93,140,11,1,0,0,2,0,4,5,5,2,588
22,"P.P KUSUMHI ROOM NO 2",507,429,0,936,330,270,0,600,32,0,255,75,200,26,2,2,3,9,5,11,3,2,7,600
23,"P.P ARAJI MATAUNI ROOM NO 1",532,462,0,994,364,311,0,675,56,0,191,353,108,9,0,0,2,2,1,3,1,1,4,675
24,"P.P ARAJI BASDILA ROOM NO 1",655,522,0,1177,436,366,0,802,802,0,452,156,133,18,2,0,6,3,2,11,3,5,11,802
25,"J.I.C MADAPAR ROOM NO 1",884,714,0,1598,538,441,0,979,979,0,473,258,137,27,1,3,8,4,6,14,8,10,30,979
26,"J.I.C. MADAPAR ROOM NO 2",636,513,0,1149,375,274,0,649,644,0,276,200,108,26,3,1,2,1,1,14,2,3,12,649
27,"P.P MATHIYA BUJURG DACCHARI ROOM",399,315,0,714,284,212,0,496,15,0,158,110,184,12,0,1,0,6,0,6,4,5,10,496
28,"P.P MALMALIYA UTTARI ROOM",476,373,0,849,238,226,0,464,21,0,200,68,173,6,2,2,0,0,2,3,2,0,6,464
29,"L.B.S.I.C.JAGDESHPUR ROOM NO 1",862,700,0,1562,497,394,0,891,891,0,728,60,24,25,2,0,8,0,3,15,1,2,23,891
30,"L.B.S.I.C.JAGDESHPUR ROOM NO 2",612,483,0,1095,374,286,0,660,660,0,539,57,24,13,0,0,3,4,1,7,2,2,8,660
31,"L.B.S.I.C.JAGDESHPUR ROOM NO 3",436,326,0,762,228,156,0,384,384,0,203,5,165,6,0,0,0,0,0,0,2,0,3,384
32,"P.M.V.SISWA UFR CHANKAPUR ROOM NO 1",906,721,0,1627,490,443,0,933,933,0,601,160,102,37,3,0,2,1,3,9,2,4,9,933
33,"P.P BHATGAUWA ROOM NO 1",572,463,0,1035,407,335,0,742,33,0,472,40,205,15,0,0,1,0,4,0,1,1,3,742
