"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MULAYAM SINGH YADAV","2 - SHATRUGHAN SINGH CHAUHAN","3 - DR. SANGHMITRA MAURYA","4 - ABU NASIM PATHAN","5 - BABA HARDEV SINGH","6 - SHISHUPAL SINGH","7 - SATENDRA VEER SINGH CHAUHAN","8 - ASHOK KUMAR","9 - ALOK NANDAN","10 - MUKESH KUMAR","11 - MUKESH KUMAR SHAKYA","12 - RAJESHWARI","13 - HAKIM SINGH","14 - None of the Above","Total Votes Secured"
1,"P.P.NAGLA GAHIYAR",748,668,0,1416,503,318,0,821,821,0,251,475,60,3,6,0,1,0,10,2,2,2,5,4,821
2,P.P.KACHHAPURA,724,646,0,1370,320,250,0,570,528,0,192,66,280,2,8,1,1,1,5,0,5,1,2,6,570
3,U.P.V.KACHHAPURA,631,552,0,1183,341,246,0,587,587,0,57,367,129,0,8,0,1,1,7,2,2,1,6,6,587
4,P.P.SHIVSINGHPUR,246,223,0,469,186,142,0,328,263,0,229,77,5,0,0,0,0,0,7,0,1,1,1,7,328
5,P.V.AMBARPUR,304,268,0,572,198,167,0,365,365,0,120,76,149,1,2,2,0,0,3,1,5,2,3,1,365
6,"P.P.HAVILIYA SINGHPUR",258,236,0,494,206,175,0,381,331,0,358,15,2,1,0,0,0,0,1,0,1,0,2,1,381
7,P.P.RAJALPUR,280,241,0,521,264,205,0,469,469,0,460,1,8,0,0,0,0,0,0,0,0,0,0,0,469
8,"PANCHAYAT GHAR MANCHANA",658,579,0,1237,332,237,0,569,487,0,149,296,97,1,2,10,0,1,6,2,1,2,1,1,569
9,"P.P.NAGALA SOTI",480,397,0,877,295,219,0,514,341,0,159,44,305,1,0,0,0,0,0,0,1,2,0,2,514
10,P.P.MANCHHANA,365,296,0,661,166,93,0,259,250,0,92,124,20,0,13,0,1,0,6,0,0,0,2,1,259
11,P.P.GARIYA,416,362,0,778,255,221,0,476,476,0,293,128,33,1,2,0,1,0,4,4,4,0,0,6,476
12,P.P.DALPURA,239,213,0,452,157,106,0,263,255,0,252,4,2,0,2,0,0,0,0,0,1,0,0,2,263
13,P.P.KISHORPUR,389,293,0,682,274,176,0,450,450,0,167,244,14,0,0,0,0,0,14,0,2,3,2,4,450
14,P.P.MAKRANDPUR,313,246,0,559,280,214,0,494,494,0,468,13,10,0,1,0,0,0,0,0,0,0,0,2,494
15,P.P.KUVERPUR,607,478,0,1085,477,306,0,783,551,0,732,35,6,1,3,1,0,0,1,0,0,0,0,4,783
16,P.P.BHAWAT,626,501,0,1127,301,182,0,483,433,0,286,99,78,0,2,1,0,0,5,2,1,2,1,6,483
17,P.P.BHOPATIPUR,293,241,0,534,244,143,0,387,387,0,159,216,5,0,0,0,0,0,2,0,2,0,2,1,387
18,P.P.MANGALPUR,446,308,0,754,324,192,0,516,400,0,251,136,120,0,0,0,0,1,3,1,2,1,0,1,516
19,"NAVEEN P.P.SAGAMAI",636,553,0,1189,358,279,0,637,625,0,277,201,128,1,5,2,1,1,7,0,2,2,2,8,637
20,"CH.SOORAJ SINGH JILA PANCHAYAT INTER COLLAGE JAGIR",736,609,0,1345,654,492,0,1146,1146,0,1056,48,29,1,0,0,0,0,0,0,2,5,1,4,1146
21,"P.P.MEDEPUR ROOM 1",438,376,1,815,304,221,0,525,518,0,335,119,51,2,2,0,0,2,4,1,3,1,1,4,525
22,"P.P.MEDEPUR ROOM 2",230,218,0,448,147,71,0,218,218,0,53,47,106,0,0,0,1,0,7,0,0,2,2,0,218
23,P.P.CHAUHANPUR,185,180,0,365,139,119,0,258,10,0,56,24,172,0,2,0,0,0,2,0,2,0,0,0,258
24,P.V.PARWATPUR,418,385,0,803,257,236,0,493,393,0,212,236,37,0,0,0,0,1,2,1,1,1,0,2,493
25,"SARSHWATI INTER COLLAGE AJITGANJ ROOM NO. 1",626,543,0,1169,349,248,0,597,403,0,335,173,68,0,5,0,0,0,5,2,2,0,4,3,597
26,"SARASHWATI INTER COLLAGE AJITGANJ ROOM NO. 2",295,246,0,541,140,107,0,247,247,0,46,137,62,0,1,0,0,0,0,0,1,0,0,0,247
27,P.V.VEERAMPUR,260,248,0,508,184,154,0,338,338,0,88,203,32,0,0,0,0,0,8,0,4,1,2,0,338
28,P.P.NAKHATPUR,396,364,0,760,356,313,0,669,179,0,626,21,4,0,12,0,0,0,1,0,0,1,0,4,669
29,P.P.FAREEDPUR,272,269,0,541,201,177,0,378,378,0,60,306,2,0,0,0,0,0,2,0,0,0,0,8,378
30,"J.H.S.RATANPUR BARA ROOM 1",672,557,0,1229,320,213,0,533,533,0,166,121,227,4,2,0,1,0,1,1,1,2,4,3,533
31,"J.H.S.RATANPURBARA ROOM NO. 2",333,306,0,639,157,128,0,285,6,0,74,74,132,1,0,0,0,0,0,0,2,0,0,2,285
32,P.P.CHAUHANPUR,299,261,0,560,220,196,0,416,42,0,214,66,121,1,3,0,0,0,3,0,3,1,1,3,416
33,P.P.TIKSURI,322,279,0,601,172,137,0,309,305,0,136,79,83,0,1,0,0,0,2,1,2,1,1,3,309
34,P.P.USHMANPUR,443,353,0,796,349,230,0,579,579,0,24,520,11,0,1,0,1,1,10,1,0,0,6,4,579
35,P.P.ETAURA,761,643,0,1404,443,249,0,692,680,0,237,260,162,1,2,0,0,0,18,0,4,2,3,3,692
36,"P.P.MERAPUR GUJRATI",499,434,0,933,305,237,0,542,100,0,142,333,44,0,2,0,0,0,11,0,2,2,1,5,542
37,P.P.SIWAI,401,333,0,734,242,169,0,411,236,0,189,183,22,0,1,1,0,1,6,0,0,0,1,7,411
38,P.P.BHADAURA,346,290,0,636,250,179,0,429,288,0,41,364,6,0,1,0,0,1,3,0,2,1,6,4,429
39,"P.P.BYONTI KHURD ROOM NO. 1",514,439,0,953,498,359,0,857,747,0,838,8,0,0,9,0,0,0,0,0,0,0,0,2,857
40,"P.P.BYONTI KHURD ROOM NO. 2",441,373,0,814,390,350,0,740,740,0,720,15,3,0,2,0,0,0,0,0,0,0,0,0,740
41,"P.P.DIVANPUR CHAUDHARI",619,499,0,1118,348,232,0,580,505,0,192,314,46,2,3,0,0,1,12,0,3,0,3,4,580
42,"P.P.NAGLA BALU",512,422,0,934,223,134,0,357,355,0,156,132,59,0,0,2,0,0,3,0,1,0,1,3,357
43,P.P.ALAO,507,442,0,949,276,198,0,474,474,0,89,349,16,0,5,0,1,0,1,0,0,1,5,7,474
44,P.P.MADHUPURI,176,164,0,340,113,109,0,222,176,0,28,24,160,1,0,0,0,0,3,1,2,0,1,2,222
45,"PANCHAYAT GHAR GADAIPUR",236,204,0,440,137,92,0,229,1,0,36,159,25,0,1,1,0,0,4,0,0,1,2,0,229
46,P.P.JAGATPUR,417,353,0,770,251,187,0,438,173,0,120,188,124,2,1,1,0,0,0,0,1,0,0,1,438
47,"SUWRAN JAYANTI GRAM SUWAROJGAR WORK SAID BHAWAN NAGLA DHOVA",455,376,0,831,272,160,0,432,8,0,114,149,150,1,1,0,2,2,11,1,0,0,0,1,432
48,"MAHARANI DEVI J.H.S. NAVEEN BHAWAN TARAPUR",401,358,0,759,230,156,0,386,383,0,166,106,104,2,1,0,0,0,2,0,1,1,1,2,386
49,"J.H.S KHAJURIYA",394,338,0,732,297,202,0,499,400,0,416,10,66,0,0,0,0,0,0,0,0,1,1,5,499
50,J.H.S.GOPALPUR,330,296,0,626,230,191,0,421,410,0,38,20,355,0,1,1,0,0,0,0,2,0,0,4,421
51,P.P.GOOJARPUR,315,274,0,589,165,152,0,317,302,0,78,145,73,4,1,0,1,0,4,1,3,1,4,2,317
52,"P.P.NAGLA ARHAN",212,183,0,395,203,160,0,363,362,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,363
53,P.P.HUSAINPUR,393,343,0,736,222,191,0,413,328,0,218,107,81,0,1,0,2,0,1,0,1,0,1,1,413
54,P.P.PADAURA,395,337,0,732,248,191,0,439,420,0,237,122,58,2,3,0,2,0,3,1,4,0,0,7,439
55,"P.P.NAWADA PURANA BHAWAN",557,489,0,1046,476,376,0,852,735,0,816,3,28,1,0,2,0,1,0,0,1,0,0,0,852
56,"P.P.NAGLA MOTI",373,327,0,700,276,204,0,480,480,0,25,3,442,2,0,0,0,0,0,0,0,3,2,3,480
57,"P.P.BAGHIRUA ROOM NO. 1",477,388,0,865,234,175,0,409,409,0,356,18,26,0,6,0,0,0,0,0,1,0,0,2,409
58,"P.P.BAGHIRUA ROOM NO. 2",626,540,0,1166,356,236,0,592,590,0,547,10,10,0,3,2,1,1,2,0,0,2,4,10,592
59,P.P.KURARI,315,267,0,582,179,148,0,327,327,0,150,49,120,0,0,0,0,0,6,0,0,1,0,1,327
60,P.V.RAMPECHHA,341,311,0,652,289,224,0,513,495,0,289,49,157,0,4,1,0,1,5,1,2,2,1,1,513
61,"J.H.S. BHARATPUR",355,315,0,670,320,229,0,549,549,0,505,14,2,2,12,0,0,0,1,0,0,2,2,9,549
62,"P.V.NAGLA PANCHI",254,208,0,462,243,173,0,416,391,0,405,8,3,0,0,0,0,0,0,0,0,0,0,0,416
63,J.H.S.PARIGAWAN,558,497,0,1055,338,200,0,538,452,0,40,481,7,0,5,0,0,0,2,0,0,0,0,3,538
64,"P.P.CHADRAUA ROOM NO. 1",492,392,0,884,280,217,0,497,441,0,243,54,180,1,3,1,0,0,4,1,3,2,0,5,497
65,P.P.CHADRAUA,235,180,0,415,82,43,0,125,34,0,82,23,7,0,10,0,0,0,3,0,0,0,0,0,125
66,"P.P.MERAPUR KHIJARPUR",439,351,0,790,288,182,0,470,70,0,259,90,76,1,39,0,0,0,2,1,0,0,1,1,470
67,P.P.MAINBOJH,348,290,0,638,227,117,0,344,344,0,300,16,23,0,0,0,0,0,1,0,0,0,2,2,344
68,"P.P.KUSHMAKHERA ROOM 1",478,386,0,864,238,152,0,390,390,0,195,134,49,2,2,0,0,0,1,1,1,1,1,3,390
69,"P.V.KUSHMA KHERA ROOM 2",309,258,0,567,158,120,0,278,278,0,116,91,61,0,0,0,0,1,4,0,2,1,1,1,278
70,P.P.DHUAUSHI,345,278,0,623,242,161,0,403,22,0,269,105,3,1,9,0,0,0,5,3,0,0,3,5,403
71,P.P.BASHAWANPUR,326,302,0,628,176,133,0,309,308,0,136,81,78,1,0,0,1,0,4,1,3,1,1,2,309
72,"P.V.SUGAON ROOM NO. 1",551,450,0,1001,265,165,0,430,310,0,219,57,144,2,3,0,0,0,1,0,1,0,1,2,430
73,"P.V.SUGAON ROOM NO. 2",513,433,0,946,311,210,0,521,436,0,381,95,36,1,0,0,0,1,4,0,0,1,1,1,521
74,J.H.S.PUDARI,423,387,0,810,259,204,0,463,463,0,269,31,149,1,6,0,0,0,2,0,0,0,1,4,463
75,P.P.SANJAPUR,294,276,0,570,216,140,0,356,56,0,121,79,139,2,1,3,0,0,2,2,2,1,2,2,356
76,P.V.PUDARI,389,349,0,738,188,134,0,322,270,0,141,85,77,0,8,1,0,0,1,1,2,2,2,2,322
77,"P.P.MAANPURI PUDARI",265,259,0,524,195,157,0,352,352,0,137,3,209,1,1,0,0,0,0,0,0,0,0,1,352
78,P.P.BHARAPUR,467,427,0,894,196,191,0,387,387,0,261,86,24,1,1,0,1,0,7,1,1,1,2,1,387
79,P.V.DIWALPUR,441,406,0,847,226,171,0,397,397,0,103,119,158,0,3,0,0,0,8,1,0,0,1,4,397
80,"P.P.DIVALPUR ROOM NO. 2",381,342,0,723,221,158,0,379,379,0,232,32,103,1,2,1,0,0,0,0,1,2,1,4,379
81,P.P.DAKPURA,571,476,0,1047,338,259,0,597,594,0,89,413,42,2,3,0,1,0,19,1,4,4,9,10,597
82,"KANYA P.P.AUNG",586,481,0,1067,538,289,0,827,663,0,616,141,57,1,1,0,1,1,3,0,2,1,1,2,827
83,"P.P.NAGLA DHURA",422,354,0,776,348,216,0,564,214,0,515,47,1,0,1,0,0,0,0,0,0,0,0,0,564
84,P.P.ARJUNPURGARI,321,317,0,638,148,102,0,250,250,0,106,105,27,0,1,0,0,1,2,0,2,0,2,4,250
85,P.P.DEVIDASHPUR,333,312,0,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,P.P.MALIKHANPUR,466,408,0,874,254,192,0,446,440,0,84,294,41,1,5,0,0,1,8,0,3,2,2,5,446
87,P.P.VEERPURKALA,828,616,0,1444,391,235,0,626,626,0,150,182,266,3,2,0,4,1,5,1,2,1,3,6,626
88,P.P.LAKHURIYA,379,340,0,719,279,207,0,486,424,0,242,97,140,0,0,0,0,0,2,1,1,0,1,2,486
89,P.P.KASHADD,391,334,0,725,214,148,0,362,134,0,159,120,75,1,1,0,0,0,1,2,0,0,1,2,362
90,P.V.GADIWAR,279,246,0,525,257,208,0,465,5,0,461,2,0,0,1,0,0,0,0,0,0,1,0,0,465
91,J.H.S.LEKHARAJPUR,567,426,0,993,384,210,0,594,489,0,531,16,41,0,0,1,0,0,0,0,2,1,0,2,594
92,P.V.RAJPURKALA,384,366,0,750,355,274,0,629,629,0,566,56,3,1,0,0,0,0,2,0,1,0,0,0,629
93,P.V.ROPANPUR,222,202,0,424,183,122,0,305,305,0,229,36,36,0,2,0,0,0,1,0,1,0,0,0,305
94,"P.V. DWARIKAPUR",697,518,0,1215,611,412,0,1023,1023,0,997,22,2,0,1,0,0,0,0,0,0,0,0,1,1023
95,P.V.CHANDARPUR,596,442,0,1038,346,241,0,587,587,0,161,391,19,2,2,0,0,0,6,0,0,3,2,1,587
