"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JITENDRA KUMAR SINGH BABLU BHAIYA","2 - NIRMAL KHATRI","3 - MITRASEN YADAV","4 - LALLU SINGH","5 - JAI RAM SINGH JAI","6 - NASREEN BANO","7 - MAKASUD ALI","8 - MAYURI TIWARI","9 - RADHIKA PRASAD","10 - RAM JANAM","11 - SHAILENDRA KUMAR SHUKLA","12 - None of the Above","Total Votes Secured"
1,"P.S. PARSA ROOM N0.1",438,399,0,837,334,260,0,594,30,0,84,40,151,303,0,3,0,1,3,6,1,2,594
2,"P.S. AULIYALALPUR  ROOM N0.1",657,591,0,1248,428,275,0,703,6,0,136,118,34,395,1,0,1,0,4,8,2,4,703
3,"P.S. TURKANI  ROOM N0.1",638,555,0,1193,442,340,0,782,3,0,318,92,111,234,1,0,6,1,7,5,1,6,782
4,"P.S. TURKANI  ROOM N0.2",211,208,0,419,150,140,0,290,2,0,153,57,28,40,0,2,0,1,1,1,2,5,290
5,"P.S. SADENWA  ROOM N0.1",599,540,0,1139,389,279,0,668,15,0,83,64,76,408,5,0,2,5,4,7,10,4,668
6,"P.S.KITHURI  ROOM N0.1",570,506,0,1076,342,274,0,616,10,0,198,210,98,82,3,0,3,1,1,3,5,12,616
7,"P.S.KITHURI  ROOM N0.2",653,592,0,1245,396,289,0,685,10,0,157,101,119,271,2,3,2,3,5,7,3,12,685
8,"P.S. JALALPUR  ROOM N0.1",425,380,0,805,290,250,0,540,1,0,162,46,64,250,3,1,1,0,3,4,3,3,540
9,"J.H.S. BIRAULI  ROOM N0.1",754,678,0,1432,464,368,0,832,4,0,173,190,34,403,4,3,7,2,8,1,0,7,832
10,"J.H.S. BIRAULI  ROOM N0.2",282,257,0,539,183,145,0,328,20,0,158,38,20,106,0,0,0,0,3,2,0,1,328
11,"P.S. AGEHRA  ROOM N0.1",499,465,0,964,367,263,0,630,5,0,61,38,62,434,3,4,8,4,8,4,2,2,630
12,"P.S. MUSKABAD  ROOM N0.1",524,462,0,986,296,272,0,568,20,0,89,129,59,250,3,3,10,1,7,6,3,8,568
13,"P.S. MUSKABAD  ROOM N0.2",463,409,0,872,299,195,0,494,7,0,80,152,61,148,1,1,39,1,4,1,2,4,494
14,"P.S. KEVLAPUR  ROOM N0.1",825,724,0,1549,571,425,0,996,4,0,75,37,118,723,9,3,3,3,6,4,3,12,996
15,"P.S.JANGRAVASAWANPUR  ROOM N0.1",748,689,0,1437,493,357,0,850,70,0,58,183,277,309,1,3,1,1,2,5,6,4,850
16,"P.S. SAIFPUR  ROOM N0.1",472,409,0,881,344,259,0,603,603,0,55,34,133,344,4,0,2,4,7,5,2,13,603
17,"P.S. SAIFPUR  ROOM N0.2",451,426,0,877,306,245,0,551,6,0,86,20,96,314,8,3,0,2,5,5,3,9,551
18,"P.S. SISAUNA  ROOM N0.1",348,279,0,627,253,176,0,429,10,0,52,9,156,186,3,1,3,3,4,2,3,7,429
19,"P.S.JARIYARI  ROOM N0.1",368,334,0,702,247,206,0,453,406,0,49,42,150,201,6,0,0,0,1,1,0,3,453
20,"P.S.DULARPUWA H/O MANGRAUDA  ROOM N0.1",720,677,0,1397,490,383,0,873,738,0,58,102,191,466,7,7,5,2,15,5,5,10,873
21,"P.S. BAHRAPUR H/O MAUHRA  ROOM N0.1",486,423,0,909,330,253,0,583,20,0,113,36,151,250,2,2,3,1,8,10,1,6,583
