"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - TUFANI","2 - TUFANI NISHAD","3 - BHOLANATH ALIAS B.P. SAROJ","4 - RAM CHARITRA NISHAD","5 - SUBAS CHANDRA","6 - RAJ ALIAS VIRENDRA KUMAR SONKAR","7 - RAJESH","8 - LALJI","9 - SIKANDAR","10 - SURESH GAUTAM","11 - HARI","12 - OMPRAKASH ALIAS AMBEDKAR","13 - RAJESH SONKAR","14 - SHRAVAN KUMAR PASWAN","15 - HARINATH","16 - None of the Above","Total Votes Secured"
1,"P S ITAILI",440,449,0,889,326,239,0,565,565,0,342,14,62,126,6,3,2,1,0,0,1,1,1,3,1,2,565
2,"P S RASULPUR OJHAINIYA NORTH SIDE",714,643,0,1357,350,400,0,750,500,0,64,34,361,231,8,9,1,0,4,1,2,3,5,16,3,8,750
3,"P S RAMPUR NORTH SIDE",643,652,0,1295,314,338,0,652,590,0,155,33,191,230,13,4,0,1,1,2,0,2,4,2,8,6,652
4,"P S HANUWADEEH",549,449,0,998,338,322,0,660,656,0,393,14,93,139,4,4,0,1,0,0,0,0,1,4,2,5,660
5,"P S SOSAPATTI",292,269,0,561,189,184,0,373,235,0,192,4,90,76,0,1,0,0,0,0,0,2,2,1,2,3,373
6,"P S BIJHWARSARANG",625,589,0,1214,335,373,0,708,708,0,126,160,88,268,23,8,2,0,3,1,2,2,3,19,0,3,708
7,"P S NAIPURA EAST SIDE",481,463,0,944,236,232,0,468,467,0,29,26,19,366,10,0,0,1,0,0,3,1,6,1,0,6,468
8,"P S NAIPURA MIDDLE SIDE",584,498,0,1082,230,304,0,534,355,0,58,42,166,222,14,2,1,1,2,2,0,1,5,5,3,10,534
9,"P S NARAINPUR",169,149,0,318,102,113,0,215,215,0,118,1,57,34,2,0,0,0,1,0,0,0,1,0,1,0,215
10,"P S SHAHABUDDINPUR",135,131,0,266,108,112,0,220,150,0,5,7,59,137,5,2,2,0,0,0,0,0,0,0,2,1,220
11,"P S KANHAULI",528,531,0,1059,301,388,0,689,462,0,191,15,252,208,6,1,1,0,0,1,2,0,1,8,3,0,689
12,"P S GADDIPUR",799,663,0,1462,431,385,0,816,804,0,329,39,62,330,12,8,1,1,2,2,3,5,4,6,6,6,816
13,"GOB U M V MUFTIGANJ EAST SIDE",401,423,0,824,259,234,0,493,493,0,185,18,117,126,8,4,3,1,2,0,3,2,0,4,8,12,493
14,"GOB U M V MUFTIGANJ MIDDLE SIDE",811,685,0,1496,507,409,0,916,10,0,71,27,144,609,24,9,3,0,1,0,2,4,1,3,6,12,916
15,"P S BHOGIPATTI",681,631,0,1312,386,440,0,826,725,0,103,56,249,332,17,17,0,2,5,0,3,7,6,9,11,9,826
16,"P S NISHAN NORTH SIDE",467,451,0,918,242,266,0,508,508,0,102,15,273,67,5,9,2,1,2,0,0,13,7,4,3,5,508
17,"P S NISHAN SOUTH SIDE",458,465,0,923,261,249,0,510,510,0,98,25,164,198,5,4,1,2,1,2,0,1,1,5,1,2,510
18,"P S SHAHABUDDINPUR",426,364,0,790,186,231,0,417,311,0,158,28,169,27,2,4,1,0,1,0,2,17,0,3,5,0,417
19,"P S JAMUWARI",418,387,0,805,222,234,0,456,450,0,40,19,43,286,24,4,2,3,4,4,1,7,4,4,5,6,456
20,"P S MAHIMAPUR",207,203,0,410,117,147,0,264,44,0,38,3,159,48,3,3,0,0,2,0,0,1,0,5,0,2,264
21,"P S KUNDI SOUTH SIDE",429,405,0,834,198,222,0,420,17,0,23,30,203,137,8,4,1,3,3,2,0,0,1,3,1,1,420
22,"P S KUNDI SOUTH SIDE",403,349,0,752,212,200,0,412,380,0,56,49,96,181,9,7,1,3,1,1,0,2,0,2,1,3,412
23,"P S AMARA NORTH SIDE",569,552,0,1121,255,278,0,533,189,0,99,26,192,180,8,4,1,2,1,3,2,6,1,3,2,3,533
24,"P S AMARA SOUTH SIDE",335,305,0,640,164,143,0,307,275,0,175,18,29,78,4,0,1,0,0,0,1,0,0,0,0,1,307
25,"P S ASWARA NORTH SIDE",586,512,0,1098,294,337,0,631,617,0,64,19,322,182,3,1,1,0,0,1,0,14,2,8,5,9,631
26,"P S ASWARA NORTH SIDE",199,199,0,398,99,86,0,185,185,0,14,28,94,28,4,4,0,0,1,0,0,1,2,2,2,5,185
27,"P S LURKHURI",264,227,0,491,131,153,0,284,284,0,81,16,116,46,4,1,0,0,0,0,1,9,0,1,2,7,284
28,"P S BHADEWARA EAST SIDE",641,540,0,1181,285,305,0,590,268,0,178,47,173,162,6,2,2,1,2,0,2,0,3,7,1,4,590
29,"P S BHADEWARA NORTH SIDE",522,445,0,967,230,259,0,489,489,0,87,22,88,276,6,1,1,0,0,1,1,0,1,3,1,1,489
30,"P S BHADEWARA NORTH SIDE",367,341,0,708,153,232,0,385,378,0,18,2,351,5,1,0,0,0,0,0,0,0,0,7,1,0,385
31,"P S BHADEWARA WEST SIDE",619,574,0,1193,261,291,0,552,552,0,172,18,189,118,16,6,1,1,2,1,2,3,7,6,5,5,552
32,"P S PARAUWA",689,637,0,1326,286,381,0,667,667,0,127,22,267,214,8,3,2,1,0,1,2,3,1,10,6,0,667
33,"P S BHUILI NORTH SIDE",527,515,0,1042,313,297,0,610,72,0,89,35,58,389,11,3,0,0,4,2,3,1,4,3,2,6,610
34,"P S BHUILI SOUTH SIDE",631,494,0,1125,280,284,0,564,304,0,18,19,289,216,6,1,1,2,0,1,4,0,2,4,1,0,564
35,"P S BHUILI SOUTH SIDE",460,359,0,819,219,182,0,401,401,0,16,54,192,99,3,2,2,0,1,1,2,3,7,5,3,11,401
36,"P S BARI NORTH SIDE",728,601,0,1329,347,346,0,693,45,0,229,30,215,203,7,1,1,1,3,0,0,1,0,1,1,0,693
37,"P S BARI SOUTH SIDE",518,468,0,986,270,243,0,513,93,0,214,14,163,95,11,2,1,1,3,1,1,0,0,2,3,2,513
38,"P S SURAILA EAST SIDE",487,457,0,944,345,212,0,557,556,0,43,36,60,388,7,1,1,3,3,0,2,1,5,1,2,4,557
39,"P S SURAILA WEST SIDE",401,379,0,780,191,249,0,440,440,0,37,20,285,75,4,0,2,0,0,0,0,1,5,5,2,4,440
40,"P S DHANAPUR",355,306,0,661,234,221,0,455,455,0,16,7,185,212,16,1,1,1,0,1,0,2,3,4,1,5,455
41,"P S TARA EAST SIDE",391,322,0,713,169,224,0,393,9,0,26,26,185,118,12,1,1,3,4,0,0,0,0,8,7,2,393
42,"P S UMARI",517,485,0,1002,227,256,0,483,483,0,125,13,79,230,10,6,0,1,1,0,1,3,0,3,6,5,483
43,"P S PAUNI",559,493,0,1052,274,285,0,559,31,0,113,45,198,175,8,0,1,0,0,2,4,2,1,3,1,6,559
44,"S V BHAWAN BHAUSINGHPUR",604,495,0,1099,257,220,0,477,317,0,182,43,151,83,10,0,1,1,0,1,0,1,1,2,1,0,477
45,"JHS PESARA EAST SIDE",748,587,0,1335,295,326,0,621,231,0,123,28,213,223,7,4,0,0,1,1,1,2,4,3,6,5,621
46,"JHS PESARA MIDDLE SIDE",629,534,0,1163,307,314,0,621,545,0,106,17,266,211,6,1,1,1,3,0,0,1,0,4,2,2,621
47,"JHS PESARA WEST SIDE",638,481,0,1119,267,279,0,546,120,0,119,27,109,218,11,10,1,0,2,6,2,21,3,1,4,12,546
48,"P S SAKARA NORTH SIDE",732,595,0,1327,282,257,0,539,390,0,137,36,279,52,3,3,0,1,0,2,0,3,1,9,6,7,539
49,"P S SAKARA NORTH SIDE",234,194,0,428,81,124,0,205,68,0,5,1,190,0,0,0,0,0,0,0,0,0,0,5,3,1,205
50,"P S SAKARA SOUTH SIDE",544,454,0,998,194,222,0,416,409,0,42,13,51,293,6,3,2,0,0,0,1,0,2,1,0,2,416
51,"P S MEHAUDA EAST SIDE",380,406,0,786,198,242,0,440,221,0,180,8,100,105,9,2,1,1,2,2,2,4,3,4,14,3,440
52,"P S MEHAUDA WEST SIDE",557,517,0,1074,315,318,0,633,143,0,121,19,282,192,6,2,3,3,1,0,0,0,1,2,0,1,633
53,"JHS BAGTHARI EAST SIDE",766,692,0,1458,386,465,0,851,635,0,280,13,444,75,10,5,0,2,0,0,1,3,2,2,6,8,851
54,"JHS BAGTHARI WEST SIDE",653,606,2,1261,323,305,0,628,379,0,184,55,68,284,13,4,3,1,0,0,1,3,3,5,2,2,628
55,"ADARSH I C  MURARA NORTH SIDE",534,511,0,1045,249,247,0,496,424,0,130,41,114,175,10,3,1,0,1,0,2,2,2,5,3,7,496
56,"ADARSH I C  MURARA NORTH SIDE",278,225,0,503,136,126,0,262,262,0,41,9,107,97,2,0,0,0,0,0,1,0,0,1,1,3,262
57,"ADARSH I C  MURARA SOUTH SIDE",649,561,0,1210,280,315,0,595,95,0,59,19,343,143,11,0,1,1,1,1,1,3,1,8,1,2,595
58,"P S KHATAHARA",656,591,0,1247,288,306,0,594,594,0,230,12,243,84,2,4,1,0,1,2,1,4,3,1,2,4,594
