"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR PUSHPENDRA SINGH CHANDEL","2 - PRITAM SINGH LODHI","3 - BISHAMBHAR PRASAD NISHAD","4 - RAKESH KUMAR GOSWAMI","5 - ATUL KUMAR PRAJAPATI","6 - ANIL KUMAR","7 - AVINASH KUMAR MISHRA","8 - KAILASH PRASAD NISHAD","9 - RAMESH PRAJAPATI","10 - RAMSAJIVAN","11 - VIVEK KUMAR","12 - SHRIPAL","13 - KIRAN","14 - PRAVESH KUMAR VYAS","15 - VIMLESH","16 - None of the Above","Total Votes Secured"
1,"POORV MA.VI.RAIPUR (RAIPURA) MAZRA GADARIYA ROOM NO-1",469,322,0,791,264,148,0,412,17,0,142,59,76,99,3,2,1,1,2,4,4,1,3,4,9,2,412
2,"POORV MA.VI.RAIPUR (RAIPURA) MAZRA GADARIYA ROOM NO-2",294,238,0,532,145,122,0,267,267,0,122,81,36,13,0,3,2,0,1,0,0,3,0,0,5,1,267
3,"PR.VI.KHAIRI MAZRA GADARIYA",253,190,0,443,165,149,0,314,314,0,49,3,243,7,0,0,0,1,0,0,2,0,1,4,0,4,314
4,"POORV MA.VI.GADARIYA ROOM NO-1",475,350,0,825,228,172,0,400,234,0,322,6,38,10,0,0,2,0,1,2,1,3,3,1,4,7,400
5,"POORV MA.VI.GADARIYA ROOM NO-2",461,359,0,820,212,161,0,373,370,0,185,8,67,87,4,0,3,1,1,0,2,3,0,0,4,8,373
6,"POORV MA.VI.GADARIYA ROOM NO-3",563,467,0,1030,267,229,0,496,496,0,66,11,216,163,4,0,0,0,0,0,3,3,5,2,5,18,496
7,"SANKUL BHAVAN GADARIYA",646,503,0,1149,354,265,0,619,619,0,157,2,435,10,1,2,0,1,0,0,1,0,1,2,2,5,619
8,PR.VI.BAHUNDARI,574,459,0,1033,321,268,0,589,68,0,65,4,472,34,2,4,0,1,1,0,1,0,3,2,0,0,589
9,PR.VI.NARJITA,510,398,0,908,267,163,0,430,426,0,215,14,132,29,14,1,1,1,1,2,0,3,3,3,6,5,430
10,"POORV MA.VI.SIKAHULA ROOM NO-1",669,536,0,1205,357,329,0,686,684,0,413,9,101,104,5,10,16,2,4,4,2,1,1,1,3,10,686
11,"POORV MA.VI.SIKAHULA ROOM NO-2",769,623,1,1393,395,404,0,799,798,0,203,53,507,6,0,1,1,1,1,1,0,2,2,8,0,13,799
12,"POORV MA.VI.GAURIKALAN ROOM NO-1",722,560,0,1282,311,249,0,560,559,0,382,49,36,45,3,4,4,0,0,1,2,2,0,6,14,12,560
13,"POORV MA.VI.GAURIKALAN ROOM NO-2",692,551,0,1243,311,219,0,530,530,0,292,16,19,173,0,2,5,2,0,2,5,2,1,2,2,7,530
14,"PR.VI.KUMHARIYA DERA MAZRA GAURIKALAN",417,322,0,739,269,192,0,461,459,0,154,17,120,72,51,0,3,2,2,0,3,1,1,9,23,3,461
15,"KANYA POORV MA.VI.RAMPUR ROOM NO-1",719,486,0,1205,330,204,0,534,503,0,259,35,85,132,2,7,0,0,1,0,3,1,0,1,1,7,534
