"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASIF NIZAMUDDIN SIDDIQUE","2 - PRAMOD KUMAR SINGH PATEL","3 - RAJKUMARI RATNA SINGH","4 - ASHOK SHUKLA SENANI","5 - NIRMALA DEVI","6 - FOOLCHANDRA","7 - BAL KRISHNA","8 - RAJENDRA SHARMA","9 - RAM SEWAK","10 - SHESHNATH","11 - SANTOSH KUMAR SINGH","12 - KUWAR HARIVANSH SINGH","13 - AJMAL KHAN","14 - KIRAN MISHRA","15 - HARIVANSH","16 - None of the Above","Total Votes Secured"
1,"P.V. NASEERPUR ROOM NO .1",414,366,0,780,210,199,0,409,200,0,150,9,203,2,3,0,0,2,2,3,1,29,2,0,1,2,409
2,"P.V. NASEERPUR ROOM NO 2",465,400,0,865,187,148,0,335,335,0,54,25,142,1,1,0,0,0,1,0,7,95,1,0,2,6,335
3,"P.V. NASEERPUR ROOM NO. 3",544,466,1,1011,212,190,0,402,402,0,107,17,174,4,6,3,1,1,1,2,2,73,0,5,4,2,402
4,"P.V. BHANWARI",421,385,0,806,255,237,0,492,492,0,84,26,276,12,2,1,1,2,3,2,9,59,3,5,3,4,492
5,"P.V. KISHUNGARH",655,581,0,1236,301,292,0,593,593,0,77,17,330,13,0,0,3,0,2,3,2,120,4,4,8,10,593
6,"P.V. DAULATPUR",585,494,0,1079,316,377,0,693,693,0,65,29,483,13,2,2,1,1,2,3,1,76,2,1,4,8,693
7,"P.V. SARANWA",359,356,0,715,187,223,0,410,410,0,61,24,210,16,6,0,3,1,7,3,9,49,4,2,5,10,410
8,"P.V. PEDARIYA ROOM NO. 1",770,714,1,1485,462,415,0,877,877,0,85,47,549,34,14,4,5,0,6,4,4,112,2,2,5,4,877
9,"P.V. PEDARIYA ROOM NO.2",320,293,0,613,154,139,0,293,293,0,23,16,151,6,3,0,1,3,1,1,8,73,1,0,0,6,293
10,"P.V. NANAUTI ROOM NO 1",664,580,1,1245,298,293,0,591,28,0,93,8,259,11,5,3,3,2,1,4,10,166,5,4,7,10,591
11,"P.V. NANAUTI ROOM NO 2",450,413,0,863,232,202,0,434,434,0,42,20,232,5,5,4,1,2,6,1,2,111,1,0,1,1,434
12,"P.V. BADAHUA ROOM NO 1",261,254,0,515,168,148,0,316,316,0,31,18,209,10,0,2,2,0,0,1,1,34,0,1,4,3,316
13,"P.V. BADAHUA ROOM NO. 2",258,236,0,494,125,106,0,231,221,0,18,13,162,6,0,1,0,2,2,0,25,0,0,1,1,0,231
14,"P.V. RAJAPUR ROOM NO. 1",470,422,0,892,231,257,0,488,485,0,70,7,298,6,1,3,2,1,2,1,4,55,8,3,13,14,488
15,"P.V. RAJAPUR ROOM NO. 2",361,324,0,685,186,189,0,375,10,0,46,32,247,9,1,1,0,0,1,0,3,25,1,2,3,4,375
16,"P.V. MUBARAKPUR",733,625,0,1358,354,344,0,698,698,0,105,48,366,8,2,2,3,6,5,8,6,105,7,7,8,12,698
17,"P.V. JOGAPUR",481,430,0,911,328,262,0,590,5,0,40,10,459,8,1,4,0,1,8,3,3,38,3,9,2,1,590
18,"P.V. KUSHAULI",587,526,0,1113,295,315,0,610,6,0,64,42,194,9,2,1,0,0,1,1,5,255,3,2,6,25,610
19,"P.V. UDAYAPUR ROOM NO 1",515,491,0,1006,252,269,0,521,370,0,59,12,287,7,1,0,1,3,0,1,2,126,1,1,12,8,521
20,"P.V. UDAYAPUR ROOM NO 2",450,406,0,856,225,185,0,410,410,0,21,18,214,13,0,1,3,0,4,3,3,104,2,4,4,16,410
21,"P.V. UPADHYAPUR",287,262,0,549,138,207,0,345,345,0,48,21,156,9,5,1,2,4,4,5,2,78,2,1,1,6,345
22,"P.V. PURE LOKA ROOM NO. 1",644,540,0,1184,300,322,0,622,622,0,91,10,233,16,4,3,3,6,4,7,14,198,8,7,7,11,622
23,"P.V. PURE LOKA ROOM NO. 2",481,408,0,889,203,219,0,422,422,0,36,12,265,8,1,0,0,1,0,2,5,74,4,1,4,9,422
24,"P.V. PURE BHAGAWAT",699,605,0,1304,400,305,0,705,505,0,152,29,292,8,4,1,1,0,6,2,6,167,8,2,7,20,705
25,"P.V. MAKADUMPUR",368,336,0,704,210,206,0,416,416,0,52,5,264,7,1,2,2,3,3,2,4,59,0,5,2,5,416
26,"P.V. KUMBHIAIMA ROOM NO. 1",790,680,0,1470,400,327,0,727,720,0,153,57,387,21,3,2,1,1,6,7,10,53,3,2,8,13,727
27,"P.V. KUMBHIAIMA ROOM NO. 2",829,735,0,1564,446,418,0,864,86,0,130,36,547,16,5,3,1,2,1,4,5,89,3,3,4,15,864
28,"P.V. KUMBHIAIMA ROOM NO. 3",702,568,0,1270,339,265,0,604,604,0,147,38,250,13,0,3,3,2,2,6,7,121,4,1,1,6,604
29,"P.V. PINJARI",684,607,0,1291,397,392,0,789,785,0,88,9,664,13,0,0,0,0,0,1,1,1,0,0,5,7,789
30,"P.V. ALAVALPUR",385,365,0,750,185,207,0,392,381,0,78,5,211,11,0,0,0,0,1,1,2,65,4,2,5,7,392
31,"P.V. UMARAR ROOM NO. 1",460,412,0,872,210,210,0,420,237,0,82,13,198,6,3,0,0,0,1,2,2,108,0,1,2,2,420
32,"P.V. UMARAR ROOM NO. 2",359,312,0,671,158,130,0,288,288,0,49,8,109,9,3,1,1,1,4,1,3,81,2,0,8,8,288
33,"P.V. UMARAR ROOM NO. 3",437,410,0,847,233,194,0,427,427,0,133,11,228,12,1,2,0,1,2,1,3,27,2,0,3,1,427
34,"P.V. MASANI",424,364,0,788,215,219,0,434,5,0,38,14,336,15,3,2,0,1,3,1,1,10,1,2,2,5,434
35,"P.V. RANJEETPUR",369,375,0,744,212,229,0,441,44,0,28,10,350,5,4,0,2,0,1,2,2,23,3,1,4,6,441
36,"P.V. JARIYARI",402,373,0,775,270,207,0,477,477,0,16,26,354,7,0,0,1,1,2,3,2,58,0,1,1,5,477
37,"P.V. ATHEHA ROOM NO. 1",686,551,0,1237,340,269,0,609,9,0,86,15,323,29,3,1,0,0,4,2,3,133,1,1,4,4,609
38,"P.V. ATHEHA ROOM NO. 2",590,499,1,1090,286,257,0,543,542,0,94,5,304,9,0,1,1,0,1,0,1,96,9,6,7,9,543
39,"P.V. AMANWA",457,390,0,847,211,189,0,400,400,0,70,36,129,8,2,0,1,3,2,5,2,136,4,0,1,1,400
40,"P.V. SEMARA",590,532,0,1122,368,334,0,702,120,0,127,63,465,8,1,2,0,0,1,1,1,30,1,1,0,1,702
41,"P.V. KATARIYA",695,577,0,1272,375,356,0,731,731,0,53,29,447,14,2,1,2,0,3,6,4,150,0,4,8,8,731
