"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANURADHA SHARMA","2 - UMA BHARATI","3 - DR. CHANDRAPAL SINGH YADAV","4 - PRADEEP JAIN ADITYA","5 - ARCHANA","6 - CHINTAMANI","7 - NARESH KUMAR","8 - MAULANA MOHAMMAD","9 - SUNIL MASSEY","10 - KULDEEP KUMAR","11 - TULA RAM","12 - DILSHAD AHMAD","13 - RACHNA SHARMA","14 - RAJENDRA KUMAR","15 - RAM KUMAR ANK SHASTRI","16 - None of the Above","Total Votes Secured"
1,"U.M.V. KARGUAN PART-1",529,496,0,1025,401,337,0,738,731,0,16,475,178,38,1,3,3,2,1,1,0,1,2,6,2,9,738
2,"U.M.V. KARGUAN PART-2",683,607,0,1290,503,424,0,927,919,0,26,650,178,15,3,1,0,0,0,2,5,1,6,5,17,18,927
3,"U.M.V. KARGUAN PART-3",733,658,0,1391,513,400,0,913,905,0,280,434,151,18,0,1,2,0,0,1,1,0,2,4,11,8,913
4,U.P.V.BARAL,765,657,0,1422,600,485,0,1085,1075,0,198,533,283,20,4,2,4,0,0,1,2,2,4,5,14,13,1085
5,P.V.BARAL,423,369,0,792,346,295,0,641,635,0,6,470,134,5,2,0,4,0,0,3,3,0,0,2,7,5,641
6,P.V.MODKALA,543,541,0,1084,457,443,0,900,892,0,78,293,474,17,0,3,1,1,3,2,3,2,2,8,6,7,900
7,P.V.MODKHURD,432,412,0,844,352,321,0,673,667,0,191,285,168,9,3,0,1,0,0,2,1,1,0,5,4,3,673
8,P.V.NIVI,235,200,0,435,200,166,0,366,363,0,44,79,226,6,0,0,1,0,0,1,2,0,1,2,1,3,366
9,P.V.BEHTASANT,152,148,0,300,137,138,0,275,273,0,27,15,229,1,0,0,0,0,0,0,0,0,0,2,1,0,275
10,P.V.NARI,317,264,0,581,264,187,0,451,447,0,16,107,298,13,1,0,1,0,0,1,1,1,0,5,4,3,451
11,P.V.KHIRIYARAM,80,72,0,152,69,61,0,130,129,0,5,44,77,0,1,0,0,1,0,0,0,0,0,1,1,0,130
12,"P.PATH. SIMTHARI",735,599,0,1334,532,385,0,917,909,0,80,340,440,15,1,0,3,0,1,0,1,1,2,9,9,15,917
13,P.V.MUDEI,555,485,0,1040,463,381,0,844,836,0,57,354,365,30,0,2,6,0,1,1,1,0,3,11,5,8,844
14,P.V.BAVARI,231,206,0,437,185,164,0,349,346,0,111,20,204,3,0,0,0,1,0,0,0,0,0,3,2,5,349
15,"P.PATH. BITHARI",552,503,0,1055,494,416,0,910,902,0,126,592,130,13,0,1,2,2,0,3,1,0,0,6,25,9,910
16,P.V.MADGUAN,388,342,0,730,311,277,0,588,583,0,78,303,185,4,6,0,0,2,0,0,0,1,0,3,3,3,588
17,P.V.ATBEI,642,534,1,1177,569,424,0,993,984,0,30,55,881,23,0,0,1,0,0,0,0,0,0,2,1,0,993
18,P.M.V.PACHAR,614,562,0,1176,495,428,0,923,915,0,70,250,572,9,1,0,1,0,0,0,2,2,1,8,4,3,923
19,P.V.DHARAMPURA,94,89,0,183,68,70,0,138,137,0,2,112,19,3,0,0,1,0,0,0,0,0,0,1,0,0,138
20,P.M.V.BAJHERA,455,408,0,863,373,322,0,695,689,0,44,464,160,4,2,0,0,0,0,1,1,0,1,6,8,4,695
