"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJIT SINGH","2 - GHULAM MOHAMMED","3 - PRASHANT CHAUDHRI","4 - DR. SATYA PAL SINGH","5 - ANIL KUMAR","6 - KRISHAN PAL","7 - YUNUSH","8 - SOMENDAR DHAKA","9 - AJAY PAL","10 - ARVIND","11 - JAIVINDRA KUMAR","12 - NISHANT","13 - RUKSANA","14 - SUBHASH CHAND KASHYAP","15 - None of the Above","Total Votes Secured"
1,"PRIMARI PATHSHALA JAGOS",856,572,0,1428,590,333,0,923,923,0,83,91,70,646,4,1,0,2,1,3,12,5,1,1,3,923
2,"PRIMARI PATHSHALA R.N. 1 JAFARPUR URF AUDHAPUR",523,391,0,914,449,370,0,819,819,0,7,660,1,149,0,0,0,0,0,0,1,0,0,0,1,819
3,"PRIMARI PATHSHALA  R.N. 2 JAFARPUR URF AUDHAPUR",337,241,0,578,221,167,0,388,388,0,3,74,35,274,1,0,0,0,0,0,0,0,0,1,0,388
4,"PANCHAYAT GHAR KANYA PATHSHALA KE NIKAT KOTANA",818,600,0,1418,628,466,0,1094,1094,0,23,42,115,888,5,0,0,0,0,1,9,8,1,0,2,1094
5,"JUNIAR HIGH SCHOOL KOTANA",852,551,1,1404,581,397,0,978,978,0,18,475,9,464,1,0,0,0,0,0,3,1,1,1,5,978
6,"JUNIAR HIGH SCHOOL MADHY KOTANA",1047,613,0,1660,733,377,0,1110,1110,0,31,1027,7,36,1,0,1,0,0,0,2,0,1,1,3,1110
7,"JUNIAR HIGH SCHOOL DAXIN KOTANA",802,477,0,1279,572,326,0,898,898,0,16,645,5,220,3,0,0,0,0,0,3,0,0,2,4,898
8,"PRIMARI PATHSHALA KHERI PRADHAN",225,143,0,368,173,108,0,281,269,0,16,0,4,258,1,0,0,0,0,0,0,1,0,0,1,281
9,"HARIJAN CHOPAL LUHARI",710,526,0,1236,435,327,0,762,762,0,79,6,392,257,5,1,0,0,0,0,4,3,8,2,5,762
10,"PRIMARI PATHSHALA N. 2 R.N. 2 LUHARI",523,388,0,911,404,263,0,667,667,0,204,3,8,436,2,1,0,1,0,0,6,4,0,1,1,667
11,"PRIMARI PATHSHALA NO. 2 R. NO. 3 LUHARI",666,469,0,1135,575,227,0,802,802,0,269,33,6,475,1,0,0,6,0,0,4,3,3,1,1,802
12,"GOUSHALA R.N. 1  LUHARI",573,401,0,974,438,261,0,699,699,0,269,3,2,419,2,0,0,0,0,0,1,1,0,0,2,699
13,"GOUSHALA R.N. 2  LUHARI",312,195,0,507,243,142,0,385,385,0,181,2,0,199,0,0,0,0,0,0,2,1,0,0,0,385
14,"PRIMARI PATHSHALA N. 1 R.N. 1 LUHARI",672,479,0,1151,495,347,0,842,842,0,365,4,4,458,1,0,0,2,0,1,3,1,0,0,3,842
15,"PRIMARI PATHSHALA N. 1 R.N. 2 LUHARI",699,521,0,1220,510,366,0,876,876,0,352,19,6,475,0,1,1,7,0,1,5,4,1,0,4,876
16,"PRIMARI PATHSHALA UTTAR DHIKANA",492,319,0,811,353,208,0,561,554,0,397,3,2,142,1,0,0,11,0,1,2,1,0,0,1,561
17,"PRIMARI PATHSHALA DAXIN DHIKANA",619,420,0,1039,456,275,0,731,725,0,524,3,0,196,0,0,0,3,0,1,0,1,0,0,3,731
18,"MISON PRIMARI PATHSHALA DHIKANA",617,374,0,991,310,207,0,517,497,0,52,26,255,171,2,0,0,2,0,1,0,3,0,2,3,517
19,"MISON PRIMARI PATHSHALA DHIKANA",544,353,0,897,334,205,0,539,538,0,135,10,79,284,1,0,0,4,0,2,10,5,2,2,5,539
20,"JUNIAR HIGH SCHOOL R.N.1 SADATPUR JONMANA",527,365,0,892,372,253,0,625,623,0,363,0,2,249,2,0,1,1,0,1,3,2,0,0,1,625
21,"JUNIOR HIGH SCHOOL R. NO. 2 SADATPUR JONMANA",473,352,0,825,350,255,0,605,605,0,360,10,1,231,0,0,0,0,0,0,0,2,0,0,1,605
22,"JUNIOR HIGH SCHOOL R. NO. 3 SADATPUR JONMANA",441,321,0,762,327,238,0,565,565,0,172,44,3,331,0,0,0,2,0,0,4,6,0,0,3,565
23,"HARIJAN CHOPAL R. NO.1 SADATPUR JONMANA",637,396,0,1033,516,310,0,826,826,0,14,7,76,706,4,0,0,0,1,0,4,7,5,1,1,826
24,"HARIJAN CHOPAL R. NO. 2 SADATPUR JONMANA",384,265,1,650,269,195,0,464,460,0,8,1,274,169,1,0,1,0,0,0,2,1,4,2,1,464
25,"PRIMARI PATHSHALA BOHLA",315,260,0,575,230,179,0,409,409,0,12,141,7,243,0,0,0,1,0,0,4,0,0,0,1,409
26,"HARIJAN CHOPAL MALAKPUR",620,442,0,1062,379,265,0,644,644,0,143,7,295,174,1,0,0,1,0,1,2,2,9,2,7,644
27,"KANYA JUNIAR HIGH SCHOOL UTTAR MALAKPUR",697,497,0,1194,545,346,0,891,891,0,532,28,15,305,0,0,0,1,0,0,4,2,1,0,3,891
28,"PRIMARI PATHSHALA N. 1 UTTAR MALAKPUR",784,554,0,1338,515,355,0,870,860,0,277,35,36,503,3,0,0,2,0,1,6,2,1,1,3,870
29,"PRIMARI PATHSHALA N. 1 DAXIN MALAKPUR",902,570,0,1472,589,353,0,942,941,0,446,39,26,409,1,1,0,0,0,0,11,3,2,2,2,942
30,"PRIMARI PATHSHALA CHOBLI",773,627,0,1400,662,399,0,1061,1061,0,45,17,67,914,7,0,2,0,0,0,6,0,1,0,2,1061
31,"ATI0 HARIJAN CHOPAL LOYAN",460,339,0,799,252,170,0,422,422,0,49,7,262,79,0,1,1,1,1,0,3,4,8,3,3,422
32,"PRIMARI PATHSHALA UTTAR LOYAN",812,562,1,1375,548,350,0,898,898,0,626,3,5,258,1,2,0,0,0,1,0,0,0,1,1,898
33,"PRIMARI PATHSHALA MADHY LOYAN",868,666,0,1534,576,364,0,940,940,0,742,6,2,185,1,0,0,0,0,0,2,0,0,2,0,940
34,"HARIJAN CHOPAL UTTAR SADIKPUR SINAULI",719,510,0,1229,393,284,0,677,677,0,19,92,160,390,1,0,0,1,0,2,2,4,2,0,4,677
35,"HARIJAN CHOPAL DAXIN SADIKPUR SINAULI",496,323,0,819,271,153,0,424,420,0,3,8,257,128,0,1,1,3,0,0,3,5,9,4,2,424
36,"ADARSH VEDIC VIDHYALAY UTTAR SADIKPUR SINAULI",712,467,0,1179,482,296,0,778,778,0,443,30,1,295,1,0,0,1,0,0,1,1,1,0,4,778
37,"ADARSH VEDIC VIDHYALAY DAXIN SADIKPUR SINAULI",549,342,0,891,413,238,0,651,651,0,462,28,2,150,0,0,0,1,0,0,1,1,1,1,4,651
38,"PRIMARY PATHSHALA NO. 1 R. NO. 1 SADIKPUR SINAULI",534,360,0,894,342,229,0,571,571,0,376,21,1,153,3,1,0,0,0,2,1,3,1,2,7,571
39,"PRIMARY PATHSHALA NO. 1 R. NO. 2 SADIKPUR SINAULI",626,462,0,1088,356,234,0,590,590,0,308,52,3,220,1,0,0,0,0,0,2,0,2,1,1,590
40,"A0 DHACHA HARIJAN BASTI KOOP KE PAS RUSTAMPUR",504,356,0,860,277,209,0,486,457,0,46,101,83,250,0,0,0,1,0,0,1,0,1,1,2,486
41,"PRIMARI PATHSHALA RUSTAMPUR",430,318,0,748,301,210,0,511,509,0,210,3,0,274,1,0,0,18,1,0,3,0,0,0,1,511
42,"HARIJAN CHOPAL SADAK KE PAS PASCHIM BAOLI",484,339,0,823,304,207,0,511,511,0,8,14,131,316,3,0,0,4,3,2,7,10,4,1,8,511
43,"HARIJAN CHOPAL SADAK KE PAS PURAB BAOLI",510,347,0,857,322,223,0,545,544,0,33,195,201,82,1,0,2,2,1,3,2,3,8,4,8,545
44,"CHOPAL PATTI DESHU BAOLI",854,612,0,1466,576,388,0,964,960,0,278,49,3,626,2,0,0,0,0,2,1,2,1,0,0,964
45,"RA. KANYA U. MA. VIDHYALYA R. NO. 8 BAOLI",527,374,0,901,362,207,0,569,569,0,191,1,2,368,2,1,0,1,0,0,1,1,0,0,1,569
46,"RA. KANYA U. MA. VIDHYALYA R. NO. 9 BAOLI",462,306,0,768,340,192,0,532,532,0,167,28,4,331,0,0,0,0,0,0,0,0,1,0,1,532
47,"RA. KANYA U. MA. VIDHYALYA R. NO. 10 BAOLI",804,554,0,1358,550,371,0,921,921,0,458,9,2,436,2,0,0,3,0,1,5,1,1,0,3,921
48,"CHOPAL PATTI GOPI BAOLI",639,450,0,1089,475,272,0,747,747,0,452,8,6,272,0,0,0,4,0,2,2,1,0,0,0,747
49,"PRIMARI PATHSHALA NO. 1 R. NO. 1 JIWANA",514,398,0,912,365,249,0,614,612,0,205,34,1,360,3,0,0,0,0,1,3,5,1,0,1,614
50,"PRIMARI PATHSHALA NO. 1 R. NO. 2 JIWANA",321,234,0,555,253,159,0,412,387,0,177,20,1,208,0,0,0,1,0,0,1,1,0,0,3,412
51,"HARIJAN CHOPAL JIWANA",403,279,0,682,254,185,0,439,439,0,60,58,177,135,1,0,0,1,0,0,1,0,5,0,1,439
52,"PRIMARI PATHSHALA GUNGA KHERI",362,257,0,619,256,173,0,429,426,0,251,7,2,163,0,0,0,2,0,1,1,0,0,0,2,429
53,"SARSWATI SHIKSHA SADAN JUNIOR HIGH SCHOOL GUNGA KHERI",326,234,0,560,195,125,0,320,320,0,9,1,74,226,1,0,0,1,2,0,1,3,1,0,1,320
54,"PRIMARI PATHSHALA CHHACHHRPUR",491,353,0,844,343,190,0,533,533,0,282,4,51,181,1,0,0,0,1,0,1,2,4,1,5,533
55,"DALIT CHOPAL CHHACHHRPUR",243,176,0,419,231,109,0,340,340,0,227,0,7,105,0,0,0,0,0,0,1,0,0,0,0,340
56,"PRIMARI PATHSHALA ACHRAJ KHERA",324,256,0,580,280,185,0,465,462,0,9,8,3,443,0,0,0,0,0,0,2,0,0,0,0,465
57,"HARIJAN CHOPAL BIJROL",518,355,0,873,354,174,0,528,520,0,34,10,352,86,3,0,1,0,1,2,5,10,15,2,7,528
58,"PRIMARI PATHSHALA NO. 1 BIJROL",524,398,0,922,354,286,0,640,640,0,257,3,5,371,0,0,0,0,1,0,2,1,0,0,0,640
59,"KANYA PATHSHALA BIJROL",536,355,0,891,398,238,0,636,610,0,401,1,3,230,0,0,0,0,0,0,1,0,0,0,0,636
60,"MADRSA MUSLMAN BIJROL",433,276,0,709,230,165,0,395,392,0,10,375,6,0,0,0,0,0,0,0,0,0,1,3,0,395
61,"MADRSA MUSLMAN R. NO. 2 BIJROL",566,404,0,970,282,235,0,517,517,0,9,410,2,75,0,0,0,0,0,0,0,1,1,12,7,517
62,"SHANTA SMARK INTER COLLEGE BIJROL",630,466,0,1096,415,317,0,732,732,0,298,3,2,428,0,0,0,0,0,0,0,0,0,0,1,732
63,"SHANTA SMARK INTER COLLEGE R. NO. 3 BIJROL",610,415,0,1025,410,293,0,703,703,0,393,1,3,302,1,0,1,0,0,0,0,1,0,0,1,703
64,"PRIMARI PATHSHALA NO. 2 R. NO. 1 BIJROL",547,432,0,979,365,316,0,681,681,0,178,1,8,478,1,0,0,1,0,0,7,3,0,1,3,681
65,"PRIMARI PATHSHALA NO. 2 R. NO. 2 BIJROL",452,344,0,796,285,220,0,505,502,0,245,1,3,249,0,1,0,0,0,0,0,0,0,0,6,505
66,"PRIMARI PATHSHALA ASAF PUR KHADKHADI",595,462,0,1057,537,304,0,841,841,0,176,529,0,131,0,0,1,0,0,1,0,0,0,2,1,841
67,"PRATHMIK VIDHYALY NO. 2 R. NO. 1  MAHAVATPUR",583,438,0,1021,359,261,0,620,614,0,113,145,173,168,1,1,0,4,0,2,1,5,2,0,5,620
68,"PRATHMIK VIDHYALY NO. 2 R. NO. 2  MAHAVATPUR",447,322,0,769,325,232,0,557,557,0,71,167,18,287,0,3,0,1,0,0,4,1,1,0,4,557
69,"PRIMARI PATHSHALA UTTAR MAHAVATPUR",555,456,0,1011,391,298,0,689,686,0,336,70,2,277,0,0,0,0,0,0,1,0,2,1,0,689
70,"PRIMARI PATHSHALA DAXIN MAHAVATPUR",716,544,0,1260,565,350,0,915,915,0,587,18,2,287,2,1,0,13,1,1,1,1,0,1,0,915
71,"PRACHEEN PRA. VIDHYALY NEHRU ROAD R. NO. 1 BARAUT",495,392,0,887,314,248,0,562,562,0,19,67,10,450,3,0,0,9,0,0,1,1,0,0,2,562
72,"PRACHEEN PRA. VIDHYALY NEHRU ROAD R. NO. 2 BARAUT",755,632,1,1388,456,385,0,841,841,0,104,76,9,640,4,0,1,1,0,1,1,1,0,0,3,841
73,"PRACHEEN PRA. VIDHYALY NEHRU ROAD R. NO. 3 BARAUT",521,481,0,1002,398,329,0,727,710,0,26,64,5,613,1,2,1,4,0,2,6,1,1,0,1,727
74,"KARYALY NAGAR PALIKA R. NO. 4 BARAUT",713,582,0,1295,516,405,0,921,920,0,70,18,129,687,1,0,1,1,0,1,7,2,0,1,3,921
75,"KARYALY NAGAR PALIKA R. NO. 5 BARAUT",772,584,0,1356,525,331,0,856,833,0,76,24,41,688,6,1,1,4,0,0,3,1,4,0,7,856
76,"KARYALY NAGAR PALIKA R. NO. 6 BARAUT",318,246,0,564,203,161,0,364,364,0,74,11,12,260,0,0,0,5,0,0,1,0,0,0,1,364
77,"VEER SMARAK INTER COLLEGE MADHY BARAUT",719,641,0,1360,494,410,0,904,904,0,80,217,13,577,0,0,1,3,0,0,1,3,1,1,7,904
78,"VEER SMARAK INTER COLLEGE MADHY BARAUT",743,579,0,1322,491,344,0,835,835,0,127,107,7,586,0,0,0,1,0,1,1,1,2,0,2,835
79,"VEER SMARAK INTER COLLEGE MADHY BARAUT",708,545,0,1253,456,355,0,811,795,0,72,69,15,630,4,0,0,2,0,1,4,6,3,2,3,811
