"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA KUMAR","2 - SALEEM IQBAL SHERVANI","3 - KUNWAR SARVRAJ SINGH","4 - SUNITA SHAKYA","5 - IRSHAD ANSARI ADVOCATE","6 - OM VEER","7 - MOHD. ZARRAR KHAN","8 - JITENDRA SINGH YADAV","9 - NARESH SINGH SOLANKI","10 - PRAMOD KUMAR YADAV","11 - YOGENDRA KUMAR VERMA","12 - CAPTAIN P.C. SHARMA","13 - ARSHADURRAZA KHAN","14 - None of the Above","Total Votes Secured"
1,"PRI.PAT. SHAHAPUR MU.",144,123,0,267,115,90,0,205,205,0,184,8,8,0,0,0,0,0,0,0,0,0,0,5,205
2,"PRI.PAT. SIRAULI",584,488,0,1072,339,290,0,629,629,0,363,22,218,4,0,1,1,0,1,0,2,3,3,11,629
3,"KR.U.I.C. POORVI BLOCK R.N.1 SIRAULI",771,655,0,1426,441,434,0,875,875,0,114,163,556,18,2,1,1,0,1,1,4,6,2,6,875
4,"K.J.H.SCHOOL R.N.2 SIRAULI",733,607,0,1340,430,322,0,752,737,0,108,108,519,6,0,0,1,0,2,1,2,3,0,2,752
5,"K.J.H.SCHOOL R.N.1 SIRAULI",212,194,0,406,103,83,0,186,184,0,36,21,122,0,0,0,0,0,0,0,3,1,0,3,186
6,"K.J.H.SCHOOL R.N.3 SIRAULI",722,580,0,1302,423,333,0,756,746,0,86,128,531,4,1,0,1,0,0,1,1,1,0,2,756
7,"K.J.H.SCHOOL R.N.4 SIRAULI",379,326,0,705,250,212,0,462,462,0,188,38,209,5,0,0,1,1,2,0,0,2,4,12,462
8,"KR.U.I.C. POORVI BLOCK R.N.4 SIRAULI",836,713,0,1549,442,336,0,778,314,0,277,123,337,13,0,2,1,0,1,1,6,4,2,11,778
9,"KR.U.I.C. PASCHAMI BLOCK R.N.5 SIRAULI",904,734,0,1638,423,297,0,720,720,0,176,41,205,270,8,0,0,1,1,1,5,1,4,7,720
10,"KR.U.I.C. PASCHAMI BLOCK R.N.4 SIRAULI",644,554,0,1198,337,306,0,643,643,0,321,72,215,7,0,1,0,1,0,2,2,4,4,14,643
11,"KR.U.I.C. PASCHAMI BLOCK R.N.7 SIRAULI",730,584,0,1314,369,295,0,664,664,0,173,127,333,8,0,1,0,0,5,2,1,0,4,10,664
12,"PRI. PATH. PYAS R. NO. 1",656,590,0,1246,339,337,0,676,676,0,77,151,330,91,2,1,2,1,0,1,5,2,4,9,676
13,"PRI. PATH. PYAS ROOM. NO. 5",281,231,1,513,135,120,1,256,256,0,23,49,172,2,0,0,1,1,0,0,1,3,2,2,256
14,"PRI. PATH. PYAS R. NO. 1",705,589,0,1294,343,389,0,732,696,0,20,70,539,84,3,0,0,0,1,0,6,3,1,5,732
15,"PRI. PATH. PYAS R. NO. 2",513,457,0,970,273,251,0,524,524,0,34,82,296,101,2,0,0,0,0,0,1,3,2,3,524
16,"PRI. PATH. PYAS R. NO. 3",433,359,0,792,235,200,0,435,435,0,21,120,265,23,0,0,0,0,1,0,1,0,1,3,435
