"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR PUSHPENDRA SINGH CHANDEL","2 - PRITAM SINGH LODHI","3 - BISHAMBHAR PRASAD NISHAD","4 - RAKESH KUMAR GOSWAMI","5 - ATUL KUMAR PRAJAPATI","6 - ANIL KUMAR","7 - AVINASH KUMAR MISHRA","8 - KAILASH PRASAD NISHAD","9 - RAMESH PRAJAPATI","10 - RAMSAJIVAN","11 - VIVEK KUMAR","12 - SHRIPAL","13 - KIRAN","14 - PRAVESH KUMAR VYAS","15 - VIMLESH","16 - None of the Above","Total Votes Secured"
1,"P.S. LUHEDI",699,602,0,1301,446,313,0,759,758,0,244,13,408,39,2,1,14,3,1,3,7,2,6,3,2,11,759
2,"K.P.S. LUHEDI",399,353,0,752,234,193,0,427,427,0,64,3,142,196,4,2,1,0,0,0,2,4,3,2,1,3,427
3,"P.M.V. HILUWA",382,310,0,692,263,182,0,445,406,0,86,23,213,97,4,1,0,2,1,3,2,2,1,3,3,4,445
4,"P.M.V. PIPRAMAF ROOM NO. 1",557,459,0,1016,328,192,0,520,462,0,323,10,97,63,2,0,7,1,0,1,3,1,4,3,0,5,520
5,"P.M.V. PIPRAMAF  ROOM NO. 2",562,433,0,995,294,186,0,480,441,0,190,28,54,168,2,2,1,2,0,1,6,4,1,4,8,9,480
6,"P.M.V. PIPRAMAF  ROOM NO. 3",423,350,0,773,231,169,0,400,62,0,224,56,66,33,1,2,2,1,0,1,2,2,0,0,3,7,400
7,"P.S. KARPAHADIYA",351,283,0,634,197,157,0,354,341,0,78,4,42,217,2,2,3,0,0,1,1,0,1,1,1,1,354
8,"U.P.S. NANAURA  ROOM NO. 1",430,365,0,795,290,206,0,496,330,0,283,7,163,30,5,0,3,0,0,0,1,0,0,1,1,2,496
9,"U.P.S. NANAURA  ROOM NO. 2",422,356,0,778,254,196,0,450,430,0,167,6,73,184,2,0,6,0,1,1,2,2,2,2,1,1,450
10,"P.S. NANAURA PRAMUKH",753,646,0,1399,460,338,0,798,758,0,437,21,111,187,1,7,4,5,2,3,4,2,2,3,2,7,798
11,"SHRI GANDHI V.M.J.H.S. NANAURA",791,672,0,1463,456,358,0,814,814,0,311,34,260,127,6,3,5,3,4,1,14,9,9,11,9,8,814
12,"P.S. DHUDAIYAN",227,203,0,430,147,120,0,267,260,0,183,1,18,46,2,2,1,0,1,5,2,2,0,0,2,2,267
