"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANSHUL VERMA","2 - USHA VERMA","3 - SHIVE PRASAD VERMA","4 - SARVESH KUMAR","5 - CHANDRAPAL","6 - RAMDAYAL","7 - RAMLAKHAN GAUTAM","8 - SANJAY KUMAR","9 - SANTRAM","10 - HIRA LAL VERMA","11 - RAMPAL","12 - SHIVEKUMAR","13 - SAROJ KUMAR","14 - SARVESH","15 - SUNIL BHARTI","16 - None of the Above","Total Votes Secured"
1,TEBHNAPUR,393,303,0,696,260,181,0,441,381,0,231,104,84,4,2,0,0,0,1,0,1,0,3,4,2,5,441
2,"K.J.H.S. AKHVELPUR MALVA",607,502,0,1109,353,255,0,608,1,0,410,113,70,0,2,0,1,0,3,0,2,2,1,0,1,3,608
3,"P.P. TILMAI KHEDA M. AKHBELPUR MALBA",393,307,0,700,246,188,0,434,388,0,210,79,131,1,0,0,0,0,0,0,0,4,1,2,4,2,434
4,"P.P. SADULLAPUR",714,612,0,1326,293,438,0,731,1,0,332,226,114,16,3,0,0,4,0,1,3,7,4,5,6,10,731
5,"P.P. KHERVA AMJADPUR",241,211,0,452,185,152,0,337,332,0,96,74,145,10,1,0,0,0,0,0,0,2,0,3,3,3,337
6,"P.P. GAUSAPUR M. SAETIYAPUR",288,242,0,530,173,142,0,315,315,0,32,59,201,9,0,0,0,0,0,0,1,2,2,4,3,2,315
7,"SAITAYAPUR P.P. R.N. 1",665,619,0,1284,402,319,0,721,475,0,572,77,33,22,1,0,0,2,0,0,3,1,2,3,2,3,721
8,"SAITAYAPUR P.P. R.N. 2",402,370,0,772,240,209,0,449,310,0,89,157,164,16,1,1,0,1,0,0,0,3,4,6,4,3,449
9,"J.H.S. SAGAICHAMAU",782,659,0,1441,435,349,0,784,6,0,504,106,140,18,0,0,0,0,0,2,0,2,0,2,3,7,784
10,"P.P. SEMRA M. SAGAICHAMAU",352,317,0,669,229,191,0,420,420,0,147,70,183,4,1,0,0,1,0,1,0,4,0,4,3,2,420
11,"P.P. PIRHATHIYA M. JAJWASI",423,344,0,767,303,218,0,521,451,0,261,99,125,9,1,1,0,1,2,0,0,2,0,5,9,6,521
12,"P.P. JAJWASI",750,597,0,1347,493,349,0,842,632,0,330,73,401,11,0,1,1,0,0,1,2,3,0,9,6,4,842
13,"P.P. AMLAUKHA",280,236,0,516,223,146,0,369,369,0,99,4,249,3,1,0,0,0,0,1,0,3,0,4,1,4,369
14,"P.P. BAGHRAI R.N. 2",552,430,0,982,313,253,0,566,1,0,147,229,176,3,1,0,1,1,1,0,0,2,1,0,2,2,566
15,"P.P. BAGHRAI R.N. 2",502,418,0,920,294,236,0,530,530,0,73,281,157,6,0,0,1,0,0,1,0,4,1,2,2,2,530
16,"P.P. MURAULIGWAL",410,306,0,716,271,152,0,423,14,0,268,9,120,19,2,0,0,0,0,0,0,0,1,1,2,1,423
17,"J.H.S. LAHOURIPURWA M. SAIDAPUR",490,416,0,906,318,262,0,580,578,0,190,234,117,3,1,1,1,15,1,2,1,6,1,2,1,4,580
18,"P.P. SAIDAPUR",258,226,0,484,158,143,0,301,301,0,151,31,102,4,1,0,0,4,1,0,0,2,2,1,0,2,301
19,"P.P. ADAMPUR R.N.1",508,439,0,947,292,196,0,488,488,0,227,130,101,8,0,1,2,1,0,2,0,2,1,1,2,10,488
20,"P.P. ADAMPUR R.N.2",467,396,0,863,286,188,0,474,438,0,158,164,118,7,2,0,0,2,1,0,0,3,1,8,6,4,474
21,"P.P. EXTRA R. ADAMPUR",523,428,0,951,304,233,0,537,536,0,102,105,312,7,2,1,1,0,0,0,0,2,0,3,1,1,537
22,"K.P.P. CHHITEPUR M. AADAMPUR",187,168,0,355,159,142,0,301,301,0,46,37,209,1,1,2,0,1,1,0,0,1,1,0,1,0,301
23,"P.P. SANTOSSHANPURWA M. KOILAI",230,195,0,425,141,108,0,249,200,0,153,68,18,5,0,0,0,3,0,2,0,0,0,0,0,0,249
24,"P.P. KOILAI",353,301,0,654,207,216,0,423,423,0,222,134,45,6,0,1,0,0,1,0,1,6,1,3,2,1,423
25,"P.P. ODRA",396,360,0,756,276,205,0,481,477,0,223,112,123,7,0,0,0,4,0,0,1,0,2,3,1,5,481
26,"P.P. RASOOLPUR AIMA",399,342,0,741,235,202,0,437,41,0,271,107,29,12,0,1,0,0,0,1,3,4,0,0,3,6,437
27,"P.P. MIRZAPUR",266,209,0,475,181,120,0,301,301,0,195,74,10,1,1,1,2,0,0,1,0,3,5,2,2,4,301
28,"P.P. BHAOURAJPUR",313,262,0,575,227,180,0,407,407,0,327,64,4,7,0,1,0,0,0,0,0,0,0,0,1,3,407
29,"J.H.S. SANDI N.P.P.R.N. 1",520,461,0,981,305,264,0,569,1,0,215,316,18,9,0,1,0,0,0,1,0,1,1,0,2,5,569
30,"J.H.S. SANDI N.P.P.R.N. 2",499,426,0,925,353,289,0,642,510,0,259,356,12,1,2,0,0,0,0,0,0,0,2,0,6,4,642
31,"J.H.S. SANDI N.P.P. R.N. 3",331,275,0,606,188,118,0,306,304,0,54,10,223,6,0,0,0,1,0,1,1,2,1,2,2,3,306
32,"P.P. KHALSA SANDI N.P.P. R.N. 1",490,383,0,873,275,233,0,508,1,0,202,235,52,5,0,0,0,0,0,1,0,1,1,1,3,7,508
33,"P.P. KHALSA N.P.P. SANDI EXTRA. ROOM",449,459,0,908,276,257,0,533,533,0,255,229,41,3,0,0,0,0,0,0,0,3,0,0,1,1,533
34,"P.P. KHALSA SANDI N.P.P. R.N. 2",751,672,0,1423,406,358,0,764,764,0,255,457,38,9,0,1,0,0,0,0,1,0,0,0,2,1,764
35,"P.P. KHIRKIYA N.P.P. SANDI",362,321,0,683,218,166,0,384,350,0,288,64,18,3,1,0,1,0,1,2,0,0,1,0,0,5,384
36,"P.P. NABABGANJ SANDI N.P.P. R.N.1",615,533,0,1148,408,301,0,709,535,0,362,288,23,11,1,5,2,0,0,1,2,2,1,3,4,4,709
37,"P.P. NABABGANJ SANDI N.P.P. R.N. 2",572,494,0,1066,339,248,0,587,574,0,328,226,17,4,0,0,0,0,0,1,1,1,1,1,1,6,587
38,"B.K. SANDI N.P.P. R.N. 1",481,442,1,924,295,212,0,507,507,0,256,184,59,2,0,0,0,0,1,1,0,1,1,0,1,1,507
39,"B.K. SANDI N.P.P. R.N. 2",551,553,0,1104,313,287,0,600,599,0,338,155,72,7,2,0,1,0,4,1,2,2,2,4,5,5,600
40,"K.P.P. NAOUSHAHRA SANDI N.P.P.",718,642,0,1360,424,403,0,827,1,0,432,307,50,13,0,3,2,2,0,1,0,1,3,2,2,9,827
41,"K.J.H.S. NAOUSHAHRA SANDI N.P.P. R.N. 1",761,670,0,1431,486,335,0,821,798,0,394,336,31,36,1,3,1,0,0,2,0,3,2,1,2,9,821
42,"K.J.H.S. NAOUSHAHRA SANDI N.P.P. R.N. 2",913,715,0,1628,531,286,0,817,802,0,553,184,17,15,2,2,0,0,2,2,0,2,8,1,12,17,817
43,"VISHWABANDHU I.C. SANDI N.P.P. R.N. 1",261,240,0,501,158,150,0,308,308,0,64,216,8,9,0,4,0,0,0,0,0,1,1,0,3,2,308
44,"VISHWABANDHU I.C. SANDI N.P.P. R.N. 2",583,551,0,1134,354,324,0,678,678,0,223,388,22,23,0,1,0,1,1,5,0,3,2,1,2,6,678
45,"KA.N.P.P. SANDI R.N. 1",451,367,1,819,285,222,0,507,1,0,266,171,41,13,1,0,0,0,2,1,1,0,0,1,2,8,507
46,"KA.N.P.P. SANDI R.N. 2",524,437,1,962,297,264,0,561,1,0,254,128,157,7,0,2,0,0,0,2,1,0,1,3,3,3,561
47,"P.P. BEHTI CHIRAGPUR",344,279,0,623,231,191,0,422,342,0,192,59,146,11,0,0,0,1,0,0,0,4,1,1,0,7,422
48,"P.P. BHIKHPUR",378,307,0,685,256,209,0,465,464,0,197,65,183,0,1,1,5,0,1,4,2,0,1,4,1,0,465
49,"P.P. PARSAPUR",423,325,0,748,287,188,0,475,475,0,337,76,28,13,2,1,0,0,0,0,0,2,4,3,2,7,475
50,"P.P. MURAULI KATHERIYAN R.N. 1",490,383,0,873,288,211,0,499,1,0,299,98,77,6,1,1,4,0,0,1,1,3,1,2,1,4,499
51,"P.P. MURAULI KATHERIYAN R.N. 2",400,345,0,745,273,221,0,494,493,0,147,138,185,2,1,0,1,0,1,1,0,4,3,2,1,8,494
52,"P.P. NEKPUR HATIMPUR",434,387,0,821,302,217,0,519,1,0,345,47,108,4,1,0,1,0,0,0,0,4,1,3,0,5,519
53,"P.P. BHAERAMPUR",378,338,0,716,271,207,0,478,118,0,299,32,128,4,1,1,0,0,3,0,0,1,3,3,2,1,478
54,"P.P. CHAOUDHARIYAPUR R.N. 1",496,412,0,908,295,226,0,521,521,0,386,58,35,3,2,0,0,0,0,2,2,5,3,3,6,16,521
55,"P.P. CHAOUDHARIYAPUR R.N. 2",454,400,0,854,254,194,0,448,1,0,216,140,71,1,2,1,1,0,2,4,0,1,1,2,1,5,448
56,"P.P. MASOODPUR",337,267,0,604,227,176,0,403,1,0,333,38,22,3,0,0,0,1,0,0,0,1,1,0,2,2,403
57,"P.P. BHAUPURWA M. SAKHEDA",246,201,0,447,162,128,0,290,1,0,159,43,68,2,3,0,0,0,0,1,0,2,3,3,2,4,290
58,"P.P. MITMITPUR",439,350,0,789,292,239,0,531,1,0,338,132,44,7,1,1,2,1,0,0,0,3,0,0,0,2,531
59,"P.P. GANJARI",346,296,0,642,222,161,0,383,1,0,259,110,3,0,1,1,0,1,1,1,0,1,1,0,1,3,383
60,"J.H.S.  KUWARIYAPUR",468,354,0,822,311,206,0,517,502,0,409,57,32,2,0,0,1,0,0,0,0,0,2,2,5,7,517
61,"P.P. KAIMAU",455,350,0,805,378,281,0,659,1,0,5,646,6,0,0,0,0,0,1,0,0,0,0,0,0,1,659
62,"P.P. SAKHEDA",718,583,0,1301,363,320,0,683,1,0,163,436,70,2,0,2,0,1,0,0,0,2,1,1,3,2,683
63,"J.H.S. DHONDHI R.N. 1",743,593,0,1336,421,295,0,716,612,0,430,140,113,13,1,0,1,0,0,0,0,4,5,3,3,3,716
64,"J.H.S. DHONDHI R.N. 2",230,231,0,461,95,77,0,172,152,0,116,34,21,1,0,0,0,0,0,0,0,0,0,0,0,0,172
65,"P.P. NAUPURWA M. DHONDHI",214,208,0,422,138,143,0,281,1,0,2,37,229,4,2,0,0,0,0,0,0,5,0,2,0,0,281
66,"P.P. ALIYAPUR M. SIRAICHMAU",522,416,0,938,301,220,0,521,521,0,122,64,321,4,0,1,1,0,1,0,0,4,1,0,0,2,521
67,"P.P. HASNAPUR R.N. 1",722,622,0,1344,461,348,0,809,1,0,221,273,298,7,0,1,0,1,1,0,1,1,1,0,2,2,809
68,"P.P. HASNAPUR R.N. 2",610,509,0,1119,320,190,0,510,1,0,373,102,15,3,0,0,1,0,1,1,1,3,3,0,1,6,510
69,"P.P. SAMJALPUR",467,389,0,856,307,231,0,538,538,0,321,71,117,3,1,1,0,0,0,3,0,5,5,1,4,6,538
70,"P.P. JARAOULIKALAN R.N. 1",523,455,0,978,310,260,0,570,1,0,378,143,37,6,0,1,0,0,0,0,0,0,0,1,0,4,570
71,"P.P. JARAOULIKALAN R.N. 22",458,383,0,841,281,239,0,520,1,0,312,167,25,2,1,1,0,0,0,2,1,2,0,1,2,4,520
72,"P.P. DHANDHAMAU",609,466,0,1075,341,246,0,587,1,0,191,115,251,6,1,1,0,0,0,2,2,5,2,6,1,4,587
73,"P.P. AZMATNAGAR",779,702,0,1481,445,361,0,806,1,0,523,143,85,4,5,2,1,1,2,3,1,3,2,4,8,19,806
74,"P.P. RAMPUR MAJHIYARA",625,560,0,1185,324,288,0,612,1,0,233,189,169,5,1,3,0,0,1,1,0,3,1,0,3,3,612
75,"J.H.S. DHARAMPUR M. RAMPUR MAJHIYARA",395,308,0,703,217,160,0,377,1,0,229,36,94,8,0,1,0,2,0,2,0,0,0,1,2,2,377
76,"P.P. TERWA CHANDPUR",345,270,0,615,196,158,0,354,1,0,253,62,22,6,1,1,0,0,0,0,0,0,1,1,2,5,354
77,"P.P. NEKPUR NEWADA",578,447,0,1025,336,208,0,544,521,0,322,195,7,8,0,1,0,0,1,0,0,0,0,2,6,2,544
78,"P.P. PANURA",212,182,0,394,151,128,0,279,1,0,146,79,42,2,2,0,1,1,0,0,0,0,0,2,2,2,279
79,"P.P. DHANSARI",290,245,0,535,161,145,0,306,1,0,138,98,65,2,0,0,0,0,0,0,0,1,0,0,1,1,306
80,"P.P. SIRAICHMAU",178,156,0,334,113,82,0,195,110,0,66,32,90,0,1,0,0,0,1,1,0,1,0,0,0,3,195
81,"P.P. AALAPUR",246,206,0,452,129,117,0,246,1,0,37,80,97,18,1,0,0,0,1,7,1,2,1,0,0,1,246
82,"P.P. BEHTA BUJURG R.N. 1",596,471,0,1067,324,232,0,556,550,0,57,350,125,2,1,1,0,1,1,0,1,1,3,2,7,4,556
83,"P.P. BEHTA BUJURG R.N. 2",456,349,0,805,265,200,0,465,46,0,259,28,149,4,1,0,0,0,1,2,1,1,0,5,0,14,465
84,"J.H.S. DURGAGANJ R.N. 1",700,537,0,1237,403,135,0,538,1,0,361,139,14,4,1,1,1,1,1,1,2,5,3,1,1,2,538
85,"J.H.S. DURGAGANJ R.N. 2",683,568,0,1251,371,267,0,638,1,0,346,132,139,1,0,1,0,0,0,4,0,0,5,6,0,4,638
86,"P.P. SARAOUNA M. DURGAGANJ",253,214,1,468,178,158,0,336,336,0,40,63,213,6,4,0,0,1,4,0,0,3,0,2,0,0,336
87,"P.P. DHONDHPUR",550,516,0,1066,334,348,0,682,681,0,148,192,296,12,5,0,1,1,2,1,0,9,2,4,3,6,682
88,"PANCHAYATGHAR HASAOULIYA",484,377,0,861,225,178,0,403,403,0,107,150,117,11,3,0,1,0,0,3,0,4,2,1,1,3,403
89,"P.P. SAHORIYA R.N. 1",600,493,1,1094,314,377,0,691,1,0,222,298,148,9,1,1,0,0,1,0,0,2,1,3,1,4,691
90,"P.P. SAHORA R.N. 2",173,152,0,325,95,50,0,145,145,0,62,50,31,0,0,0,0,0,1,0,0,0,1,0,0,0,145
91,"P.P. MADARA",425,359,0,784,301,230,0,531,1,0,46,252,213,2,0,6,0,0,0,1,0,3,0,2,5,1,531
92,"P.P. NABABGANJ M. PINDARI",379,287,0,666,329,204,0,533,1,0,31,358,134,0,1,0,0,0,0,0,0,2,2,1,1,3,533
93,"P.P. DAGHELAPURWA M. PINDARI",246,220,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"P.P. JATPURA",340,287,0,627,223,161,0,384,6,0,174,67,112,3,4,1,0,0,2,0,1,4,4,4,1,7,384
95,"J.H.S. PINDARI R.N. 1",551,406,0,957,302,234,0,536,1,0,48,172,303,5,1,0,2,1,1,0,0,2,0,1,0,0,536
96,"J.H.S. PINDARI R.N. 2",497,397,0,894,236,162,0,398,1,0,124,156,107,4,0,3,0,0,1,0,1,0,0,0,1,1,398
97,"P.P. TERIYA",521,419,0,940,315,235,0,550,281,0,65,261,192,4,2,2,0,1,1,0,4,8,2,5,3,0,550
98,"P.P. PARAOUNCHI",560,433,0,993,324,190,0,514,514,0,135,215,129,15,1,1,2,2,1,1,1,3,1,4,0,3,514
99,"P.P. CHACHRAPUR",864,690,0,1554,500,449,0,949,650,0,363,186,365,10,1,9,0,2,0,1,0,2,2,4,0,4,949
100,"P.P. MAJHIYA",253,226,0,479,187,172,0,359,1,0,89,148,109,8,0,0,0,0,0,0,0,0,0,2,1,2,359
101,"J.H.S. RASOOLPUR GOA",469,448,0,917,351,302,0,653,615,0,232,171,228,9,1,0,0,1,0,0,0,3,2,2,0,4,653
102,"P.P. KHUTEHNA",372,314,0,686,252,223,0,475,357,0,167,75,198,25,0,0,0,0,0,0,2,0,1,5,1,1,475
103,"P.P. GANDHI M. KHUTEHNA",358,312,0,670,259,214,0,473,210,0,152,121,175,11,0,1,1,0,0,0,0,0,3,2,3,4,473
104,"P.P. ULLAMAU",507,442,0,949,271,211,0,482,317,0,266,127,67,9,2,0,0,1,0,0,2,2,0,1,1,4,482
105,"P.P. DATELI M. KAKEDI",210,169,0,379,185,117,0,302,290,0,7,122,153,3,1,0,0,0,0,1,0,8,1,5,1,0,302
106,"P.P. KAKEDI R.N. 2",540,394,0,934,339,234,0,573,287,0,196,226,92,28,1,3,0,2,0,1,1,4,1,5,4,9,573
107,"P.P. KAKEDI R.N. 2",428,348,0,776,224,175,0,399,399,0,169,162,43,16,1,0,1,0,0,0,0,0,1,1,3,2,399
108,"P.P. AKHNAPUR",411,317,0,728,277,217,0,494,462,0,129,234,124,3,0,0,0,0,0,0,0,0,1,1,1,1,494
109,"P.P. MADHAOUPUR",606,555,0,1161,450,374,0,824,812,0,163,575,45,9,3,0,0,0,1,0,0,3,2,7,11,5,824
110,"P.P. SATHRA  R.N. 1",694,486,0,1180,472,281,0,753,753,0,258,256,210,6,1,0,0,0,0,0,0,6,0,6,3,7,753
111,"P.P. SATHRA  R.N. 2",656,526,0,1182,408,289,0,697,697,0,154,275,245,9,1,2,0,0,1,2,0,3,1,1,2,1,697
112,"P.P. PENG R.N. 1",639,536,0,1175,400,288,0,688,27,0,100,266,275,17,0,1,1,0,1,1,0,8,2,2,4,10,688
113,"P.P. PENG R.N. 2",459,392,0,851,290,225,0,515,100,0,75,194,234,2,2,1,0,0,0,0,0,1,2,2,2,0,515
114,"P.P. SARRA R.N. 1",460,381,0,841,279,212,0,491,19,0,38,11,407,5,0,0,0,0,7,1,0,7,4,7,0,4,491
115,"P.P. SARRA  U. BHAG 1",443,409,0,852,259,219,0,478,478,0,189,109,136,1,0,0,0,1,24,0,1,7,0,2,2,6,478
116,"P.P. SARRA  U. BHAG 2",501,385,0,886,283,166,0,449,48,0,232,115,78,3,3,0,1,1,2,0,2,2,1,1,5,3,449
117,"P.P. JURA",613,498,0,1111,431,255,0,686,686,0,58,300,297,8,2,0,1,0,0,1,0,2,0,4,9,4,686
118,"P.P. RATNAPUR M. JURA",788,675,0,1463,522,352,0,874,867,0,222,287,335,3,3,0,0,1,1,1,1,6,1,2,3,8,874
119,"A.K.I.C. BHADAICHA R.N. 1",621,455,0,1076,338,207,0,545,542,0,20,117,368,7,0,0,1,0,2,1,1,5,5,7,6,5,545
120,"A.K.I.C. BHADAICHA R.N. 2",563,425,0,988,317,148,0,465,436,0,190,165,96,1,1,1,0,0,1,1,3,1,1,2,2,0,465
121,"P.P. BHADAICHA R.N. 1",518,445,1,964,349,244,0,593,575,0,141,339,102,3,0,2,1,0,0,0,0,0,2,1,0,2,593
122,"P.P. BHADAICHA R.N. 2",431,376,0,807,247,191,0,438,339,0,169,199,58,3,2,0,0,3,0,0,0,0,0,0,3,1,438
