"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JITENDRA KUMAR SINGH BABLU BHAIYA","2 - NIRMAL KHATRI","3 - MITRASEN YADAV","4 - LALLU SINGH","5 - JAI RAM SINGH JAI","6 - NASREEN BANO","7 - MAKASUD ALI","8 - MAYURI TIWARI","9 - RADHIKA PRASAD","10 - RAM JANAM","11 - SHAILENDRA KUMAR SHUKLA","12 - None of the Above","Total Votes Secured"
1,"PS SEEWAR NORTH",598,486,0,1084,339,293,0,632,628,0,57,43,96,397,10,2,0,3,14,1,2,7,632
2,"PS SEEWAR SOUTH",581,491,0,1072,322,256,0,578,576,0,27,43,139,335,3,3,4,4,6,4,6,4,578
3,"PS BARAI KALA",495,400,0,895,281,228,0,509,499,0,124,28,152,176,3,3,1,2,5,3,2,10,509
4,"NEW PS RAMNAGAR DHAURAHRA WEST",703,573,0,1276,400,222,0,622,400,0,55,35,78,411,6,2,1,4,9,8,3,10,622
5,"NEW PS RAMNAGAR DHAURAHRA EAST",698,602,0,1300,408,353,0,761,154,0,52,39,48,596,3,2,1,4,5,0,2,9,761
6,"NEW PS RAMNAGAR DHAURAHRA EXTRA ROOM",579,497,0,1076,305,258,0,563,563,0,34,73,92,352,2,1,1,1,2,1,1,3,563
7,"PS BARAI KHURD",540,518,0,1058,319,319,0,638,600,0,127,31,56,384,7,1,1,4,12,3,1,11,638
8,"PS MAHOLI",611,472,0,1083,388,289,0,677,637,0,96,70,19,454,5,3,2,2,8,4,4,10,677
9,"JHS MOHAMMADPUR ROOM NO. 2",488,360,0,848,311,235,0,546,521,0,43,23,216,258,1,1,0,0,3,0,0,1,546
10,"PS SAIDPUR",624,505,0,1129,374,313,0,687,683,0,62,41,38,482,14,1,2,6,14,6,7,14,687
11,"PS AMBARPUR EAST",786,642,0,1428,413,255,0,668,658,0,65,48,89,427,3,4,3,2,10,2,4,11,668
12,"PS AMBARPUR WEST",762,649,0,1411,411,375,0,786,780,0,99,48,170,439,6,2,1,1,3,7,1,9,786
13,"SADHAN SAHKARI SAMITI LTD. HAJIPUR BARSENDI",703,610,0,1313,415,326,0,741,720,0,199,54,94,345,7,1,3,2,8,8,4,16,741
14,"PS BARSENDI",650,564,0,1214,429,328,0,757,749,0,256,34,65,364,2,2,0,7,8,3,6,10,757
15,"PS BISAULI",861,697,0,1558,483,378,0,861,861,0,55,14,192,568,2,1,1,4,12,8,2,2,861
16,"PS SARANGAPUR",763,656,0,1419,439,430,0,869,860,0,238,39,220,321,5,3,6,3,4,11,5,14,869
17,"PS RAHIMPUR BADAULI",529,434,0,963,415,195,0,610,600,0,84,27,189,281,3,1,1,2,4,7,0,11,610
18,"PS DERAMUSI",712,632,0,1344,402,372,0,774,772,0,174,22,350,201,5,4,2,1,4,4,5,2,774
19,"PS MUSTAFABAD EAST",729,557,0,1286,382,335,0,717,595,0,132,56,204,127,4,2,174,2,6,4,2,4,717
20,"PS MUSTAFABAD WEST",720,543,0,1263,342,323,0,665,487,0,124,146,137,178,1,1,57,4,3,3,4,7,665
21,"KANYA PS MUSTAFABAD NORTH",637,474,0,1111,298,254,0,552,521,0,84,212,118,88,0,2,38,1,0,1,3,5,552
22,"KANYA PS MUSTAFABAD SOUTH",708,590,0,1298,408,346,0,754,451,0,179,73,138,335,5,0,9,1,4,3,4,3,754
23,"PS PIRKHAULI EAST",683,601,0,1284,404,339,0,743,640,0,167,30,282,224,2,2,1,4,11,9,3,8,743
24,"PS PIRKHAULI WEST",645,543,0,1188,341,281,0,622,400,0,76,35,93,397,3,2,3,1,4,3,2,3,622
25,"PS PIRKHAULI EXTRA ROOM",595,536,0,1131,302,243,0,545,501,0,143,19,120,220,11,2,1,4,5,5,3,12,545
26,"PS KOTDEEH SARAIYA",638,568,0,1206,385,296,0,681,585,0,209,31,82,309,4,1,5,12,7,11,1,9,681
27,"PS DAKSHINPARA EAST",436,377,0,813,250,190,0,440,131,0,21,50,70,270,4,2,1,2,11,2,4,3,440
28,"PS DAKSHINPARA WEST",295,236,0,531,134,101,0,235,202,0,16,18,108,81,2,0,0,1,2,4,1,2,235
29,"PS TANDWA",314,312,0,626,211,207,0,418,415,0,98,10,158,120,3,2,2,2,7,9,2,5,418
30,"PS KARERU NORTH",586,521,0,1107,381,323,0,704,703,0,101,75,141,355,7,1,1,5,5,3,4,6,704
31,"PS KARERU SOUTH",182,172,0,354,129,122,0,251,251,0,39,9,42,147,2,0,0,0,8,2,0,2,251
32,"JHS KARERU WEST",419,378,0,797,323,279,0,602,599,0,17,18,147,386,4,1,1,3,11,5,3,6,602
33,"JHS KARERU MIDDLE",258,226,0,484,140,164,0,304,295,0,24,12,14,250,3,0,0,0,1,0,0,0,304
34,"JHS RAMPUR GRANT",408,391,0,799,268,242,0,510,502,0,105,60,109,200,2,2,0,9,6,7,1,9,510
35,"PS SIHAITA LOHANI",405,331,0,736,234,196,0,430,398,0,41,14,140,211,7,3,0,5,3,2,1,3,430
36,"JHS DEORHI NORTH",637,508,0,1145,405,280,0,685,615,0,39,56,156,418,7,2,0,2,2,1,2,0,685
37,"JHS DEORHI MIDDLE 1",624,564,0,1188,397,307,0,704,704,0,51,62,82,471,9,2,4,6,7,3,1,6,704
38,"JHS DEORHI MIDDLE 2",543,485,0,1028,246,257,0,503,502,0,77,35,44,334,2,1,0,4,3,2,0,1,503
39,"JHS DEORHI SOUTH",424,412,0,836,223,196,0,419,410,0,114,48,46,188,4,0,1,5,3,4,0,6,419
40,"PS PINDAWAN",304,265,0,569,202,196,0,398,347,0,8,61,169,154,0,1,0,2,1,0,0,2,398
41,"JHS IBRAHIMPUR KANDAI",462,389,0,851,306,261,0,567,565,0,69,17,104,355,0,2,1,3,4,4,3,5,567
42,"PS BABHANIYAWAN",685,626,0,1311,422,392,0,814,810,0,141,47,132,454,10,0,3,5,7,3,1,11,814
