"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JITENDRA KUMAR SINGH BABLU BHAIYA","2 - NIRMAL KHATRI","3 - MITRASEN YADAV","4 - LALLU SINGH","5 - JAI RAM SINGH JAI","6 - NASREEN BANO","7 - MAKASUD ALI","8 - MAYURI TIWARI","9 - RADHIKA PRASAD","10 - RAM JANAM","11 - SHAILENDRA KUMAR SHUKLA","12 - None of the Above","Total Votes Secured"
1,"PS PATRANGA ROOM NO.1",424,335,0,759,262,194,0,456,456,0,75,107,50,217,2,1,1,0,2,1,0,0,456
2,"PS PATRANGA ROOM NO.2",523,418,0,941,356,247,0,603,69,0,188,80,58,246,9,2,1,1,5,5,1,7,603
3,"PS SULTANPUR",682,571,0,1253,488,405,0,893,728,0,212,104,131,389,8,1,1,15,11,8,3,10,893
4,"PS GHOSWAL",268,227,0,495,200,179,0,379,379,0,14,118,90,136,1,0,0,1,4,1,9,5,379
5,"PS BABA KA PURWA MAJRE NOORPUR ROOM NO.1",487,453,0,940,256,248,0,504,504,0,170,84,125,100,1,2,1,2,3,3,1,12,504
6,"PS BABA KA PURWA MAJRE NOORPUR ROOM NO.2",380,334,0,714,256,210,0,466,466,0,167,35,89,151,0,1,0,2,5,3,4,9,466
7,"PS NAGRA",597,472,0,1069,339,294,0,633,633,0,36,95,205,247,4,2,15,4,8,2,4,11,633
8,"PS MAKHDOOMPUR ROOM NO.1",882,685,0,1567,530,378,0,908,908,0,39,152,122,566,8,1,2,3,2,4,1,8,908
9,"PS MAKHDOOMPUR ROOM NO.2",435,354,0,789,251,205,0,456,58,0,42,119,111,148,6,3,3,1,5,5,3,10,456
10,"PS GAJKARI",343,329,0,672,246,206,0,452,141,0,97,17,68,244,4,1,1,1,2,5,5,7,452
11,"PS PURE KAMGAR MAJRE PACHLO ROOM NO.1",428,460,0,888,208,199,0,407,407,0,15,248,52,35,2,3,37,0,1,1,7,6,407
12,"PS PURE KAMGAR MAJRE PACHLO EXTRA ROOM",529,341,0,870,239,170,0,409,409,0,30,243,81,20,2,0,23,1,0,0,3,6,409
13,"PS PURE KAMGAR MAJRE PACHLO ROOM NO.2",784,663,1,1448,418,339,0,757,757,0,135,283,72,223,6,1,5,2,11,3,6,10,757
14,"PS DULLAPUR",452,389,0,841,351,246,0,597,597,0,55,69,153,296,5,2,1,1,10,2,0,3,597
15,"PS MANAPUR",248,226,0,474,191,176,0,367,367,0,39,19,253,41,0,1,2,2,3,2,1,4,367
16,"PS MAIRAMAU",465,408,0,873,295,229,0,524,281,0,133,105,17,233,0,3,0,2,14,5,4,8,524
17,"PS PURE KAJI MAJRE BABUPUR ROOM NO.1",370,330,0,700,213,145,0,358,358,0,62,37,32,202,4,3,1,1,4,4,0,8,358
18,"PS PURE KAJI MAJRE BABUPUR ROOM NO.2",714,628,0,1342,460,324,0,784,784,0,139,144,312,149,2,0,19,1,3,5,4,6,784
19,"PS LAKHNIPUR",269,204,0,473,173,142,0,315,315,0,67,26,46,168,1,0,0,1,0,0,2,4,315
20,"PS BIBIPUR",468,431,0,899,257,264,0,521,500,0,71,149,101,172,6,2,2,0,2,6,4,6,521
21,"JHS BASAURHI ROOM NO.1",535,468,0,1003,202,179,0,381,381,0,58,215,27,52,0,1,23,1,1,0,3,0,381
22,"JHS BASAURHI ROOM NO.2",671,572,0,1243,342,290,0,632,136,0,55,174,204,154,2,2,34,1,1,1,1,3,632
23,"JHS BASAURHI ROOM NO.3",476,427,0,903,292,207,0,499,498,0,74,23,117,243,1,2,2,3,9,4,5,16,499
24,"JHS RANIMAU ROOM NO.1",625,524,0,1149,357,226,0,583,583,0,161,45,98,247,3,1,17,2,4,2,1,2,583
25,"JHS RANIMAU ROOM NO.2",659,576,0,1235,374,315,0,689,620,0,236,153,66,206,2,4,2,3,2,3,3,9,689
26,"JHS RANIMAU ROOM NO.3",727,598,0,1325,451,343,0,794,794,0,214,121,108,279,3,11,17,2,11,5,6,17,794
27,"PS ASHRAFPUR GANGRELA ROOM NO.1",511,418,0,929,305,197,0,502,165,0,58,87,233,96,3,3,7,0,4,2,4,5,502
28,"PS ASHRAFPUR GANGRELA ROOM NO.2",371,345,0,716,244,166,0,410,410,0,129,36,111,111,0,1,0,2,5,1,2,12,410
29,"PS KUSHAHRI ROOM NO.1",335,325,0,660,211,202,0,413,412,0,38,43,41,269,5,2,3,1,5,1,3,2,413
30,"PS KUSHAHRI ROOM NO.2",695,628,0,1323,432,320,0,752,743,0,96,58,248,312,3,2,3,2,3,3,8,14,752
31,"PS AMIRPUR",277,247,0,524,197,170,0,367,367,0,147,22,50,127,4,3,2,3,3,1,1,4,367
32,"PS DHANAULI",248,194,0,442,137,125,0,262,258,0,35,88,82,42,0,2,0,0,3,2,3,5,262
33,"PS MANJANPUR",533,423,0,956,298,250,0,548,548,0,87,100,183,150,4,1,1,1,3,5,3,10,548
34,"PS HUNHUNA",763,561,0,1324,382,307,0,689,362,0,167,231,145,116,3,0,0,2,4,4,3,14,689
35,"PS BARTARA EXTRA ROOM",404,334,0,738,229,195,0,424,424,0,29,151,81,130,5,2,0,3,9,3,1,10,424
36,"PS ASHRAF NAGAR",639,592,0,1231,396,326,0,722,716,0,165,38,81,397,9,3,4,1,11,4,2,7,722
37,"PS MOHAMMADPUR  DAUDPUR",684,616,0,1300,380,414,0,794,794,0,85,209,309,138,6,3,5,5,3,4,8,19,794
38,"PS DILWAL",801,738,0,1539,421,376,0,797,797,0,48,340,116,232,8,1,2,3,9,10,7,21,797
39,"PS HOLUPUR",705,564,0,1269,379,332,0,711,711,0,161,132,133,235,7,5,6,2,5,8,11,6,711
40,"PS KARAUNDI",361,327,0,688,187,207,0,394,310,0,55,170,25,128,1,0,1,2,3,4,2,3,394
41,"PS BARAULI ROOM NO.1",702,591,0,1293,389,383,0,772,772,0,24,146,191,388,5,3,3,2,5,4,0,1,772
42,"PS BARAULI ROOM NO.2",308,241,0,549,161,117,0,278,277,0,13,94,59,97,1,0,0,0,2,3,4,5,278
43,"PS NEWAJPUR ROOM NO.1",427,401,0,828,303,217,0,520,450,0,179,15,200,107,2,0,1,1,3,1,2,9,520
44,"PS NEWAJPUR ROOM NO.2",197,172,0,369,148,115,0,263,263,0,3,21,126,99,2,0,1,1,3,2,2,3,263
45,"PS RASOOLPUR NEVADA",392,374,0,766,235,250,0,485,485,0,126,105,97,146,2,0,0,0,3,1,1,4,485
46,"PS JAISUKHPUR ROOM NO.1",668,559,0,1227,328,256,0,584,552,0,35,124,218,176,4,2,0,4,6,1,4,10,584
47,"PS JAISUKHPUR ROOM NO.2",489,404,0,893,319,199,0,518,498,0,58,19,166,248,5,1,0,1,7,4,1,8,518
48,"JHS NEVRA ROOM NO.1",853,662,0,1515,475,373,0,848,847,0,50,150,327,275,6,4,0,4,8,6,6,12,848
49,"JHS NEVRA ROOM NO.2",652,576,1,1229,341,307,0,648,646,0,45,120,304,147,4,0,2,2,2,5,2,15,648
50,"JHS NEVRA ROOM NO.3",889,705,0,1594,382,397,0,779,776,0,71,95,303,283,6,3,1,3,5,3,2,4,779
51,"PS KONDRA ROOM NO.1",561,463,0,1024,321,273,0,594,594,0,78,57,148,281,4,2,1,2,4,8,2,7,594
52,"PS KONDRA ROOM NO.2",306,259,0,565,197,100,0,297,297,0,9,47,146,80,2,2,0,1,2,4,1,3,297
53,"PS RAJANPUR",434,352,0,786,235,207,0,442,440,0,129,61,41,176,4,0,0,1,4,6,2,18,442
54,"PS SANDWA ROOM NO.1",580,488,0,1068,341,309,0,650,509,0,131,226,164,96,0,1,9,1,5,5,4,8,650
55,"PS SANDWA ROOM NO.2",277,238,0,515,166,139,0,305,225,0,62,70,83,67,1,1,0,1,5,6,3,6,305
56,"PS SIPAHIYA KOTWA ROOM NO.1",603,486,0,1089,327,277,0,604,603,0,218,90,81,163,3,4,3,5,8,11,3,15,604
57,"PS SIPAHIYA KOTWA ROOM NO.2",502,384,0,886,290,188,0,478,476,0,26,29,137,255,2,1,3,6,9,2,1,7,478
58,"JHS MAWAI ROOM NO.1",800,609,0,1409,397,307,0,704,703,0,264,169,70,146,4,3,1,4,10,14,3,16,704
59,"JHS MAWAI ROOM NO.2",810,628,0,1438,430,300,0,730,730,0,149,263,231,65,2,1,5,1,2,2,2,7,730
60,"JHS MAWAI ROOM NO.3",735,618,0,1353,420,291,0,711,625,0,206,77,234,147,6,3,1,3,11,8,1,14,711
61,"PS SEVRAHRA ROOM NO.1",581,436,0,1017,300,158,0,458,250,0,137,32,63,205,1,0,11,2,1,2,2,2,458
62,"PS SEVRAHRA ROOM NO.2",474,425,0,899,295,228,0,523,327,0,47,89,124,241,1,0,0,0,1,6,3,11,523
63,"PS BATHAULI",626,566,0,1192,352,303,0,655,22,0,192,90,85,232,3,1,0,4,10,14,7,17,655
