"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JITENDRA KUMAR SINGH BABLU BHAIYA","2 - NIRMAL KHATRI","3 - MITRASEN YADAV","4 - LALLU SINGH","5 - JAI RAM SINGH JAI","6 - NASREEN BANO","7 - MAKASUD ALI","8 - MAYURI TIWARI","9 - RADHIKA PRASAD","10 - RAM JANAM","11 - SHAILENDRA KUMAR SHUKLA","12 - None of the Above","Total Votes Secured"
1,"CANTONMENT BOARD OFFICE FAIZABAD SAFAI NIRICHAK KACHHA",883,658,0,1541,519,300,0,819,569,0,28,69,111,577,2,1,1,4,10,3,2,11,819
2,"CANTTOMENT BOARD KARYALAYA FAIZABAD RAJASAV NIRISHAK KACHHA MADHYA",840,617,0,1457,445,439,0,884,580,0,58,183,57,566,3,4,1,5,2,2,1,2,884
3,"CANTTOMENT BOARD KARYALAYA FAIZABAD KAYSHIYAR/JUNIYAR CLERK KACHHA PASHCHIMI",792,775,0,1567,477,434,0,911,850,0,46,182,71,570,2,1,12,5,5,3,2,12,911
4,"PS AND U.P.S. SAHADATGANJ KANYA  PASHCHIMI",667,532,0,1199,478,285,0,763,593,0,82,51,44,557,2,4,0,3,7,4,3,6,763
5,"PS SAHADATGANJ-I NAGAR KSHETRA UTTARI",448,419,0,867,282,245,0,527,521,0,9,22,125,362,1,1,0,2,1,0,1,3,527
6,"PS SAHADATGANJ-I NAGAR KSHETRA UTTARI",527,469,0,996,321,302,0,623,614,0,28,30,83,463,1,0,2,5,3,1,0,7,623
7,"PS AND U.P.S. SAHADATGANJ KANYA PURVI",762,648,0,1410,498,426,0,924,624,0,40,275,86,505,1,2,1,2,5,3,1,3,924
8,"PS NAGA BABA, ABBU SARAI",569,463,0,1032,371,271,0,642,639,0,78,148,76,321,2,1,6,3,0,1,2,4,642
9,"AMAR SAHEED DILIP SINGH U.P.S. SAHADATGANJ PURVI-1",593,559,0,1152,375,330,0,705,703,0,98,108,48,422,5,4,1,8,5,2,0,4,705
10,"AMAR SAHEED DILIP SINGH U.P.S. SAHADATGANJ PURVI-II",442,394,0,836,228,209,0,437,289,0,46,97,46,226,0,1,2,8,3,2,3,3,437
11,"RAJKIYA BALIKA INTER COLLAGE FAIZABAD UTTARI",769,663,1,1433,349,275,0,624,174,0,71,56,68,412,1,2,0,7,1,1,1,4,624
12,"RAJKIYA BALIKA INTER COLLAGE FAIZABAD UTTARI MADHYA",660,597,0,1257,359,356,0,715,676,0,46,84,88,466,0,0,1,9,5,3,1,12,715
13,"RAJKIYA BALIKA INTER COLLAGE FAIZABAD DAKSHNI MADHYA",683,639,1,1323,322,265,0,587,524,0,30,94,67,379,5,0,1,6,2,0,0,3,587
14,"RAJKIYA BALIKA INTER COLLAGE FAIZABAD DAKSHNI",525,455,0,980,183,151,0,334,328,0,30,47,47,197,0,1,0,2,1,1,0,8,334
15,"A.D. (BASIC) OFFICE, FAIZABAD DIVI. FZD UTTARI BHAVAN PURVI",633,515,0,1148,288,208,0,496,131,0,76,57,18,332,0,1,0,9,1,0,2,0,496
16,"A.D. (BASIC) OFFICE, FAIZABAD DIVI. FZD UTTARI BHAVAN PASHCHMI",676,564,0,1240,316,288,0,604,579,0,42,153,50,333,1,3,2,6,8,2,0,4,604
17,"PS BEGUMGANJ GARAIAYA PURVI",675,581,0,1256,404,339,0,743,458,0,58,40,56,559,1,1,6,1,5,3,2,11,743
18,"PS BEGUMGANJ GARAIAYA PASHCHAMI",529,478,0,1007,282,244,0,526,498,0,44,17,32,408,2,4,2,2,5,5,0,5,526
19,"PS BEGUMGANJ GARAIAYA UTTARI (ATIRIKAT KACHHA)",877,701,0,1578,527,371,0,898,882,0,57,149,80,572,7,1,3,6,8,3,4,8,898
20,"PS HASNU KATRA UTTARI",421,437,0,858,273,279,0,552,468,0,72,135,100,196,0,1,26,11,2,1,1,7,552
21,"PS HASNU KATRA MADHYA",490,460,0,950,279,267,0,546,535,0,46,215,142,100,3,2,24,8,1,0,1,4,546
22,"PS HASNU KATRA DAKSHRI",389,330,0,719,227,181,0,408,408,0,17,170,64,149,0,0,3,3,0,1,0,1,408
23,"PS HASNU KATRA ATIRIKAT KACHHA UTTARI",476,382,0,858,286,208,0,494,490,0,28,203,38,213,0,2,4,2,1,0,0,3,494
24,"PS HASNU KATRA",484,415,0,899,321,259,0,580,550,0,41,68,67,389,2,0,2,3,5,0,0,3,580
25,"PS HASNU KATRA ATIRIKAT KACHHA",508,473,0,981,315,282,0,597,597,0,28,139,71,349,1,0,1,1,0,3,0,4,597
26,"V.S.R. ARYA KANYA I.C. FAIZABAD UTTARI",710,675,0,1385,459,394,0,853,850,0,6,136,37,657,0,1,2,7,3,0,0,4,853
27,"V.S.R. ARYA KANYA I.C. FAIZABAD MADHYA",609,583,0,1192,370,309,0,679,670,0,13,192,40,419,3,2,0,7,0,1,0,2,679
28,"V.S.R. ARYA KANYA I.C. FAIZABAD DAKSHRI",708,646,0,1354,471,345,0,816,750,0,6,250,86,452,3,1,6,4,4,0,2,2,816
29,"RAJA MOHAN GIRLS DIGREE COLLEGE, FZD PURVI",508,478,0,986,329,266,0,595,566,0,39,143,41,355,1,0,2,1,6,1,1,5,595
30,"RAJA MOHAN GIRLS DIGREE COLLEGE, FZD PASHCHAMI",656,635,0,1291,398,350,0,748,734,0,21,212,42,454,2,0,3,6,3,1,0,4,748
31,"M.L.M.L. INTER COLLEGE, FAIZABAD UTTARI",596,601,0,1197,408,334,0,742,742,0,15,50,48,608,3,0,0,15,1,1,0,1,742
32,"M.L.M.L. INTER COLLEGE, FAIZABAD MADHYA",586,588,0,1174,385,314,0,699,687,0,39,55,34,558,3,0,0,4,3,0,1,2,699
33,"M.L.M.L. INTER COLLEGE, FAIZABAD DAKSHNI  PURVI",741,642,0,1383,496,379,0,875,870,0,2,355,88,418,1,1,0,2,5,1,0,2,875
34,"M.L.M.L. INTER COLLEGE, FAIZABAD DAKSHRI  PASHCHAMI",579,592,0,1171,397,343,0,740,680,0,3,100,26,593,0,1,0,10,3,2,0,2,740
35,"MUNNALAL MADANLAL U.M. VIDHALAY, FZD PURVI",426,422,0,848,261,248,0,509,464,0,32,63,21,368,1,0,1,10,7,2,1,3,509
36,"MUNNALAL MADANLAL U.M. VIDHALAY, FZD PASHCHAMI",388,315,0,703,214,186,0,400,363,0,16,161,55,162,0,1,2,1,2,0,0,0,400
37,"MUNNALAL MADANLAL U.M. VIDHALAY, FZD MADHYA",740,684,0,1424,438,350,0,788,768,0,10,194,58,515,1,1,2,4,1,0,0,2,788
38,"PS ANGOORIBAG, FAIZABAD PURVI",818,767,0,1585,490,410,0,900,877,0,32,217,71,558,3,0,2,8,2,1,2,4,900
39,"PS ANGOORIBAG, FAIZABAD PASHCHAMI",467,394,0,861,305,218,0,523,476,0,3,88,70,357,0,0,1,0,1,0,0,3,523
40,"AMAR SHAHEED AMARALI  UP.S. (KANYA) ANGOORIBAG FZD UTTARI",670,597,0,1267,432,329,0,761,747,0,9,90,40,604,5,2,1,5,1,3,0,1,761
41,"AMAR SHAHEED AMARALI  UP.S. (KANYA) ANGOORIBAG FZD UTTARI MADHYA",542,536,0,1078,378,291,0,669,626,0,19,158,64,413,1,0,1,7,2,1,1,2,669
42,"AMAR SHAHEED AMARALI  UP.S. (KANYA) ANGOORIBAG FZD DAKSHNI MADHYA",584,529,0,1113,453,323,0,776,743,0,13,320,131,305,1,0,0,1,3,0,1,1,776
43,"AMAR SHAHEED AMARALI  UP.S. (KANYA) ANGOORIBAG DAKSHNI",491,436,0,927,305,237,0,542,477,0,19,160,111,245,2,0,0,2,0,1,0,2,542
44,"M.P.L.L. ADHARSH INTER COLLEGE, FZD PURVI",768,733,0,1501,473,384,0,857,800,0,7,139,111,579,1,0,2,10,2,1,0,5,857
45,"M.P.L.L. ADHARSH INTER COLLEGE, FZD PASHCHAMI",430,396,0,826,281,238,0,519,519,0,24,33,39,410,1,0,0,7,1,1,0,3,519
46,"M.P.L.L. ADHARSH INTER COLLEGE, FZD PASHCHAMI PURVI KE MADHYA",359,329,0,688,236,197,0,433,433,0,6,45,39,339,1,0,0,0,1,1,0,1,433
47,"KANYA P.S., DHARA-2, FAIZABAD PURVI",704,645,0,1349,486,334,0,820,719,0,23,173,62,538,2,2,9,3,4,1,1,2,820
48,"KANYA P.S., DHARA-2, FAIZABAD PASHCHAMI",517,473,0,990,307,253,0,560,540,0,32,241,33,229,0,0,18,5,2,0,0,0,560
49,"KANYA P.S., DHARA-2, FAIZABAD UTTARI",334,297,0,631,205,180,0,385,385,0,9,61,15,291,2,0,0,6,1,0,0,0,385
50,"UP.S. FATEHGANJ, FAIZABAD",770,685,0,1455,578,410,0,988,779,0,20,117,156,682,2,0,0,2,4,2,2,1,988
51,"GIC FAIZABAD ART FACAULTY UTTARI",548,518,0,1066,362,289,0,651,645,0,8,231,146,261,1,1,0,1,0,0,0,2,651
52,"GIC FAIZABAD ART FACAULTY UTTARI MADHYA",578,507,0,1085,352,251,0,603,381,0,3,122,14,452,1,0,2,3,1,0,0,5,603
53,"GIC FAIZABAD SCIENCE LAB. PURVI",654,601,0,1255,423,348,0,771,762,0,8,132,38,584,3,0,0,2,1,0,2,1,771
54,"GIC FAIZABAD SCIENCE LAB. PASHCHAMI",717,645,0,1362,428,352,0,780,774,0,11,219,53,483,1,1,1,2,2,1,3,3,780
55,"GIC FAIZABAD ART FACAULTY MADHYA  DAKSHNI MADHYA",387,395,0,782,255,232,0,487,480,0,9,206,83,177,2,0,1,0,0,4,1,4,487
56,"GIC  FAIZABAD ART FACAULTY  DAKSHNI",486,395,0,881,288,228,0,516,501,0,2,187,59,250,1,1,1,9,4,0,1,1,516
57,"PS RAMNAGAR, NAGAR KSHETRA, FAIZABAD PURVI",694,719,0,1413,448,387,0,835,835,0,7,23,41,756,0,0,1,4,2,0,0,1,835
58,"PS RAMNAGAR, NAGAR KSHETRA, FAIZABAD PASHCHAMI",590,607,0,1197,447,396,0,843,623,0,0,17,34,788,0,0,0,1,1,0,0,2,843
59,"SARASWATI SHISHU MANDIR, RAMNAGAR, FZD PURVI",389,358,0,747,208,174,0,382,314,0,10,45,57,256,1,1,0,4,1,1,0,6,382
60,"SARASWATI SHISHU MANDIR, RAMNAGAR, FZD PASHCHAMI",685,604,0,1289,449,337,0,786,769,0,4,41,41,686,3,0,0,6,1,0,1,3,786
61,"KUSHTROGI ASHRAM, CIVIL LINE FZD(MAHILA BAL SADAN KACHHA FZD)",37,36,0,73,18,20,0,38,38,0,1,6,2,15,1,0,1,5,1,2,1,3,38
62,"ZILA SEWA YOJNA OFFICE, FAIZABAD-1",476,428,0,904,296,242,0,538,533,0,10,96,38,385,1,0,1,3,2,0,0,2,538
63,"ZILA SEWA YOJNA OFFICE, FAIZABAD-2",365,353,0,718,218,201,0,419,380,0,14,49,15,333,0,1,1,5,0,0,0,1,419
64,"ZILA SEWA YOJNA OFFICE, FAIZABAD UTTARI KACHHA",502,449,0,951,320,269,0,589,587,0,17,146,20,391,2,0,2,5,1,0,2,3,589
65,"ZILA SEWA YOJNA OFFICE, FAIZABAD DAKSHNI KACHHA",444,419,0,863,273,240,0,513,499,0,16,69,25,391,0,0,0,6,3,0,1,2,513
66,"PS LALBAGH, FAIZABAD PURVI",659,578,1,1238,367,307,0,674,634,0,13,36,60,560,1,0,0,1,1,0,0,2,674
67,"PS LALBAGH, FAIZABAD PASHCHMI",663,563,0,1226,364,278,0,642,636,0,52,43,83,444,3,0,0,4,3,3,1,6,642
68,"PS NAKA (MURAVAN TOLA), FAIZABAD PURVI",604,555,0,1159,344,317,0,661,656,0,63,33,39,515,1,1,0,5,1,1,0,2,661
69,"PS NAKA (MURAVAN TOLA) FAIZABAD PASHCHAMI",671,594,0,1265,415,341,0,756,733,0,10,191,112,422,5,0,3,4,0,3,3,3,756
