"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJIT SINGH","2 - GHULAM MOHAMMED","3 - PRASHANT CHAUDHRI","4 - DR. SATYA PAL SINGH","5 - ANIL KUMAR","6 - KRISHAN PAL","7 - YUNUSH","8 - SOMENDAR DHAKA","9 - AJAY PAL","10 - ARVIND","11 - JAIVINDRA KUMAR","12 - NISHANT","13 - RUKSANA","14 - SUBHASH CHAND KASHYAP","15 - None of the Above","Total Votes Secured"
1,"PRIMARY PATHSHALA UTTAR TANDA",854,605,0,1459,608,426,0,1034,1034,0,35,890,23,83,2,0,1,0,0,0,0,0,0,0,0,1034
2,"PRIMARY PATHSHALA DAKSHIN TANDA",789,543,0,1332,525,436,0,961,914,0,71,683,10,181,2,0,0,0,2,1,1,5,0,3,2,961
3,"PRIMARY PATHSHALA BODHA",619,514,2,1135,447,339,0,786,786,0,36,22,124,572,4,1,1,0,1,1,6,3,5,0,10,786
4,"PRIMARY PATHSHALA ROOM NO. 4BODHA",716,503,0,1219,520,383,0,903,864,0,40,73,132,626,4,2,1,1,0,1,5,10,1,1,6,903
5,"HARIJAN CHAUPAL BODHA",347,267,0,614,224,169,0,393,393,0,5,3,265,113,0,0,0,0,1,0,1,0,3,2,0,393
6,"PRIMARY PATHSHALA NO.1 ROOM NO. 1NANGAL",864,626,0,1490,502,450,0,952,952,0,498,26,16,390,2,0,0,1,0,1,6,4,1,1,6,952
7,"PRIMARY PATHSHALA NANGAL",560,422,0,982,367,295,0,662,662,0,305,15,61,264,2,0,0,2,0,1,2,2,1,1,6,662
8,"PRIMARY PATHSHALA TUGANA",635,460,0,1095,392,290,0,682,681,0,384,5,3,281,3,0,1,0,0,0,2,1,0,0,2,682
9,"SHIV MANDAR JR. HIGH SCHOOL EAST TUGANA",439,340,0,779,314,218,0,532,532,0,266,28,9,224,1,0,0,2,0,0,0,2,0,0,0,532
10,"SHIV MANDAR JR. HIGH SCHOOL WEST TUGANA",400,302,0,702,281,187,0,468,465,0,280,6,3,177,0,0,0,1,0,0,1,0,0,0,0,468
11,"PRIMARY PATHSHALA  NO.1 TUGANA",468,337,0,805,311,225,0,536,503,0,292,54,3,179,2,0,0,1,0,1,0,0,0,1,3,536
12,"ADD. HARIJAN CHAUPAL EAST TUGANA",506,349,1,856,254,209,0,463,429,0,99,71,143,133,3,2,0,0,1,1,3,0,2,4,1,463
13,"ADD. HARIJAN CHAUPAL WEST TUGANA",429,312,0,741,273,202,0,475,403,0,15,12,8,410,2,2,0,1,0,0,6,4,0,5,10,475
14,"HARIJAN CHAUPAL HEWA",816,505,0,1321,553,312,0,865,865,0,589,55,72,140,1,0,0,0,0,0,1,1,1,1,4,865
15,"PRIMARY PATHSHALA  NO.1 NORTH HEWA",657,444,0,1101,471,275,0,746,734,0,565,2,35,136,0,0,0,3,0,0,1,0,2,0,2,746
