"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASIF NIZAMUDDIN SIDDIQUE","2 - PRAMOD KUMAR SINGH PATEL","3 - RAJKUMARI RATNA SINGH","4 - ASHOK SHUKLA SENANI","5 - NIRMALA DEVI","6 - FOOLCHANDRA","7 - BAL KRISHNA","8 - RAJENDRA SHARMA","9 - RAM SEWAK","10 - SHESHNATH","11 - SANTOSH KUMAR SINGH","12 - KUWAR HARIVANSH SINGH","13 - AJMAL KHAN","14 - KIRAN MISHRA","15 - HARIVANSH","16 - None of the Above","Total Votes Secured"
1,"PS PACHKHARA",623,574,0,1197,282,331,0,613,613,0,101,45,133,13,5,1,4,1,3,3,10,281,4,4,3,2,613
2,"PS KALYANPUR MAURHA",689,620,0,1309,309,364,0,673,600,0,99,69,80,18,3,1,4,1,9,2,7,368,2,2,3,5,673
3,"PS LAKHARAW",541,460,0,1001,227,296,0,523,523,0,95,113,90,2,0,1,0,0,3,6,2,200,1,0,6,4,523
4,"PS KHAJURI",586,498,0,1084,248,293,0,541,499,0,48,132,83,6,2,3,0,2,3,2,6,243,3,3,1,4,541
5,"PS LADHAWAT",162,150,0,312,69,112,0,181,181,0,7,7,13,0,0,0,0,3,0,0,2,146,2,0,1,0,181
6,"PS SARAY TIHAIT",281,257,0,538,174,186,0,360,358,0,17,38,80,6,0,0,4,1,0,0,5,199,4,1,5,0,360
7,"PS SINHANI R.N.-1",477,430,0,907,268,202,0,470,360,0,65,55,44,8,2,1,1,1,0,0,4,281,3,2,1,2,470
8,"PS SINHANI R.N.-2",434,400,0,834,217,239,0,456,456,0,79,43,72,3,5,1,1,5,2,2,5,231,1,2,2,2,456
9,"PS KANJAS",336,312,0,648,188,186,0,374,374,0,74,18,29,2,1,0,0,3,2,4,1,228,1,2,4,5,374
10,"G.P.S BARENDRA",631,559,0,1190,256,306,0,562,562,0,88,77,107,9,5,1,3,2,3,5,7,249,3,1,2,0,562
11,"PS PIPRI",325,274,0,599,123,167,0,290,235,0,15,34,46,3,1,0,0,0,1,0,3,183,1,1,1,1,290
12,"PS KOTHANEWADHIYA R.N.-1",869,669,0,1538,442,345,0,787,783,0,36,94,107,6,5,3,3,3,3,4,9,495,3,3,2,11,787
13,"PS KOTHA NEWADHIYA R.N.-2",697,591,0,1288,302,305,0,607,607,0,121,73,157,8,3,3,1,0,2,1,6,221,3,1,2,5,607
14,"PS KOTHA NEWADHIYA R.N.-3",553,472,0,1025,212,343,0,555,555,0,16,108,25,10,3,3,1,1,0,2,2,374,4,1,0,5,555
15,"C B S GOHANI",662,538,0,1200,300,304,0,604,575,0,118,68,227,10,5,2,3,0,1,3,7,143,5,1,4,7,604
16,"CBS SADWA SUJAKHAR",386,316,0,702,206,157,0,363,330,0,13,123,108,2,1,2,1,1,0,0,3,104,1,0,2,2,363
17,"PS RASOOLPUR GULRAHA",598,523,0,1121,269,274,0,543,543,0,95,31,49,5,3,2,2,2,3,7,13,320,0,5,2,4,543
18,"PS MANIYAR PUR",411,360,0,771,229,201,0,430,424,0,105,32,24,3,2,2,2,0,1,0,5,236,2,2,5,9,430
19,"HPS. RAM NAGAR BHOJPUR R.N. -1",577,514,0,1091,300,313,0,613,613,0,149,47,21,6,4,0,1,0,0,0,1,370,4,2,5,3,613
20,"HPS. RAMNAGAR BHOJPUR R. N.-2",528,475,0,1003,269,277,0,546,546,0,145,65,20,3,1,1,1,0,1,1,6,285,1,3,4,9,546
