"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASIF NIZAMUDDIN SIDDIQUE","2 - PRAMOD KUMAR SINGH PATEL","3 - RAJKUMARI RATNA SINGH","4 - ASHOK SHUKLA SENANI","5 - NIRMALA DEVI","6 - FOOLCHANDRA","7 - BAL KRISHNA","8 - RAJENDRA SHARMA","9 - RAM SEWAK","10 - SHESHNATH","11 - SANTOSH KUMAR SINGH","12 - KUWAR HARIVANSH SINGH","13 - AJMAL KHAN","14 - KIRAN MISHRA","15 - HARIVANSH","16 - None of the Above","Total Votes Secured"
1,"PS. LOHANGPUR",689,613,0,1302,393,382,0,775,433,0,225,68,29,6,6,2,2,0,0,0,4,426,3,0,2,2,775
2,"BPSRANJEETPUR CHILBILA KOT R.N.01",605,498,0,1103,314,282,0,596,238,0,191,7,87,8,1,3,2,0,3,0,3,281,1,4,2,3,596
3,"BPSRANJEETPUR CHILBILA KOT R.N.02",302,259,0,561,174,154,0,328,250,0,98,9,59,1,1,3,0,2,1,2,4,135,4,0,0,9,328
4,"BPS BARACHHA RANJEETPUR CHILBILA W. R.",693,580,0,1273,424,359,0,783,783,0,102,7,56,5,2,2,1,1,2,2,4,578,8,0,6,7,783
5,"FCI, MANDI SAMITI KE SAMNE",438,356,0,794,261,237,0,498,121,0,105,191,18,6,1,0,0,1,0,0,3,166,0,2,3,2,498
6,"PS RANJEETPUR CHILBILA R.N01",799,660,1,1460,418,304,0,722,500,0,68,24,91,7,2,1,1,0,1,0,3,513,3,3,0,5,722
7,"PS RANJEETPUR CHILBILA R.N02",692,599,0,1291,376,313,0,689,450,0,68,14,159,5,1,1,2,1,1,0,3,415,3,1,4,11,689
8,"HPS CHIBILA NAYA HANUMAN MADIR R.N.01",662,590,0,1252,406,323,0,729,722,0,57,35,38,8,2,0,0,0,1,0,2,577,0,0,3,6,729
9,"HPS CHIBILA NAYA HANUMAN MADIR R.N.02",552,505,0,1057,303,248,0,551,551,0,38,30,59,6,1,0,0,1,3,1,2,402,1,2,1,4,551
10,"BPS MAHULI R.N.01",594,499,0,1093,354,274,0,628,547,0,126,83,55,4,2,1,1,1,2,1,2,337,0,5,2,6,628
11,"BPS MAHULI R.N.02",350,298,0,648,203,217,0,420,378,0,95,30,33,2,0,0,0,1,0,1,2,251,0,1,0,4,420
12,"PS SARAY VEER BHADRA R.N.01",462,360,0,822,222,209,0,431,351,0,222,6,9,4,0,0,0,0,1,1,0,173,1,3,2,9,431
13,"PS SARAY VEER BHADRA R.N.02",481,416,0,897,229,261,0,490,419,0,275,8,20,5,1,0,1,1,2,1,0,158,0,1,5,12,490
14,"BHPS PURE KESHV RAY R.N.1",574,443,0,1017,274,219,0,493,310,0,166,107,5,6,1,0,3,0,6,0,1,186,0,0,3,9,493
15,"BHPS PURE KESHV RAY R.N.2",393,275,0,668,181,139,0,320,309,0,11,28,22,5,0,0,0,1,1,0,1,242,1,0,1,7,320
16,"BHPS PURE KESHV RAY R.N.3",496,455,0,951,215,314,0,529,103,0,107,14,16,8,2,1,1,0,2,1,4,362,0,1,2,8,529
17,"BPS PURE MADHAV SINGH",603,510,0,1113,350,317,0,667,450,0,128,44,23,2,1,0,1,1,0,1,2,439,3,2,7,13,667
18,"PS KARAUDI",505,437,0,942,270,250,0,520,345,0,107,9,13,9,2,0,1,2,1,0,2,370,1,0,3,0,520
19,"PS RUPAPUR R.N.1",482,417,0,899,321,239,0,560,520,0,12,9,30,7,1,3,4,2,0,1,7,479,1,0,1,3,560
20,"PS RUPAPUR R.N.2",662,554,0,1216,408,272,0,680,472,0,22,66,17,9,1,1,4,0,0,3,3,543,4,0,4,3,680
21,"S.S.SAMITI SAGRA",872,755,0,1627,417,401,0,818,692,0,150,41,49,9,2,2,3,1,3,3,9,528,5,2,2,9,818
22,"PS SAGRA R.N.1",797,648,0,1445,377,348,0,725,700,0,208,85,51,18,1,0,1,1,4,0,0,341,1,0,7,7,725
23,"PS SAGRA R.N.2",464,464,0,928,227,242,0,469,469,0,345,8,24,0,1,0,0,0,0,1,1,84,1,0,2,2,469
24,"PS PURE OJHA",435,392,0,827,256,221,0,477,476,0,59,71,55,8,1,2,3,0,1,0,0,268,1,2,1,5,477
25,"PS CHAKBANTOD",551,433,0,984,313,291,0,604,604,0,151,54,25,6,3,0,2,1,1,2,3,345,1,4,3,3,604
26,"BPS TAUNGA R.N.01",868,717,1,1586,444,364,0,808,800,0,177,68,62,5,1,1,0,0,0,1,8,467,1,3,5,9,808
27,"BPS TAUNGA R.N.02",671,501,0,1172,338,248,0,586,586,0,95,106,14,3,0,2,2,0,2,1,1,359,0,0,0,1,586
28,"BPS TAUNGA R.N.03",586,509,0,1095,325,283,0,608,402,0,227,17,27,12,0,0,2,0,2,3,4,286,2,7,9,10,608
29,"BPS TAUNGA R.N.04",400,346,0,746,207,152,0,359,305,0,76,5,18,2,1,0,0,0,1,0,2,247,0,1,1,5,359
30,"N.M.TRAINING CENTURE R.N.01",673,572,0,1245,371,275,0,646,636,0,182,33,13,3,1,0,4,0,3,0,7,382,1,1,4,12,646
31,"N.M.TRAINING CENTURE R.N.02",456,399,0,855,252,202,0,454,295,0,185,15,33,4,1,0,0,1,4,0,2,196,0,1,2,10,454
