"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANSHUL VERMA","2 - USHA VERMA","3 - SHIVE PRASAD VERMA","4 - SARVESH KUMAR","5 - CHANDRAPAL","6 - RAMDAYAL","7 - RAMLAKHAN GAUTAM","8 - SANJAY KUMAR","9 - SANTRAM","10 - HIRA LAL VERMA","11 - RAMPAL","12 - SHIVEKUMAR","13 - SAROJ KUMAR","14 - SARVESH","15 - SUNIL BHARTI","16 - None of the Above","Total Votes Secured"
1,"J.H.SLAKHNAUR K.N.1",546,448,0,994,224,112,0,336,336,0,206,46,66,7,0,0,1,1,0,0,0,0,0,1,1,7,336
2,"J.H.SLAKHNAUR K.N.2",363,294,0,657,195,108,0,303,303,0,162,81,49,4,0,0,0,0,0,1,0,3,0,2,0,1,303
3,"J.H.SLAKHNAUR K.N.3",488,411,0,899,196,96,0,292,292,0,120,45,113,1,0,1,2,1,1,1,0,2,0,1,0,4,292
4,"P.P. BARAKANT M. LAKHNAUR",270,236,0,506,233,139,0,372,372,0,19,284,64,1,1,0,0,1,1,0,0,0,0,0,0,1,372
5,"P.P. SAHSOGA",423,352,0,775,271,191,0,462,462,0,251,65,92,25,5,0,1,0,0,1,2,3,5,7,2,3,462
6,"J.H.S. KAMALPUR K.N.1",808,696,0,1504,494,340,0,834,834,0,321,153,303,23,3,1,1,1,0,1,0,7,3,5,4,8,834
7,"J.H.S. KAMALPUR K.N.2",412,352,0,764,210,91,0,301,301,0,131,65,87,4,0,0,0,1,1,0,0,0,1,2,0,9,301
8,"P.P. DEVANNAPUR M. KAMALPUR",443,373,0,816,271,146,0,417,417,0,155,179,56,13,0,0,0,0,0,5,0,3,0,2,0,4,417
9,"P.P. UBARIKHEDA",440,394,0,834,243,180,0,423,423,0,217,106,79,10,0,1,0,0,2,0,0,0,1,2,4,1,423
10,"A.U.M.V. BHAVAR",321,277,0,598,199,145,0,344,344,0,151,150,27,6,1,0,0,0,0,0,1,0,0,2,1,5,344
11,"P.P. KESHOPUR M. BHAVARKESHOPUR",348,300,0,648,266,113,0,379,379,0,150,45,141,10,0,0,1,1,0,0,0,2,2,0,1,26,379
12,"P.P. PATEURA",737,606,0,1343,453,295,0,748,748,0,410,94,216,5,2,0,0,1,0,2,1,3,1,3,2,8,748
13,"P.P. BARUAARA K.N. 1",549,460,0,1009,256,185,0,441,441,0,326,57,33,9,1,0,1,0,0,1,0,2,1,3,2,5,441
14,"P.P. BARUAARA K.N. 2",358,316,0,674,177,123,0,300,300,0,174,23,90,3,1,1,0,0,1,1,0,1,1,1,0,3,300
15,"P.P. BHAHPUR SAPHA",457,413,0,870,269,196,0,465,465,0,225,58,153,11,1,0,0,0,1,1,1,2,1,4,2,5,465
16,"J.H.S. MAIKPUR K.N.1",479,367,0,846,262,184,0,446,446,0,251,104,65,8,2,1,0,1,1,1,2,2,1,0,1,6,446
17,"J.H.S. MAIKPUR K.N.2",514,448,0,962,258,196,0,454,454,0,243,95,83,19,2,1,1,0,1,1,0,0,2,2,2,2,454
18,"J.H.S. MAIKPUR K.N.3",261,224,0,485,132,56,0,188,188,0,40,8,127,8,0,0,0,0,0,1,0,1,1,2,0,0,188
19,"P.P. KURARI",573,482,0,1055,333,199,0,532,532,0,342,74,76,9,0,0,0,2,2,0,1,4,3,3,1,15,532
20,"J.H.S. GIRDHARPUR",418,354,0,772,239,183,0,422,422,0,204,44,161,7,1,0,1,0,0,0,0,1,1,1,0,1,422
21,"P.P. JUJHARPUR",197,169,0,366,118,103,0,221,221,0,130,24,28,5,1,0,0,0,1,0,0,1,1,4,2,24,221
22,"P.P. GASO",496,416,0,912,255,206,0,461,461,0,284,65,80,14,2,0,0,0,0,0,1,0,2,2,1,10,461
23,"P.P. DHANINAGLA",821,662,0,1483,395,197,0,592,592,0,382,102,81,4,4,1,0,0,1,0,0,4,0,3,5,5,592
24,"P.P. NEVADA",214,172,0,386,126,81,0,207,207,0,141,36,23,6,0,0,0,0,0,0,0,0,0,0,0,1,207
25,"P.P. SAHUAPUR",249,224,0,473,163,96,0,259,259,0,177,36,31,3,2,0,0,0,1,1,1,1,1,0,2,3,259
26,"P.P. SEDHAMAU",810,643,0,1453,399,121,0,520,520,0,316,100,68,19,1,1,1,0,0,5,0,3,2,1,2,1,520
27,"J.H.S. AAMTARA K.N.1",646,565,0,1211,259,252,0,511,511,0,151,225,105,10,0,1,0,0,0,3,0,4,3,3,4,2,511
28,"J.H.S. AAMTARA K.N.2",565,484,0,1049,335,240,0,575,575,0,241,74,237,13,0,1,0,0,0,0,0,0,3,1,1,4,575
29,"P.P. CHAKRACHHA",732,599,0,1331,360,200,0,560,560,0,303,84,127,19,2,0,0,0,1,1,1,10,5,3,2,2,560
30,"P.P. JAMALPUR",380,323,0,703,282,181,0,463,463,0,352,50,40,12,0,0,1,1,1,0,0,0,0,0,0,6,463
31,"S.S.S. SULTANPUR",564,480,0,1044,323,237,0,560,560,0,416,33,62,29,1,0,0,1,0,3,1,0,3,2,3,6,560
32,"P.P. KHERIYA M. SULTANPUR",245,211,0,456,143,123,0,266,266,0,161,15,74,11,0,0,1,0,0,0,0,0,0,2,1,1,266
33,"P.P. PACHDEVARA K.N.1",652,550,0,1202,345,237,0,582,582,0,298,93,163,2,4,1,0,1,1,0,0,2,1,0,3,13,582
34,"P.P. PACHDEVARA K.N.2",265,244,0,509,172,124,0,296,296,0,142,76,57,0,2,1,0,0,1,0,0,3,2,2,1,9,296
35,"P.P. PACHDEVRA K.N.3",720,605,1,1326,406,239,0,645,645,0,385,199,21,5,2,1,0,1,1,2,0,2,5,1,5,15,645
36,"P.P. NAI BASTI K.N.1",234,211,0,445,122,118,0,240,240,0,160,50,14,6,0,0,0,1,0,2,1,2,1,0,0,3,240
37,"P.P. NAI BASTI K.N.2",707,595,0,1302,330,224,0,554,554,0,246,95,181,11,0,2,0,1,0,3,0,1,4,2,2,6,554
38,"P.P. DHARMPUR M. NAIBASTI",419,340,0,759,283,182,0,465,465,0,182,145,104,9,2,0,0,0,0,0,1,3,2,3,1,13,465
39,"P.P. PAKRA",343,290,0,633,228,188,0,416,416,0,190,79,130,3,0,2,0,1,0,1,1,5,0,3,0,1,416
40,"P.P. CHANDPUR",422,363,0,785,289,213,0,502,502,0,240,173,40,7,2,1,1,0,1,0,1,3,3,2,4,24,502
41,"P.P. NAGLA HUSEN",373,319,0,692,252,218,0,470,470,0,209,86,142,4,1,2,0,0,1,2,0,3,4,4,4,8,470
42,"P.P. KUNDI",713,604,1,1318,493,385,0,878,878,0,306,238,266,24,0,2,0,2,3,4,2,4,9,8,3,7,878
43,"P.P. NASA",338,281,0,619,181,147,0,328,328,0,122,40,128,7,0,0,0,2,0,1,1,7,3,5,2,10,328
44,"P.P. KAPURPUR",382,324,0,706,194,173,0,367,367,0,311,12,26,2,0,0,0,0,0,1,0,2,1,2,1,9,367
45,"P.P. PIPARIYA",463,400,0,863,221,183,0,404,404,0,209,45,123,8,1,0,2,0,0,1,0,5,1,0,3,6,404
46,"P.P. CHANDRAMPUR",227,186,0,413,163,94,0,257,257,0,204,21,12,6,0,0,0,1,0,0,0,2,0,2,2,7,257
47,"J.H.S. ANANGPUR K.N.1",517,437,0,954,297,221,0,518,518,0,175,95,196,10,1,0,0,0,2,1,4,7,4,7,5,11,518
48,"J.H.S. ANANGPUR K.N.2",613,515,0,1128,392,260,0,652,652,0,410,150,60,13,1,0,0,2,0,1,3,0,1,1,3,7,652
49,"P.P. JALPAPUR",631,495,0,1126,417,263,0,680,680,0,325,113,219,8,1,1,1,1,0,0,0,0,0,2,4,5,680
50,"P.P. MANPARA",427,350,0,777,224,142,0,366,366,0,197,51,88,17,1,0,1,1,0,1,1,0,3,2,1,2,366
51,"P.P. MURTAJANAGAR",581,494,0,1075,385,291,0,676,676,0,350,90,216,7,1,0,0,0,1,0,0,2,2,4,1,2,676
52,"P.P. BILSER HILAN",689,465,0,1154,360,164,0,524,524,0,337,77,73,17,2,0,0,0,1,1,3,5,0,1,3,4,524
53,"P.P. KUNVARPUR",394,329,0,723,224,182,0,406,406,0,104,116,162,9,2,1,1,2,0,0,0,4,2,2,0,1,406
54,"P.P. BILSER HARSEN",179,127,0,306,128,94,0,222,222,0,44,89,76,6,0,0,0,0,0,0,0,2,0,1,3,1,222
55,"P.P. LODIYAPUR M. BILSER HARSEN",330,234,0,564,253,173,0,426,426,0,20,241,147,4,2,0,1,0,0,0,0,0,2,6,2,1,426
56,"P.P. ISMILEPUR",347,268,0,615,212,158,0,370,370,0,241,24,99,2,2,0,0,0,0,0,0,0,1,0,1,0,370
57,"P.P. MANNAGLA",460,391,0,851,330,247,0,577,577,0,212,164,175,7,3,0,1,0,1,1,0,3,2,1,2,5,577
58,"P.P. BILSARI M. MANNAGLA",379,278,0,657,253,171,0,424,424,0,149,207,48,3,2,0,0,0,1,0,0,2,1,1,4,6,424
59,"P.P. HATTODA",819,635,0,1454,417,251,0,668,668,0,387,94,143,12,2,0,0,3,1,7,2,1,2,3,4,7,668
60,"P.P. VISAULI",415,313,0,728,214,108,0,322,322,0,81,198,25,2,1,0,0,0,0,2,0,3,1,3,1,5,322
61,"P.P. NAGLA BHANSI",541,426,0,967,304,224,0,528,528,0,190,163,135,14,1,1,3,2,1,1,0,4,2,4,2,5,528
62,"P.P. MAHMUDPUR",402,323,0,725,254,209,0,463,463,0,298,93,36,10,1,2,2,0,1,1,0,5,2,4,3,5,463
63,"P.P. TERA",252,185,0,437,156,109,0,265,265,0,160,31,64,3,0,1,1,0,0,0,0,0,1,1,0,3,265
64,"P.P. FARIGHANA K.N.1",507,396,0,903,297,165,0,462,462,0,188,127,122,7,4,1,0,0,0,2,0,6,1,1,1,2,462
65,"P.P. FARIGHANA K.N.2",451,336,0,787,261,96,0,357,357,0,77,97,153,4,2,0,2,1,0,2,1,5,4,4,1,4,357
66,"P.P. RAJUAPUR",382,289,0,671,219,90,0,309,309,0,82,160,63,1,0,0,0,0,0,0,0,2,0,0,0,1,309
67,"P.P. MALIKAPUR",552,470,0,1022,348,244,0,592,592,0,421,23,125,4,3,1,0,0,1,1,1,4,0,2,2,4,592
68,"P.P. HADHA M. DGELA",514,401,0,915,251,210,0,461,461,0,280,63,66,41,2,0,0,0,1,0,1,0,0,1,1,5,461
69,"P.P. RAMNAGRIYA M. DGELA",384,280,0,664,247,143,0,390,390,0,166,115,101,3,0,0,0,0,1,0,0,0,3,0,1,0,390
70,"P.P. LOKHA M. JUIRA",758,558,0,1316,452,231,0,683,683,0,399,164,96,7,0,0,1,0,0,2,1,0,2,5,2,4,683
71,"P.P. THARIYA",311,252,0,563,234,168,0,402,402,0,116,193,72,2,0,1,0,0,0,0,0,3,1,5,6,3,402
72,"P.P. GAJIYAPUR",356,287,0,643,255,179,0,434,434,0,183,128,66,34,2,0,0,3,2,1,0,3,4,0,3,5,434
73,"P.P. BEHATI",557,446,0,1003,397,293,0,690,690,0,521,111,28,2,1,1,0,1,0,2,2,2,2,3,7,7,690
74,"P.P. PAITHPUR",547,434,0,981,337,300,0,637,637,0,205,50,358,6,0,1,0,0,1,1,2,2,2,2,1,6,637
75,"P.P. RAMAPUR",507,410,0,917,312,219,0,531,531,0,323,75,101,8,2,2,1,0,0,2,2,1,2,4,3,5,531
76,"P.P. NAGLA PATTU",531,384,0,915,364,239,0,603,603,0,289,96,204,4,2,1,0,0,0,0,2,2,0,2,0,1,603
77,"J.H.S. BARKHANI K.N.1",501,411,0,912,249,87,0,336,336,0,206,61,52,10,0,1,0,0,0,0,0,1,0,1,1,3,336
78,"J.H.S. BARKHANI K.N.2",529,421,0,950,284,204,0,488,488,0,145,28,268,24,1,0,2,0,0,2,0,1,6,8,2,1,488
79,"P.P. BHARKANI K.N.1",525,415,0,940,282,211,0,493,493,0,272,21,113,69,1,0,1,0,0,2,0,6,2,2,0,4,493
80,"P.P. BARKHANI K.N. 2",517,423,0,940,270,214,0,484,484,0,340,77,43,6,1,3,0,2,0,2,1,1,3,0,1,4,484
81,"P.P. HASNAPUR",330,269,0,599,201,117,0,318,318,0,83,121,60,35,3,0,1,2,1,0,1,4,1,0,1,5,318
82,"P.P. DOLATIYAPUR M. HASNAPUR",352,260,0,612,231,169,0,400,400,0,34,353,1,9,0,0,0,0,0,0,0,0,1,0,0,2,400
83,"P.P. PACHREYA",291,248,0,539,241,208,0,449,449,0,184,136,125,0,0,0,0,0,0,0,0,0,0,0,3,1,449
