"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KU. DEVENDRA SINGH YADAV","2 - NOOR MOHAMMAD KHAN","3 - RAJVEER SINGH RAJU BHAIYA","4 - TH. JOGINDRA SINGH BHADORIYA","5 - RAJENDRA","6 - VINAY","7 - THAKUR HEMENDRA VEER SINGH","8 - HANS  RAJ SINGH","9 - DANVEER","10 - RAKESH GANDHI","11 - RAJVEER SINGH","12 - None of the Above","Total Votes Secured"
1,"PR.PATH BAGHELA PUKHTA",637,534,0,1171,344,276,0,620,614,0,54,7,507,16,0,0,1,2,1,10,13,9,620
2,"JR.H,S,CHANDRAPURA GAUPURA ROOM NO. 1",620,515,0,1135,368,254,0,622,620,0,136,159,289,22,1,3,1,0,1,3,3,4,622
3,"JR.H,S,CHANDRAPURA GAUPURA ROOM NO. 2",804,679,0,1483,510,373,0,883,883,0,151,320,254,120,0,5,1,3,2,5,12,10,883
4,"N.N.PR.PATH DATLANA ROOM NO. 1",527,406,0,933,269,188,0,457,129,0,56,34,347,8,1,2,0,1,0,0,6,2,457
5,"N.N.PR.PATH DATLANA ROOM NO. 2",413,318,0,731,203,152,0,355,355,0,50,2,292,6,1,0,1,1,0,1,1,0,355
6,"PRPATH UDHAIR PUKHTA ROOM NO. 1",542,508,0,1050,289,285,0,574,574,0,186,118,241,4,1,2,5,1,0,1,5,10,574
7,"PRPATH UDHAIR PUKHTA ROOM NO. 2",561,497,0,1058,306,219,0,525,390,0,99,111,274,16,1,0,3,1,0,6,10,4,525
8,"PR.PATH. TUMARIA",517,439,0,956,347,276,0,623,120,0,164,110,258,58,0,3,1,9,3,4,8,5,623
9,"PR.PATH. N.RAMCHANDRA M.TUMARIA",519,454,0,973,365,308,0,673,673,0,54,293,187,113,2,3,2,0,5,5,7,2,673
10,"GANGESHWAR JR.H.S.MANPUR NAGRIA ROOM NO. 1",825,716,0,1541,440,385,0,825,802,0,97,131,520,13,2,6,4,2,6,16,19,9,825
11,"GANGESHWAR JR.H.S.MANPUR NAGRIA ROOM NO. 2",574,490,0,1064,326,252,0,578,578,0,28,20,471,18,3,4,5,1,2,7,13,6,578
12,"GANGESHWAR JR.H.S.MANPUR NAGRIA ROOM NO. 3",418,343,0,761,202,176,0,378,280,0,25,22,300,8,0,1,0,0,1,7,8,6,378
