"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASTBHUJA PRASAD TRIPATHI","2 - ADITYANATH","3 - RAJMATI NISHAD","4 - RAM BHUAL NISHAD","5 - INDRA DEO YADAVA","6 - FAIZ AHAMAD FAIZI","7 - MUNNA","8 - RAJIT MISHRA","9 - RAJESH","10 - RADHE MOHAN MISRA","11 - MOHD. WASEEM KHAN","12 - SUBASH KUMAR MAURYA","13 - ACHHE LAL GUPTA","14 - ASHOK","15 - RAMKISHUN","16 - None of the Above","Total Votes Secured"
1,"P.VID. KARMAURA ROOM NO1",701,540,0,1241,362,331,0,693,71,0,14,463,131,63,2,1,3,2,0,0,1,1,2,3,2,5,693
2,"P.VID. KARMAURA ROOM NO2",533,452,0,985,318,281,0,599,216,0,11,354,132,88,3,0,3,0,1,0,2,0,2,1,1,1,599
3,"P.VID . TIKARIYA ROOM NO.1",893,649,0,1542,421,340,0,761,227,0,41,554,38,67,1,2,9,0,5,1,4,3,5,8,11,12,761
4,"P.VID . TIKARIYA ROOM NO.2",593,445,0,1038,282,253,0,535,48,0,19,366,25,101,2,0,1,1,0,1,1,5,4,2,2,5,535
5,"P. VID RAGHUNATHAPUR ROOM. NO.1",714,547,0,1261,454,341,0,795,351,0,8,534,111,123,3,1,2,0,1,5,1,1,1,2,0,2,795
6,"P.VID RAGHUNATHPUR ROOM NO.2",851,648,0,1499,506,373,0,879,451,0,27,505,116,183,4,2,4,0,2,6,1,1,8,4,6,10,879
7,"P.VID.  MANGLAPUR ROOM NO.1",717,567,1,1285,395,353,0,748,410,0,19,380,125,188,2,3,2,0,2,12,2,1,4,1,3,4,748
8,"P.VID.  MANGLAPUR ROOM NO.2",336,241,0,577,178,130,0,308,142,0,6,179,95,20,0,0,0,0,0,5,1,1,0,0,1,0,308
9,"P.VID.  MANGLAPUR ROOM NO.3",492,327,1,820,230,176,0,406,217,0,5,195,143,45,0,0,1,2,0,1,1,1,2,1,3,6,406
10,"SANKUL BHAWN MANGLAPUR",685,480,0,1165,347,246,0,593,339,0,17,269,115,151,3,0,1,0,1,3,1,2,6,4,7,13,593
11,"P.VID. BADHANI ROOM.NO 1",598,492,0,1090,374,347,0,721,160,0,14,436,79,169,3,0,1,1,0,6,0,0,0,2,4,6,721
12,"P.VID. BADHANI ROOM.NO 2",359,268,0,627,239,195,0,434,340,0,5,269,94,53,0,0,1,1,0,0,0,3,0,2,0,6,434
13,"P.VID SIYARAMPUR ROOM NO.1",658,537,1,1196,431,371,0,802,173,0,22,306,120,287,5,2,14,2,2,5,2,4,7,8,7,9,802
14,"P.VID. SIYARAMPUR ROOM NO.2",261,210,0,471,176,125,0,301,142,0,3,115,96,77,1,1,0,0,0,1,0,0,1,0,2,4,301
15,"P.VID. SIYARAMPUR ROOM NO.3",925,695,0,1620,567,449,0,1016,940,0,12,369,119,460,7,0,8,1,2,2,3,4,7,5,5,12,1016
16,"PU. MA. VID. MAHRAJGANJ ROOM NO.1",666,524,0,1190,421,310,0,731,343,0,16,348,114,197,3,2,12,2,2,4,2,1,4,5,8,11,731
17,"PU. MA. VID. MAHRAJGANJ ROOM NO.2",506,381,0,887,231,324,0,555,437,0,15,220,133,153,3,2,8,0,2,3,0,3,5,4,1,3,555
18,"PU. MA. VID. MAHRAJGANJ ROOM NO.3",642,500,0,1142,395,303,0,698,341,0,27,480,63,102,0,1,4,0,1,1,1,1,4,0,6,7,698
19,P.VID.MAHRAJGANJ,350,268,0,618,219,148,0,367,240,0,9,225,93,29,0,0,1,0,0,1,0,0,1,2,4,2,367
20,"P.VID. THAKURAPUR N0 2 TOLA ROOM.NO.1",756,598,0,1354,544,414,0,958,320,0,4,270,160,483,6,0,3,2,2,3,0,2,8,3,5,7,958
21,"P.VID. THAKURAPUR N0 2 TOLA ROOM.NO.1",483,397,0,880,310,261,0,571,347,0,12,305,102,119,2,2,4,0,1,3,1,3,3,2,3,9,571
22,"P.VID. THAKURAPUR N0 1 TOLASEWI ROOM.NO.1",684,559,0,1243,444,351,0,795,349,0,17,514,219,22,1,1,1,0,2,0,2,0,2,6,6,2,795
