"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLA PRASAD RAWAT","2 - P. L. PUNIA","3 - PRIYANKA SINGH RAWAT","4 - RAJRANI RAWAT","5 - KISHAN LAL","6 - P. C. KUREEL","7 - DINESH CHANDRA GAUTAM","8 - NITIN SINGH","9 - BABU LAL","10 - MEDI LAL","11 - RAJESH KUMAR VIDYARTHI","12 - ABHILAKH RAWAT","13 - KHANJAN LAL","14 - MAHESH","15 - None of the Above","Total Votes Secured"
1,"J.H.S. PATAUNJA ROOM NO.- 1",610,473,0,1083,444,274,0,718,570,0,56,33,517,80,3,5,1,1,1,1,2,5,5,1,7,718
2,"P.S. JAITHER KISUNIPUR ROOM NO.- 1",276,230,0,506,221,175,0,396,2,0,49,7,135,188,5,0,1,0,2,2,0,0,4,2,1,396
3,"P.S. BHIKHAMPUR ROOM NO.- 1",198,147,0,345,132,98,0,230,7,0,7,11,177,20,2,3,1,2,1,0,0,1,3,1,1,230
4,"P.S. BIN‍DAURA GHARATHRIYA  ROOM NO.- 1",746,618,0,1364,509,281,0,790,708,0,115,22,446,176,5,2,2,1,1,1,1,0,5,1,12,790
5,"P.S. DHANVALIYA ROOM NO.- 1",208,177,0,385,166,105,0,271,150,0,15,20,149,58,4,4,3,2,6,5,1,1,1,1,1,271
6,"P.S. SAILAK JALALPUR",443,342,0,785,358,204,0,562,10,0,28,183,199,82,4,9,5,4,5,4,4,4,13,3,15,562
7,"P.S. JALALPUR ROOM NO.- 1",374,368,0,742,294,217,0,511,1,0,87,18,329,31,1,9,3,1,5,1,1,0,8,9,8,511
8,"P.S. TURKAULI ROOM NO.- 1",883,635,0,1518,574,359,0,933,933,0,116,67,616,92,2,4,2,3,5,3,0,2,12,4,5,933
9,"J.H.S. TANDVA ROOM NO.- 1",377,288,0,665,339,248,0,587,262,0,193,20,47,300,1,3,1,1,0,1,0,3,5,1,11,587
10,"P.S. BASARI ROOM NO.- 1",500,396,0,896,407,294,0,701,26,0,216,80,342,48,3,2,0,0,1,0,0,1,4,3,1,701
11,"P.S. BASARI ROOM NO.- 2",397,305,0,702,316,235,0,551,4,0,22,47,372,93,0,2,3,1,1,0,0,1,6,0,3,551
12,"P.S. KESHRAI ROOM NO.- 1",691,564,0,1255,551,405,0,956,956,0,34,97,416,364,8,1,9,1,2,2,2,3,6,2,9,956
13,"J.H.S. CHHEDA ROOM NO.- 1",461,377,0,838,370,264,0,634,231,0,83,111,212,208,5,0,0,0,1,1,1,1,3,3,5,634
14,"J.H.S. CHHEDA ROOM NO.- 2",419,324,0,743,318,216,0,534,534,0,255,26,101,132,1,3,2,0,1,4,1,1,3,2,2,534
15,"P.S. RANJITPUR ROOM NO.- 1",524,462,0,986,422,328,0,750,250,0,82,24,610,16,4,4,0,2,0,0,0,0,7,0,1,750
16,"P.S. PARA ROOM NO.- 1",742,601,0,1343,551,370,0,921,916,0,164,32,647,48,6,2,1,1,1,0,1,2,7,3,6,921
17,"J.H.S. JHABRAPUR ROOM NO.- 1",181,155,0,336,148,115,0,263,113,0,21,24,193,15,1,1,1,0,0,1,0,0,1,3,2,263
