"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKSHAY YADAV","2 - ATUL CHATURVEDI","3 - TH. VISHWADEEP SINGH","4 - PROF. S.P. SINGH BAGHEL","5 - UPENDRA SINGH","6 - KHAJAN SINGH","7 - JAY PRAKASH","8 - RAKESH YADAV","9 - RAJENDRA PRASAD","10 - RAHAT AFROZ","11 - LAXMI","12 - LAKSHMI  NARAYAN","13 - SHAMSHER KHA","14 - MIRJA MUKARRAM BAIG","15 - RAJVEER","16 - None of the Above","Total Votes Secured"
1,"P0 S0 PATARA R.N. 1",305,252,0,557,264,173,0,437,436,0,24,4,5,397,4,1,0,0,0,0,0,0,0,1,1,0,437
2,"P0 S0 PATARA R.N. 2",478,410,0,888,290,212,0,502,502,0,227,4,74,184,0,0,1,0,0,0,0,1,2,1,5,3,502
3,"P0 S0 DALELPUR",235,221,0,456,201,162,0,363,200,0,245,1,4,108,1,1,0,0,0,0,0,1,1,0,0,1,363
4,"P0 S0 NAGALA NAHAR",610,552,0,1162,395,304,0,699,406,0,371,1,15,292,1,1,3,0,0,0,1,0,7,0,1,6,699
5,"P0 S0 RUHASI",447,338,0,785,381,260,0,641,496,0,370,3,34,218,4,1,2,0,0,0,0,1,3,1,2,2,641
6,"JU0 HA0 NAGALA POHAPI",287,235,0,522,247,179,0,426,183,0,406,1,1,15,0,0,0,2,0,0,0,0,0,0,0,1,426
7,"P0 S0 NAGALA VAVAN",505,385,0,890,316,219,0,535,535,0,317,2,14,190,1,0,1,0,0,1,1,4,1,0,1,2,535
8,"P0 S0 BHARATPUR",530,400,0,930,447,280,0,727,205,0,672,1,9,45,0,0,0,0,0,0,0,0,0,0,0,0,727
9,"P0 S0 GINOLY R.N. 1",626,463,0,1089,404,214,0,618,200,0,515,1,30,57,4,0,3,1,0,0,0,0,0,1,0,6,618
10,"P0 S0 GINOLY R.N. 2",322,263,0,585,223,157,0,380,300,0,320,2,19,34,1,0,0,0,0,0,0,0,0,0,1,3,380
11,"P0 S0 HATHOLY JAYSINGH PUR",449,341,0,790,273,184,0,457,130,0,72,4,66,299,4,2,0,1,0,0,0,0,0,4,2,3,457
12,"P0 S0 GOPALPUR",538,440,1,979,402,325,0,727,168,0,430,3,11,274,3,1,1,1,0,0,0,0,1,0,1,1,727
13,"P0 S0 NAGALA CHHATU",578,450,0,1028,406,224,0,630,47,0,277,7,78,258,5,0,1,1,0,1,0,0,0,1,0,1,630
14,"NAHAR NI0 BH0 JHAL GOPALPUR",556,432,0,988,524,284,0,808,7,0,784,1,0,18,1,0,0,0,0,0,2,0,0,0,0,2,808
15,"P0 S0 NAGALA GOSHA",676,511,0,1187,467,242,0,709,709,0,323,3,64,289,5,0,1,0,1,1,1,2,7,3,1,8,709
16,"JU0 HA0 NAGALA GOSHA NAVEEN BHAVAN",351,258,0,609,283,197,0,480,480,0,462,1,1,11,0,0,0,0,0,0,0,0,0,0,2,3,480
17,"U0 P0 V0 NAGALA MEVA",483,375,0,858,367,285,0,652,652,0,481,3,2,161,0,1,1,0,0,0,0,0,0,1,1,1,652
18,"P0 S0 UDESAR GAJADHAR SINGH R.N. 1",553,321,0,874,336,194,0,530,196,0,322,2,94,101,2,0,1,0,0,0,1,1,1,0,2,3,530
19,"P0 S0 UDESAR GAJADHAR SINGH R.N. 2",313,256,0,569,253,204,0,457,452,0,425,1,1,29,0,0,0,0,0,0,0,0,0,0,1,0,457
