"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KU. DEVENDRA SINGH YADAV","2 - NOOR MOHAMMAD KHAN","3 - RAJVEER SINGH RAJU BHAIYA","4 - TH. JOGINDRA SINGH BHADORIYA","5 - RAJENDRA","6 - VINAY","7 - THAKUR HEMENDRA VEER SINGH","8 - HANS  RAJ SINGH","9 - DANVEER","10 - RAKESH GANDHI","11 - RAJVEER SINGH","12 - None of the Above","Total Votes Secured"
1,"PRA.PATH. MEHMUDPUR PUKHTA",522,427,0,949,382,253,0,635,631,0,531,45,46,0,0,0,1,0,0,3,5,4,635
2,"DURVIN SINGH RAI SINGH U.M.V. MEHMUDPUR PUKHTA",350,317,0,667,279,232,0,511,509,0,397,103,2,1,3,0,1,0,0,0,2,2,511
3,"PRA.PATH.ABAYPUR RAMPUR PUKHTA",535,463,0,998,365,287,0,652,22,0,566,39,22,1,0,3,3,2,1,2,2,11,652
4,PRA.PATH.ISMAILPUR,672,545,0,1217,519,352,0,871,1,0,743,65,33,3,0,2,3,0,2,2,2,16,871
5,"J.H.SCHOOL ALIPUR BARBARA R.NO. 1",674,564,0,1238,476,342,0,818,818,0,792,3,15,1,0,1,0,0,1,0,2,3,818
6,"J.H.SCHOOL ALIPUR BARBARA R.NO. 2",574,433,0,1007,395,228,0,623,482,0,595,3,8,0,1,0,1,1,1,1,3,9,623
7,"PRA.PATH.SIRAWALI R.NO. 1",587,487,0,1074,330,215,0,545,125,0,409,20,88,3,0,0,4,2,5,4,5,5,545
8,"PRA. PATH.SIRAWALI R.NO. 2",441,374,0,815,325,258,0,583,1,0,502,27,34,1,1,1,3,1,0,4,3,6,583
9,"PRA.PATH. FAZILPUR",447,362,0,809,305,224,0,529,496,0,378,93,41,3,0,1,1,2,0,1,4,5,529
10,"PRA.PATH. PACHLANA",664,543,0,1207,404,277,0,681,20,0,549,44,51,2,1,6,3,3,1,10,2,9,681
11,"PRA.PATH. KUMRAUA R. N. 1",401,357,0,758,293,207,0,500,480,0,424,9,50,1,1,0,0,2,0,1,3,9,500
12,"PRA. PATH. KAUMRAUA R. N. 2",438,353,0,791,273,197,0,470,1,0,411,8,42,1,1,1,1,1,0,1,1,2,470
13,"PRA. PATH. KAUMRAUA R. N. 3",407,351,0,758,257,209,0,466,4,0,258,116,56,1,3,4,4,1,2,6,11,4,466
14,"PRA.PATH. SIYAPUR. M. KUMRAUA",414,333,0,747,338,215,0,553,150,0,503,4,21,1,1,1,2,0,1,2,3,14,553
15,"PRA.PATH. KHADIYA",677,577,0,1254,402,350,0,752,748,0,247,365,120,0,0,2,5,0,2,4,5,2,752
16,"PRA.PATH NAGLA LODHI M. KHADIYA",311,283,0,594,222,178,0,400,104,0,98,115,176,4,0,3,0,2,0,0,1,1,400
17,"PRA. PATH.KUDAR",627,538,0,1165,242,335,0,577,562,0,83,185,284,3,2,3,3,3,0,5,5,1,577
18,"J.H. SCHOOL NAGLA MOTI M. KUDAR",708,540,0,1248,458,273,0,731,70,0,523,86,89,3,1,2,1,2,1,3,3,17,731
19,"PRA.PATH DOKELI",714,570,0,1284,432,333,0,765,65,0,291,147,284,15,1,2,3,0,0,3,8,11,765
20,"PRA.PATH BAROLI URF BADAGAON",613,508,0,1121,302,274,0,576,108,0,211,116,219,5,2,2,5,0,2,3,4,7,576
21,"PRA.PATH. HARSAINA",694,572,0,1266,338,292,0,630,120,0,141,224,211,8,1,3,6,6,0,3,18,9,630
22,"PRA.PATH NAGLA KEHAR M. HARSAINA",437,324,0,761,345,236,0,581,80,0,530,28,21,2,0,0,0,0,0,0,0,0,581
23,"MAHENDRA INT. COLL. GADHI HARNATHER",512,416,0,928,281,222,0,503,500,0,296,72,122,2,1,2,1,2,0,0,2,3,503
24,"PRA.PATH CHAKERI",577,477,0,1054,279,222,0,501,250,0,111,65,301,4,0,2,0,2,0,4,3,9,501
25,"PRA. PATH. NAMENI R.NO. 1",471,409,0,880,217,168,0,385,385,0,130,133,96,0,3,1,1,1,1,3,6,10,385
26,"PRA. PATH. NAMENI R.NO. 2",491,410,0,901,192,153,0,345,340,0,98,60,172,1,1,0,1,1,1,1,2,7,345
27,"PRA. PATH. NAMENI R.NO. 3",563,466,0,1029,241,172,0,413,413,0,110,8,286,1,0,2,1,0,1,2,2,0,413
28,"PRA.PATH BADWARI KALAN M. NAMENI",505,416,0,921,285,189,0,474,469,0,178,75,207,3,1,1,3,1,0,1,2,2,474
29,"PRA.PATH. KEDI",545,470,0,1015,332,241,0,573,570,0,108,299,133,9,3,4,3,3,2,0,4,5,573
