"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NARENDRA BHATI","2 - DR.MAHESH  SHARMA","3 - RAMESH CHAND TOMAR","4 - SATISH KUMAR","5 - UDAYVEER","6 - KISHAN PAL SINGH","7 - GAJENDRA","8 - DHARMENDER","9 - RAVINDER SHARMA","10 - RAM VILAS","11 - RUVEZ ALAM RAHI","12 - MOHD. SABIR ANSARI","13 - LT COL SP SINGH","14 - SEEMA","15 - SONIA SHARMA","16 - KADEEM","17 - KADIR KHAN JAISWAL","18 - GRISA KUMAR","19 - MAHESH","20 - RAKESH","21 - SAFRUDDIN","22 - SAVITRI","23 - SUNIL GAUTAM","24 - SUMITI","25 - None of the Above","Total Votes Secured"
1,"PRY. PATH. HAIBATPUR R,NO-1",635,496,0,1131,429,297,0,726,708,0,199,430,13,37,1,15,2,6,0,0,0,9,0,0,1,3,1,2,1,1,0,3,0,0,2,726
2,"PRY. PATH. HAIBATPUR R,NO-2",668,496,0,1164,431,255,0,686,520,0,149,316,26,122,0,35,1,5,1,1,0,5,2,2,3,6,0,0,0,2,0,2,4,0,4,686
3,"PRY. PATH. ETAIRA R.NO. -1",736,606,0,1342,581,346,0,927,907,0,272,383,6,241,0,0,0,1,0,0,0,7,1,5,1,0,2,2,0,1,2,1,1,0,1,927
4,"PRY. PATH. SHAHBERI R.NO. 1",736,487,0,1223,417,244,0,661,661,0,262,212,43,98,1,19,0,3,1,0,0,3,1,0,1,4,1,4,1,1,0,1,1,1,3,661
5,"J. H. S. CHIPIYANA BUJURG R NO-1",732,546,0,1278,508,273,0,781,781,0,28,675,17,31,1,9,1,0,0,1,0,2,0,0,0,0,1,4,2,0,0,2,0,1,6,781
6,"J H CHIPIYANA BUJURG R NO-2",700,537,0,1237,422,245,0,667,76,0,21,546,19,46,1,13,0,0,0,0,0,4,1,0,2,0,1,7,1,1,0,1,0,1,2,667
7,"J H CHIPIYANA BUJURG R NO-03",938,695,0,1633,480,301,0,781,775,0,21,658,16,61,1,14,1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,1,0,2,781
8,"J H CHIPIYANA BUJURG R NO-04",1304,947,0,2251,717,480,0,1197,1176,0,38,953,31,116,0,39,1,1,0,0,1,7,0,0,0,3,1,0,2,0,0,1,0,0,3,1197
9,"PRY. PATH. CHIPIYANA BUJURG R NO-1",559,395,0,954,326,260,0,586,584,0,7,291,6,264,0,2,2,0,0,0,1,2,2,0,1,3,0,2,0,0,0,0,0,0,3,586
10,"PRY. PATH. CHIPIYANA BUJURG R NO-02",802,547,0,1349,404,248,0,652,639,0,19,434,9,165,0,15,0,0,0,0,1,3,2,0,0,0,1,1,0,2,0,0,0,0,0,652
11,"PRY. PATH. CHIPIYANA BUJURG R NO-03",693,517,0,1210,362,228,0,590,398,0,32,437,13,71,1,22,1,1,0,0,0,3,0,0,2,2,0,3,0,0,0,1,0,0,1,590
12,"PRY. PATH. CHIPIYANA BUJURG R NO-04",701,546,0,1247,367,223,0,590,564,0,58,480,9,19,0,15,0,0,0,0,0,1,1,0,1,3,0,1,0,0,1,0,1,0,0,590
13,"DALPHIN PUBLIC SCHOOL CHIPIYANA BUJURG R NO-01",676,507,0,1183,331,233,0,564,1,0,19,497,7,15,0,9,2,5,0,0,1,2,0,0,2,1,0,2,0,0,0,0,0,0,2,564
14,"DALPHIN PUBLIC SCHOOL CHIPIYANA BUJURG R NO-02",467,340,0,807,268,173,0,441,401,0,15,375,16,9,0,13,0,2,0,0,0,4,0,0,0,1,0,1,0,1,0,0,0,0,4,441
15,"DALPHIN PUBLIC SCHOOL CHIPIYANA BUJURG R NO-03",686,511,0,1197,348,213,0,561,521,1,13,502,13,5,0,18,0,0,0,0,0,2,1,0,3,2,1,0,0,0,0,0,0,0,1,561
16,"DALPHIN PUBLIC SCHOOL CHIPIYANA BUJURG R NO-04",544,372,0,916,269,156,0,425,375,0,24,377,5,6,0,9,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425
17,"VIDHYUT PRASHIKSHAN KENDRA RAILWAY PHATAK CHIPIYANA BUJURG",826,579,0,1405,416,282,0,698,647,0,24,604,13,13,0,34,0,3,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,1,698
18,"JANTA I. C. ROZA YAKUBPUR R.NO. 1",671,450,0,1121,440,259,0,699,680,0,97,555,3,22,0,4,0,2,0,1,0,3,1,1,2,3,2,1,0,0,0,1,1,0,0,699
19,"JANTA I. C. ROZA YAKUBPUR R.NO. 2",526,508,1,1035,319,224,0,543,519,0,123,301,3,99,1,0,0,0,1,0,0,7,0,1,1,1,3,0,0,1,0,0,0,0,1,543
20,"JANTA I. C. ROZA YAKUBPUR R.NO. 3",478,355,0,833,264,163,0,427,99,0,104,152,1,146,1,2,1,0,0,1,0,7,1,1,0,2,1,1,2,0,0,2,0,1,1,427
21,"JANTA I. C. ROZA YAKUBPUR R.NO. 4",451,384,0,835,227,175,0,402,402,0,73,95,3,207,2,4,0,1,0,0,0,0,0,0,0,2,2,1,0,5,4,0,0,0,3,402
22,"PRY. PATH. ROZA JALALPUR R.NO. 1",698,576,0,1274,453,354,0,807,108,0,442,162,12,164,0,4,1,2,0,0,1,1,0,1,0,3,7,3,0,0,2,0,1,1,0,807
23,"PRY. PATH. ROZA JALALPUR R.NO. 2",615,458,0,1073,405,310,0,715,21,0,68,439,3,159,0,8,1,3,1,0,2,7,0,5,4,6,1,4,0,0,0,0,2,1,1,715
24,"PRY. PATH. ROZA JALALPUR R.NO. 3",606,590,0,1196,420,342,0,762,762,0,61,365,4,302,2,7,0,1,0,0,0,2,0,2,1,1,1,2,0,4,0,3,1,1,2,762
25,"PRY. PATH. PATWARI R.NO. 1",849,630,0,1479,534,249,0,783,753,0,224,447,3,50,2,6,1,2,0,3,2,7,0,1,2,4,0,11,2,3,1,4,2,2,4,783
26,"PRIMARY PATH. PATWARI R.NO. 2",568,476,0,1044,394,264,0,658,638,0,104,230,3,300,3,6,1,2,0,1,0,3,0,0,1,0,1,1,1,0,0,0,0,0,1,658
27,"PRY. PATH. MILAK LACHCHHI R.NO. 1",581,462,1,1044,412,271,0,683,528,0,329,153,7,176,2,1,0,0,0,0,0,1,0,0,3,2,3,1,0,2,0,0,1,1,1,683
28,"PRY. PATH. MILAK LACHCHHI R.NO. 2",466,353,0,819,360,233,0,593,74,0,217,192,6,154,0,7,0,0,0,0,1,1,1,0,1,2,3,2,1,4,0,0,0,0,1,593
29,"J. H. BISRAKH JALALPUR R.NO. 1",605,426,0,1031,337,209,0,546,526,0,248,86,14,164,0,24,0,2,0,0,1,0,0,0,2,3,1,1,0,0,0,0,0,0,0,546
30,"J. H. BISRAKH JALALPUR R.NO. 2",511,396,0,907,335,211,0,546,200,0,213,182,7,112,1,17,0,3,0,0,1,1,2,2,0,1,1,2,0,1,0,0,0,0,0,546
31,"J. H. BISRAKH JALALPUR R.NO. 3",577,456,0,1033,325,328,0,653,250,0,267,102,2,233,2,25,0,2,0,1,0,2,0,1,1,7,1,4,0,0,0,0,0,0,3,653
32,"J. H. BISRAKH JALALPUR R.NO. 4",598,450,0,1048,385,246,0,631,387,0,283,141,3,153,2,37,0,4,0,0,0,3,0,1,0,3,1,0,0,0,0,0,0,0,0,631
33,"PRY. PATH. KHAIRPUR GUJAR R.NO. 1",512,384,0,896,338,230,0,568,1,0,187,307,4,57,0,2,0,2,0,0,0,1,0,1,0,2,0,3,1,0,0,0,1,0,0,568
34,"PRY. PATH. KHAIRPUR GUJAR R.NO. 2",479,359,0,838,322,191,0,513,480,0,160,266,3,71,0,0,0,2,0,0,0,2,1,0,0,1,1,1,2,2,0,1,0,0,0,513
35,"PRY. PATH. KHAIRPUR GUJAR R.NO. 3",448,333,0,781,315,201,0,516,433,0,41,112,2,345,3,2,0,0,1,1,1,1,0,0,0,1,0,2,0,2,1,0,0,0,1,516
36,"PRY. PATH. EMNABAD R.NO. 1",505,351,0,856,393,245,0,638,550,0,277,111,5,220,2,3,1,5,1,0,1,3,1,0,0,4,2,0,0,0,0,0,1,0,1,638
37,"PRY. PATH. KHERA CHAUGANPUR R.NO. 1",637,429,0,1066,520,306,0,826,824,0,418,222,2,168,0,9,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,1,1,0,0,826
38,"PRY. PATH.TUSYANA R NO-1",623,526,0,1149,518,385,0,903,24,0,458,250,4,162,3,5,0,2,0,1,0,6,1,0,1,6,2,0,1,0,0,0,1,0,0,903
39,"PRY. PATH. KHODNA KALAN R.NO. 1",519,405,0,924,470,230,0,700,679,0,447,77,3,150,1,2,0,1,1,0,0,3,0,1,1,4,4,2,0,0,1,0,1,0,1,700
40,"PRY. PATH. SHYORAJPUR R.NO. 1",716,543,0,1259,645,260,0,905,905,0,518,130,13,210,0,6,1,2,1,1,0,2,2,0,2,7,2,3,0,0,0,0,0,0,5,905
41,"PRY. PATH. KHODNA KHURD R.NO. 1",700,499,0,1199,449,278,0,727,93,0,370,224,5,95,1,6,0,5,2,3,0,4,3,1,2,1,0,3,0,0,1,0,0,0,1,727
42,"प्रा0पा0 खोदनाखुर्द क0नं0 2",976,590,0,1566,414,209,0,623,614,0,227,222,11,142,1,7,0,1,0,0,0,7,0,0,0,3,0,0,0,0,0,1,1,0,0,623
43,"PRY. PATH. KHODNA KHURD R.NO. 3",557,384,0,941,256,148,0,404,393,0,214,116,4,49,0,6,0,2,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,3,5,404
