"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MAHENDRA KUMAR","2 - VINOD KUMAR SONKAR","3 - SHAILENDRA KUMAR","4 - SURESH PASI","5 - MALTI DEVI","6 - RAJENDRA SONKAR","7 - SHRIPAL","8 - SWARNALATA SUMAN","9 - CHHEDDOO","10 - BEENA RANI","11 - MOHAN LAL","12 - None of the Above","Total Votes Secured"
1,"P.V. LAVANA ROOM N, 1",752,679,0,1431,369,328,0,697,351,0,18,341,146,117,5,8,4,8,3,9,11,27,697
2,"P.V. LAVANA ROOM N, 2",419,383,0,802,231,188,0,419,419,0,9,191,153,34,5,3,2,4,2,2,5,9,419
3,"P.V. LAVANA ROOM N, 3",458,381,1,840,232,189,0,421,421,0,12,190,121,78,0,5,0,0,0,3,5,7,421
4,"P.B. DAYALPUR",696,581,0,1277,380,314,0,694,694,0,60,275,254,68,9,2,3,3,6,4,3,7,694
5,"P.V. SARAY MO. SAID",281,242,0,523,159,166,0,325,325,0,5,104,177,15,4,1,1,2,1,5,2,8,325
6,"P.V. KHURUHAJI",503,469,0,972,349,278,0,627,349,0,10,143,328,112,3,4,0,2,5,4,4,12,627
7,"P.V. CHANDAPUR ROOM N. 2",512,481,0,993,315,312,0,627,627,0,14,267,245,56,5,5,5,2,1,4,11,12,627
8,"P.V. PITHANPUR ROOM N. 1",677,625,0,1302,303,308,0,611,611,0,28,217,221,93,7,7,0,3,8,2,11,14,611
9,"P.V. ROKAIYAPUR",559,552,0,1111,240,283,0,523,523,0,23,135,321,23,3,2,2,2,1,2,4,5,523
10,"BA.U.M.V. SAGRAMGADH ROOM N. 1",706,621,0,1327,317,306,0,623,623,0,387,100,22,36,4,7,3,8,6,10,6,34,623
11,"BA.U.M.V. SAGRAMGADH ROOM N.2",488,416,0,904,268,216,0,484,484,0,316,120,9,5,1,3,0,6,3,5,1,15,484
