"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANSHUL VERMA","2 - USHA VERMA","3 - SHIVE PRASAD VERMA","4 - SARVESH KUMAR","5 - CHANDRAPAL","6 - RAMDAYAL","7 - RAMLAKHAN GAUTAM","8 - SANJAY KUMAR","9 - SANTRAM","10 - HIRA LAL VERMA","11 - RAMPAL","12 - SHIVEKUMAR","13 - SAROJ KUMAR","14 - SARVESH","15 - SUNIL BHARTI","16 - None of the Above","Total Votes Secured"
1,"P.P.LONAR ROOM NO 01",631,478,0,1109,357,289,0,646,646,0,142,318,172,6,2,0,0,0,1,1,1,0,1,1,0,1,646
2,"P.P.LONAR ROOM NO 02",440,359,0,799,284,209,0,493,493,0,249,223,10,1,1,0,1,0,1,0,1,1,0,1,1,3,493
3,"P.P.LONAR ROOM NO 03",381,315,0,696,237,182,0,419,390,0,98,284,12,7,1,0,1,0,0,0,0,1,2,7,2,4,419
4,"P P SHUDEI",643,509,0,1152,401,270,0,671,659,0,215,336,72,4,0,0,2,0,0,1,1,9,5,8,11,7,671
5,"P P AUHADPUR SAKRA ROOM NO 01",651,507,0,1158,440,290,0,730,730,0,387,218,101,4,0,0,0,1,1,0,0,3,3,1,7,4,730
6,"P P AUHADPUR SAKRA ROOM NO 02",371,229,0,600,192,144,0,336,336,0,127,163,29,2,2,1,0,0,0,0,1,2,0,1,5,3,336
7,"P P BAIJANA",245,159,0,404,212,112,0,324,324,0,8,300,1,1,0,0,0,0,0,0,0,6,1,1,4,2,324
8,"P P LAGWAHI",264,213,0,477,195,160,0,355,355,0,172,155,16,1,0,0,0,0,0,0,1,0,1,2,2,5,355
9,"P P PURAURI",647,606,0,1253,437,357,0,794,791,0,316,359,83,3,1,0,0,1,2,2,1,5,2,1,7,11,794
10,"P P NEWADA",408,298,0,706,282,189,0,471,471,0,92,317,41,8,1,1,0,0,0,0,0,1,0,1,6,3,471
11,"P P RAMPUR JATAULI",186,171,0,357,145,127,0,272,260,0,63,135,69,2,0,0,0,0,0,0,0,2,0,0,1,0,272
12,"P P BAGURAMAL",537,477,0,1014,370,297,0,667,666,0,212,395,16,5,2,0,0,0,2,0,3,2,5,1,16,8,667
13,"P P DAULI",670,550,0,1220,436,318,0,754,754,0,225,456,56,6,1,0,0,0,0,1,1,0,2,0,1,5,754
14,"P P BAGURI",617,570,0,1187,374,237,0,611,325,0,158,340,63,6,2,4,0,0,0,3,3,5,4,3,8,12,611
15,"P.P. MAJHIGAWAN",160,132,0,292,99,84,0,183,183,0,27,87,59,1,1,1,0,0,1,0,2,0,0,3,1,0,183
16,"P.P. GANGOLI",667,573,0,1240,531,366,0,897,896,0,159,387,300,12,2,0,1,0,1,2,1,5,6,8,8,5,897
17,"P.P. DUDHIYA",282,246,0,528,226,205,0,431,431,0,19,162,222,1,3,0,0,0,0,1,0,1,2,9,10,1,431
18,"P P SABIRPUR",286,259,0,545,200,203,0,403,402,0,34,291,64,2,0,0,0,2,0,0,0,3,2,1,4,0,403
19,"P P JAGDISHPUR",618,582,0,1200,471,399,0,870,870,0,295,387,146,8,2,0,1,0,0,0,0,4,2,6,11,8,870
