"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMAR SINGH","2 - BABULAL","3 - RANI PAKSHALIKA SINGH","4 - SEEMA UPADHYAY","5 - ASHOK KUMAR","6 - PEETAM SINGH","7 - PITAM SINGH","8 - PANKAJ KUMAR SHARMA","9 - MANIK","10 - MUNNA LAL","11 - MEGH SINGH","12 - ROHAN SINGH","13 - LAXMI","14 - VIJAY SINGH KUSHWAHA","15 - ANIL KUMAR","16 - AMBEDKARI HASNURAM AMBEDKARI","17 - KHEMRAJ SINGH","18 - DIWAN SINGH","19 - NATHOLI","20 - BRAJENDR SINGH","21 - MAHAVIR SINGH SOLANKI","22 - RAKESH SINGH DHANKAR","23 - RAM KUMAR DIXIT","24 - RAM BRAJ YADAV","25 - SHOBHNA BAUDDHA","26 - SATISH KUMAR","27 - SANTOSH KUMAR","28 - SEEMA DEVI","29 - None of the Above","Total Votes Secured"
1,"PRA.VID. TASOD ROOM NO.1",326,256,0,582,168,140,0,308,203,0,8,69,41,170,2,1,0,0,0,1,0,1,0,3,3,1,0,1,1,0,0,0,2,0,0,1,2,0,1,308
2,"PRA.VID. PURA ANIRDDHROOMNO.1",225,166,0,391,177,138,0,315,2,0,0,10,191,108,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,315
3,"POO.MAD.VID. MAN SUKH ROOM NO.1",474,366,0,840,310,222,0,532,530,0,0,87,406,21,2,1,0,0,0,1,0,0,0,4,0,2,0,0,1,0,0,1,0,2,0,1,2,1,0,532
4,"PRA.VID.REHA ROOM NO.1",282,181,0,463,111,49,0,160,160,0,1,42,49,61,0,0,0,0,0,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,160
5,PRA.VID.JAGTUPURAROOMNO.1,754,533,0,1287,315,214,0,529,529,0,2,105,339,67,1,0,0,0,2,0,1,0,0,3,1,0,0,0,0,0,0,0,2,2,1,2,0,1,0,529
6,PRA.VID.JAGTUPURAROOMNO.2,518,403,0,921,221,153,0,374,274,0,0,85,223,19,0,1,0,1,0,0,2,0,1,9,4,5,0,3,2,2,1,0,3,0,1,2,5,1,4,374
7,"PRA.VID.KAYEDHI EXTRA  ROOM  NO.1",421,342,1,764,182,158,0,340,340,0,1,78,159,90,2,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,1,1,0,0,2,1,0,0,340
8,"PRA.VID.SUKHABHANKAPURA ROOMNO.1",353,259,0,612,213,177,0,390,100,0,2,68,196,103,0,0,0,0,1,0,0,0,1,4,1,0,1,3,1,1,0,0,1,0,1,1,1,1,3,390
9,"POO.MAD.VID.VARENDA (I) ROOM NO.1 (SEVARIYA)",582,494,1,1077,296,269,0,565,339,0,1,56,477,16,1,0,0,0,0,0,0,0,0,10,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,565
10,"POO.MAD.VID.VARENDA (I)ROOM NO.2 (SEVARIYA)",529,410,0,939,254,183,0,437,437,0,2,42,255,120,0,1,0,1,0,1,0,1,0,2,1,1,0,0,2,3,1,0,2,1,0,1,0,0,0,437
11,"POO.MAD.VID.VARENDA (II)ROOM NO.1",259,209,0,468,184,138,0,322,322,0,0,32,270,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,322
12,"PRA.VID.TEEKETPURA ROOM  NO.1",367,263,0,630,202,156,0,358,358,0,1,33,172,126,1,0,0,0,0,0,0,1,2,6,1,3,1,0,2,1,0,2,1,0,0,0,1,2,2,358
13,"PRA.VID.PAPRINAGAR ROOM  NO.1",792,642,0,1434,473,373,0,846,12,0,3,210,377,227,4,0,1,0,2,1,0,0,1,3,0,0,1,1,5,1,0,0,1,1,2,1,3,1,0,846
14,"PRA.VID.PALOKHARA ROOM  NO.1",648,487,0,1135,289,181,0,470,405,0,1,106,288,58,0,0,0,2,0,0,0,0,3,4,2,0,1,1,0,0,0,1,0,0,0,1,0,1,1,470
15,"PRA.VID.PALOKHARA ROOM  NO.2",401,283,0,684,163,105,0,268,238,0,1,80,97,69,1,0,0,1,0,0,1,1,3,0,1,3,0,1,0,1,1,0,0,1,2,0,2,0,2,268
