"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR.BHOLA PANDEY","2 - RAVINDRA KUSHAWAHA","3 - RAVI SHANKER SINGH","4 - HARIBANSH SAHAI KUSHWAHA","5 - ONKAR SINGH","6 - OM PRAKASH RAJBHAR","7 - CHANDRA PRATAP SINGH","8 - FIROZ AKHTAR","9 - SHRIRAM CHAUDHARY","10 - DR SANJAY KR. SINGH","11 - RAM KRIPAL","12 - SIYARAM DAS","13 - SUSHANT RAJ PATHAK","14 - None of the Above","Total Votes Secured"
1,"AMBIKA INTER COLLEGE BALUWA AFGAN ROOM NO.1",841,685,0,1526,417,383,0,800,800,0,60,387,20,179,12,87,6,1,5,2,7,7,3,24,800
2,"AMBIKA INTER COLLEGE BALUWA AFGAN ROOM NO. 2",742,626,0,1368,366,354,0,720,712,0,30,377,140,117,1,9,6,2,3,3,6,7,6,13,720
3,"AMBIKA INTER COLLEGE BALUWA AFGAN ROOM NO.3",652,541,0,1193,272,240,0,512,512,0,31,318,15,77,4,12,3,0,2,2,12,5,4,27,512
4,"P.V. BALUWA AFGAN",859,741,0,1600,418,432,0,850,200,0,52,313,15,72,3,305,5,1,7,5,22,23,8,19,850
5,"P.V. DEMUSA R.N.1",843,672,0,1515,384,365,0,749,746,0,72,331,187,106,4,2,3,0,2,3,12,4,7,16,749
6,"P.V. DEMUSA R.N.2",701,579,0,1280,282,319,0,601,575,0,46,173,84,251,10,15,6,2,1,0,2,3,1,7,601
7,"P.V. ALAWALPUR",543,458,0,1001,270,230,0,500,495,0,18,361,66,26,2,10,3,1,1,1,1,2,5,3,500
8,"P.V. SINGHPUR",542,457,0,999,307,272,0,579,195,0,48,259,121,107,6,4,1,0,1,3,8,3,7,11,579
9,"P.V. RAIBARI R.N.1",591,478,0,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"P.V. RAIBARI R.N.2",608,504,0,1112,261,268,0,529,529,0,7,353,34,67,5,29,4,0,1,0,2,7,7,13,529
11,"P.V. CHHITARAULI",383,287,0,670,211,145,0,356,356,0,18,209,19,94,2,4,0,2,1,0,1,1,2,3,356
12,"P.V. PADAULI",738,606,1,1345,294,439,0,733,733,0,34,230,171,236,4,5,2,2,3,2,9,4,15,16,733
13,"P.V. MAYAPUR",401,323,0,724,214,167,0,381,381,0,38,290,19,6,0,3,1,1,1,1,2,5,6,8,381
14,"P.V. CHAKAUR FAKIR",484,400,0,884,239,197,0,436,35,0,16,304,25,62,2,4,3,4,1,1,0,2,4,8,436
15,"BANDHUNATH  I. C.  MAYAPUR IMILIYA",231,182,0,413,103,86,0,189,189,0,12,136,18,19,0,1,0,0,0,0,0,1,1,1,189
16,"P.V. KURMAUTA DHURI",255,243,0,498,165,117,0,282,282,0,33,122,93,26,1,0,0,1,0,0,0,2,1,3,282
17,"P.V. KHIRIYA",310,255,0,565,189,136,0,325,29,0,8,84,63,158,2,0,3,0,0,0,3,0,1,3,325
18,"P.V. ALGATPUR (SITUATED JIGANI)",495,426,0,921,288,267,0,555,555,0,16,291,120,102,2,0,3,1,0,2,4,3,5,6,555
19,"P.V. PIPARA BITTHAL R.N. 1",471,370,0,841,240,188,0,428,428,0,29,248,55,48,3,27,0,1,2,1,2,2,2,8,428
20,"P.V. PIPARA BITTHAL R.N.2",356,294,0,650,185,123,0,308,308,0,11,133,15,133,1,1,2,1,0,0,2,2,2,5,308
21,"P.V. LALCHAK",504,402,0,906,257,208,0,465,42,0,7,198,28,113,7,84,5,1,0,4,10,1,3,4,465
22,"P.V. BANKATA TIWARI",847,640,0,1487,391,353,0,744,744,0,48,472,119,57,3,7,1,0,2,3,4,4,7,17,744
