"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKHILESH","2 - KASHI NATH SHUKLA","3 - PANKAJ","4 - HARSH VARDHAN","5 - ARAT KHARVAR","6 - KAVILAS","7 - MUMMATAJ","8 - MANGAL LAL","9 - PASHUPATI NATH GUPTA","10 - RADHEYSHYAM","11 - RAMSAMUJH","12 - VIMLESH TRIPATHI","13 - SHIVCHARAN","14 - SHREE AKHILESH KUMAR","15 - AJAYDHAR","16 - ANIL KUMAR SHAHANI","17 - GOVIND DAS","18 - TEJ PRATAP","19 - DAYARAM NISHAD","20 - DINESH KUMAR","21 - DINANATH","22 - RAKESH KUMAR GIRI","23 - RAKESH KUMAR GUPTA","24 - None of the Above","Total Votes Secured"
1,"P.BH.J.J. URF SUCHITPUR ROOM NO. 1",694,585,0,1279,426,392,0,818,791,0,123,266,332,22,1,5,0,2,2,1,7,3,2,3,2,12,1,11,4,2,1,3,3,10,818
2,"P.V. J.J. URF SUCHITPUR ROOM NO. 2",514,388,0,902,301,263,0,564,388,0,63,82,357,17,1,0,0,0,1,0,2,0,1,1,1,4,7,11,4,2,2,3,2,3,564
3,"J.J. URF BADAHARA",645,542,0,1187,382,385,0,767,767,0,58,237,407,7,2,0,0,0,4,2,4,0,1,8,3,13,7,3,2,0,1,3,1,4,767
4,"P.V. TENDUAHIYA ROOM NO. 1",874,739,0,1613,466,455,0,921,919,0,97,311,444,22,5,3,2,1,4,0,4,2,6,1,2,2,2,4,3,1,1,0,2,2,921
5,"P.V. TENDUAHIYA ROOM NO. 2",456,391,0,847,270,255,0,525,520,0,115,200,191,11,0,1,0,0,0,1,1,0,0,1,2,0,0,0,1,0,0,0,1,0,525
6,"P.V. J.J. URF JARDI",681,583,0,1264,422,369,0,791,791,0,66,318,299,30,0,0,1,1,1,3,4,1,3,1,2,9,10,15,10,1,3,5,3,5,791
7,"P.V. BAINDA",817,688,0,1505,477,446,0,923,923,0,139,190,460,58,3,3,2,1,1,4,5,1,4,3,2,11,2,10,7,3,3,1,10,0,923
8,"P.V. MOHIUDDINPUR",828,634,0,1462,413,358,0,771,771,0,135,246,287,29,6,3,1,0,4,3,7,6,2,7,6,12,2,2,3,3,1,0,2,4,771
9,"P.V. J.J. URF ANANTPUR",612,442,0,1054,379,247,0,626,626,0,135,152,280,37,1,1,2,1,1,0,1,0,4,1,1,2,1,1,1,1,0,0,1,2,626
10,"P.V J.J. URF ANANTPUR",648,531,0,1179,369,309,0,678,641,0,194,81,340,20,5,2,1,2,3,2,2,1,2,2,2,5,4,0,5,0,3,1,0,1,678
11,"P.V. KANAILA",422,356,0,778,212,220,0,432,432,0,46,20,320,15,0,1,0,1,0,0,3,3,2,2,2,7,0,1,1,5,1,1,0,1,432
12,"P.V. MUDILA ROOM NO. 1",824,662,0,1486,493,447,0,940,940,0,220,180,479,13,1,1,3,2,4,4,4,1,1,4,4,7,1,3,4,0,0,0,0,4,940
13,"P.V. MUDILA ROOM NO. 2",600,517,0,1117,343,376,0,719,716,0,259,209,183,25,0,2,2,1,1,0,3,3,3,3,2,14,2,2,1,0,1,0,1,2,719
14,"P.V. KHAJURIYA ROOM NO. 1",471,388,0,859,278,267,0,545,532,0,125,93,272,14,4,3,1,1,0,1,5,2,2,2,1,3,3,2,2,2,1,3,1,2,545
15,"P.V. KHAJURIYA ROOM NO. 2",424,384,0,808,237,248,0,485,482,0,53,164,211,21,1,0,1,1,0,0,4,1,2,0,3,3,1,7,6,1,2,2,1,0,485
16,"P.V. RUDRAPUR",732,585,0,1317,435,407,0,842,778,0,273,121,357,25,4,6,1,0,2,2,2,3,6,7,5,10,4,4,3,1,1,0,1,4,842
17,"N.S.C.I.C. MAULAGANJ",577,473,0,1050,336,321,0,657,5,0,169,243,152,58,2,0,1,0,0,0,1,1,1,3,3,7,2,4,0,2,1,1,2,4,657
18,"P.V. DHANKHARI",469,404,0,873,307,279,0,586,586,0,64,57,452,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,586
19,"P.V. BHADARA",257,206,0,463,147,144,0,291,290,0,62,45,161,6,0,2,0,0,1,0,3,0,0,2,0,2,2,1,0,2,1,0,0,1,291
20,"P.V. NAVIGANJ",296,252,0,548,194,172,0,366,353,0,147,33,163,5,0,0,1,0,1,0,2,1,0,2,1,5,0,0,1,0,0,1,0,3,366
21,"P.V. PIPARA KHURD",493,429,0,922,337,286,0,623,620,0,164,163,257,6,0,1,0,0,0,0,1,1,0,3,3,17,0,1,2,1,1,1,0,1,623
22,"P.V. SONBARASA",568,503,0,1071,368,334,0,702,10,0,68,234,340,27,1,1,0,0,1,0,1,3,1,5,2,4,3,3,2,0,2,0,2,2,702
23,"P.V. GIRGITIYA ROOM NO. 1",785,670,0,1455,466,429,0,895,892,0,112,361,341,38,3,5,1,1,0,1,2,3,2,7,4,6,1,1,1,1,1,0,0,3,895
24,"P.V. GIRGITIYA ROOM NO. 2",424,348,2,774,274,233,0,507,507,0,25,27,434,8,1,0,1,0,0,0,1,1,0,2,0,1,1,4,1,0,0,0,0,0,507
25,"P.V. MADHONAGAR ROOM NO. 1",707,628,0,1335,411,400,0,811,425,0,53,205,418,63,1,3,0,5,0,1,10,5,3,3,4,22,3,1,2,0,1,0,2,6,811
26,"P.V. MADHONAGAR ROOM NO. 2",419,351,0,770,271,240,0,511,511,0,22,144,287,26,0,2,0,0,1,0,1,0,0,0,0,6,1,6,2,0,2,1,3,7,511
27,"P.V. MUJURI ROOM NO. 1",641,485,0,1126,270,329,0,599,522,0,41,150,321,30,3,0,1,1,1,1,4,3,3,6,2,10,2,2,3,1,3,2,3,6,599
28,"P.V. MUJURI ROOM NO. 2",474,393,0,867,251,231,0,482,1,0,66,144,216,28,3,0,1,0,0,0,1,2,1,0,0,4,1,1,6,4,1,0,0,3,482
29,"P.V. RAMNAGAR ROOM NO. 1",603,489,0,1092,303,281,0,584,98,0,101,150,207,90,2,0,0,0,1,3,2,1,1,1,4,12,1,2,1,0,1,1,0,3,584
30,"P.V. RAMNAGAR ROOM NO. 2",880,711,0,1591,487,416,0,903,741,0,40,442,320,29,4,2,1,3,2,0,8,4,3,2,4,11,5,8,4,1,1,0,2,7,903
31,"P.V. LAXMIPUR ROOM NO. 1",523,453,0,976,300,287,0,587,1,0,209,50,290,6,4,4,1,2,0,1,2,0,3,2,2,3,1,1,1,0,1,3,1,0,587
32,"P.V. LAXMIPUR ROOM NO. 2",437,358,0,795,239,217,0,456,455,0,244,25,144,10,0,1,0,0,0,1,3,1,1,0,2,12,4,1,2,1,1,1,0,2,456
33,"P.V. SATAGUR",808,666,0,1474,420,391,0,811,811,0,128,103,496,25,1,1,2,1,2,1,0,1,4,4,3,7,1,5,8,2,2,5,1,8,811
34,"P.M.V. SATAGUR ROOM NO. 1",500,416,0,916,290,266,0,556,328,0,21,62,63,9,0,1,3,0,0,0,2,1,14,117,218,33,3,1,3,0,1,3,0,1,556
35,"P.M.V. SATAGUR ROOM NO. 2",323,256,0,579,159,193,0,352,331,0,34,138,151,7,0,2,0,0,0,0,0,0,0,0,1,4,6,2,0,1,0,1,1,4,352
36,"ANGANWADI BHAWAN U.M.V. SATAGUR",682,550,0,1232,334,294,0,628,606,0,192,133,279,8,2,0,0,0,3,2,0,0,0,1,0,2,1,2,0,1,0,0,1,1,628
