"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL SHUKLA WARSI","2 - DEVENDRA SINGH BHOLE SINGH","3 - RAJARAM PAL","4 - LAL SINGH TOMAR","5 - AMAR SINGH","6 - ARVIND KUMAR","7 - DR. OMKAR NATH KATIYAR","8 - GOPI RAMAN","9 - JASWANT SINGH","10 - DR. BAJARANG PRATAP SONKAR","11 - RAMA KANT VERMA","12 - RAMENDRA SINGH TOMAR","13 - ASHOK YADAV","14 - NEERAJ KUMAR ADVOCATE","15 - BHARTI DEVI PASI ADVOCATE","16 - MUNNI DEVI","17 - RAM SEVAK","18 - VIJAY KUMAR SHARMA","19 - None of the Above","Total Votes Secured"
1,"SARVODAY INTER COLLEGE GIRSI ROOM NO. 1",891,655,1,1547,489,361,0,850,650,0,293,425,14,73,1,1,0,1,13,1,2,0,2,2,3,6,3,7,3,850
2,"SARVODYA INTER COLLEGE GIRSI ROOM NO. 2",786,611,0,1397,423,280,0,703,488,0,268,249,35,93,3,7,0,0,24,1,0,0,1,0,8,2,6,4,2,703
3,"SARVODYA INTER COLLEGE GIRSI ROOM NO. 3",404,329,0,733,204,163,0,367,360,0,150,94,14,72,1,2,1,0,23,0,0,1,0,1,1,5,1,0,1,367
4,"PR. PATHSHALA SURJAN SINGH KA PURWA M. GIRSI",406,314,0,720,227,162,0,389,389,0,12,305,17,17,0,6,2,1,1,0,2,1,0,6,8,3,0,6,2,389
5,"PR. PATHSHALA DAHELI ROOM NO. 1",466,405,0,871,267,182,0,449,434,0,160,230,16,25,0,4,2,0,1,0,0,0,1,1,5,2,1,0,1,449
6,"PR. PATHSHALA DAHELI ROOM NO. 2",298,227,0,525,157,113,0,270,128,0,117,113,32,4,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,270
7,"PR. PATHSHALA SAMAJNAGAR M. DAHELI",339,282,0,621,190,170,0,360,310,0,129,195,16,13,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,360
8,"PR. PATHSHALA BASAURA",566,450,1,1017,375,277,0,652,649,0,165,389,41,26,0,1,1,0,0,1,1,1,3,3,11,5,3,1,0,652
9,"PR. PATHSHALA ICHHAULI",398,293,0,691,268,214,0,482,482,0,328,127,2,8,2,1,0,0,0,0,0,1,0,0,3,3,4,3,0,482
10,"PR. PATHSHALA DOBHA",358,285,0,643,207,181,0,388,380,0,177,115,5,73,2,0,0,0,0,0,1,1,2,2,3,1,2,1,3,388
11,"PR. PATHSHALA MACHHAILA",555,468,0,1023,328,279,0,607,607,0,325,154,42,47,1,2,0,0,2,0,1,1,1,1,3,4,12,4,7,607
12,"PR. PATHSHALA MAKHAULI ROOM NO. 1",495,424,0,919,301,247,0,548,548,0,301,193,10,9,0,3,0,0,1,1,2,0,0,2,4,7,10,1,4,548
13,"PR. PATHSHALA MAKHAULI ROOM NO. 2",511,420,0,931,261,232,0,493,490,0,127,266,25,50,2,3,0,0,0,0,3,1,1,0,2,1,6,3,3,493
14,"PR. PATHSHALA RAHTI AIMA",286,255,0,541,204,164,0,368,366,0,193,70,3,86,0,0,1,1,1,0,0,1,1,1,2,3,5,0,0,368
15,"PR. PATHSHALA RAHTI KHALSA",332,264,0,596,161,145,0,306,281,0,57,125,6,107,2,1,0,0,0,0,0,0,0,1,2,4,0,1,0,306
16,"PR. PATHSHALA SAKHAJANWARA",754,589,0,1343,392,325,0,717,715,0,145,267,242,39,0,0,0,0,1,1,0,0,0,5,5,3,1,4,4,717
17,"PR. PATHSHALA TAHRAPUR",203,153,0,356,143,108,0,251,251,0,22,17,4,203,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,251
18,"PR. PATHSHALA GADHOLAMAU ROOM NO.1",552,406,0,958,334,258,0,592,585,0,68,43,9,456,5,0,0,0,0,0,1,1,0,0,2,4,0,0,3,592
19,"PR. PATHSHALA GADHOLAMAU ROOM NO.2",424,321,0,745,248,151,0,399,336,0,89,113,13,171,0,0,0,0,0,0,0,0,0,1,3,5,0,1,3,399
20,"PR. PATHSHALA KATAR ROOM NO.1",574,432,0,1006,290,178,0,468,466,0,98,204,30,119,1,1,1,0,0,0,0,2,0,1,3,7,1,0,0,468
21,"PR. PATHSHALA KATAR ROOM NO.2",653,456,0,1109,330,193,0,523,518,0,83,264,41,106,1,0,0,0,0,0,0,0,1,1,3,5,6,7,5,523
22,"PR. PATHSHALA KATRI ROOM NO.1",522,339,0,861,327,158,0,485,477,0,236,174,2,61,3,0,0,0,1,1,1,0,0,0,3,1,2,0,0,485
23,"PR. PATHSHALA KATRI ROOM NO.2",595,430,0,1025,337,171,0,508,508,0,18,342,14,90,1,0,0,0,1,3,1,1,2,1,12,8,7,5,2,508
24,"PR. PATHSHALA KORON ROOM NO. 1",533,366,0,899,291,182,0,473,471,0,161,225,3,46,1,0,1,1,1,0,0,1,0,1,3,3,8,14,4,473
25,"PR. PATHSHALA KORON ROOM NO. 2",674,491,0,1165,373,235,0,608,608,0,359,157,5,14,0,0,1,0,1,1,0,0,0,3,6,9,32,15,5,608
26,"PR. PATHSHALA GADATHA ROOM NO. 1",828,656,0,1484,400,309,0,709,707,0,147,405,21,63,2,0,1,0,0,0,0,5,4,2,8,12,13,19,7,709
27,"PR. PATHSHALA GADATHA ROOM NO. 2",698,583,0,1281,260,140,0,400,400,0,26,218,21,59,1,1,0,0,6,1,0,0,4,2,10,10,2,27,12,400
28,"PR. PATHSHALA KOTRA ROOM NO. 1",725,594,0,1319,419,324,0,743,708,0,159,423,21,104,1,0,0,1,4,0,1,10,0,0,1,1,5,9,3,743
29,"PR. PATHSHALA KOTRA ROOM NO. 2",692,533,0,1225,338,221,0,559,503,0,64,330,11,122,1,2,1,0,1,0,1,9,2,1,2,2,2,7,1,559
30,"NAYA PR. PATHSHALA KIRANV ROOM NO.1",433,368,0,801,279,233,0,512,512,0,126,239,9,119,0,0,0,0,2,2,0,0,1,1,5,5,0,0,3,512
31,"PR. PATHSHALA KAMANDALPUR M. KIRANV",390,338,0,728,275,238,0,513,513,0,220,229,8,32,0,0,0,0,0,0,0,7,1,0,7,5,2,2,0,513
32,"PR. PATHSHALA PALPUR M. KIRANV",369,331,0,700,274,234,0,508,428,0,24,45,210,183,3,0,2,0,0,1,0,0,21,0,7,0,0,2,10,508
33,"PR. PATHSHALA BADLESIMNAPUR",658,568,0,1226,410,387,0,797,700,0,38,473,19,211,3,2,2,1,5,2,0,10,2,2,10,5,7,2,3,797
34,"PR. PATHSHALA BAKSARA",250,200,0,450,174,119,0,293,291,0,79,167,20,14,0,0,0,0,0,1,0,0,1,2,2,1,4,2,0,293
35,"NAYA PR. PATHSHALA GHUGHUWA ROOM NO.1",392,296,0,688,226,160,0,386,386,0,101,186,46,43,1,0,0,0,0,0,1,0,0,2,1,1,2,0,2,386
36,"NAYA PR. PATHSHALA GHUGHUWA ROOM NO.2",631,463,0,1094,255,153,0,408,408,0,83,204,25,46,23,1,1,2,0,1,1,0,0,2,5,8,2,0,4,408
37,"PR. PATHSHALA SHRINAGAR",486,408,0,894,287,250,0,537,436,0,156,280,64,16,0,1,0,0,0,0,0,3,0,0,4,1,1,8,3,537
38,"PR. PATHSHALA MUIYA",346,295,0,641,196,176,0,372,372,0,25,279,16,37,0,0,0,1,1,1,1,1,1,2,2,4,0,1,0,372
39,"PR. PATHSHALA SARAIYAN ROOM NO. 1",446,391,0,837,288,245,0,533,533,0,306,105,3,104,0,0,0,0,0,2,0,0,1,1,4,3,2,1,1,533
40,"PR. PATHSHALA SARAIYAN ROOM NO. 2",451,382,0,833,237,187,0,424,294,0,78,92,19,218,3,0,1,1,0,0,3,0,0,1,2,5,0,0,1,424
41,"SHRI LALMADI INTER COLLEGE REVNA ROOM NO.1",572,467,0,1039,363,266,0,629,627,0,112,289,65,149,0,3,0,0,1,1,1,0,1,0,3,3,1,0,0,629
42,"SHRI LALMADI INTER COLLEGE REVNA ROOM NO.2",475,407,0,882,288,228,0,516,516,0,211,210,24,52,2,0,0,0,0,0,0,0,0,0,4,2,6,3,2,516
