"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NARENDRA BHATI","2 - DR.MAHESH  SHARMA","3 - RAMESH CHAND TOMAR","4 - SATISH KUMAR","5 - UDAYVEER","6 - KISHAN PAL SINGH","7 - GAJENDRA","8 - DHARMENDER","9 - RAVINDER SHARMA","10 - RAM VILAS","11 - RUVEZ ALAM RAHI","12 - MOHD. SABIR ANSARI","13 - LT COL SP SINGH","14 - SEEMA","15 - SONIA SHARMA","16 - KADEEM","17 - KADIR KHAN JAISWAL","18 - GRISA KUMAR","19 - MAHESH","20 - RAKESH","21 - SAFRUDDIN","22 - SAVITRI","23 - SUNIL GAUTAM","24 - SUMITI","25 - None of the Above","Total Votes Secured"
1,"PURWA MADHYAMIK VIDYALAYA HARAULA MAKANPUR R.NO. 1",676,431,0,1107,309,177,0,486,478,0,28,260,22,123,1,34,1,6,0,0,0,2,1,0,0,3,1,1,1,1,1,0,0,0,0,486
2,"PURWA MADHYAMIK VIDYALAYA HARAULA MAKANPUR R.NO. 2",618,330,0,948,400,233,0,633,630,0,44,275,9,257,0,34,1,5,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,633
3,"PURWA MADHYAMIK VIDHYALAYA HARAULA MAKANPUR ROOM NO.3",548,352,0,900,309,174,0,483,481,0,38,225,11,166,2,24,0,6,0,0,1,5,0,2,1,1,0,0,0,0,0,0,0,0,1,483
4,"PURWA MADHYAMIK VIDHYALAYA HARAULA MAKANPUR ROOM NO.4",563,440,0,1003,381,258,0,639,632,0,64,255,14,219,5,56,2,11,0,1,0,2,2,0,1,0,2,1,0,0,0,0,0,2,2,639
5,"PRY. PATH. HARAULA MAKANPUR R. NO. 1",616,453,1,1070,255,174,0,429,400,0,32,195,15,132,2,40,0,3,0,2,0,3,1,0,1,1,1,0,1,0,0,0,0,0,0,429
6,"PRY. PATH. HARAULA MAKANPUR R. NO. 2",733,500,0,1233,576,355,0,931,930,0,146,185,14,552,0,20,0,3,1,0,0,2,0,2,0,2,0,0,0,2,0,0,0,1,1,931
7,"PRY. PATH. HARAULA MAKANPUR R. NO. 3",819,474,0,1293,398,182,0,580,573,0,25,336,23,120,2,56,0,7,0,0,0,1,0,0,0,1,0,5,0,1,1,0,1,0,1,580
8,"PRY. PATH. HARAULA MAKANPUR R. NO. 4",792,568,0,1360,574,348,0,922,891,0,88,426,25,328,3,28,1,4,0,2,0,2,1,3,0,5,0,2,0,1,0,1,0,2,0,922
9,"PRY. PATH. HARAULA MAKANPUR R. NO. 5",798,409,0,1207,413,214,0,627,625,0,33,336,21,145,4,61,0,9,1,1,0,1,2,1,0,2,0,2,1,0,1,2,0,1,3,627
10,"PRIMARY SCHOOL HARAULA MAKANPUR R.NO. 6",595,490,0,1085,236,153,0,389,387,0,25,238,10,63,1,39,1,2,1,1,1,1,0,1,0,4,0,0,0,0,0,0,0,0,1,389
