"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARVIND KUMAR JAISWAL","2 - MULAYAM SINGH YADAV","3 - RAMAKANT YADAV","4 - SHAH ALAM ALIAS GUDDU JAMALI","5 - M. AMIR RASHADI","6 - KIRAN SHARAMA","7 - DURG VIJAY YADAV","8 - PRAKASH CHANDRA","9 - MADAN","10 - RAJDHARI RAJBHAR","11 - RAJESH YADAV","12 - SANJAY KUMAR CHATURVEDI","13 - SANTOSH KUMAR GAUTAM","14 - PRAMOD SINGH","15 - RAM SINGH CHAUHAN","16 - SHAMSHAD AHMAD","17 - SUGRIV CHAUHAN","18 - SANJAY CHAUHAN","19 - None of the Above","Total Votes Secured"
1,P.B.LADPUR,211,154,1,366,166,100,0,266,233,33,2,210,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,266
2,"P.P.NAITHI R.N.-1",605,417,0,1022,335,289,0,624,611,13,6,152,131,298,3,1,7,0,4,1,2,2,1,2,0,2,0,5,7,624
3,"P.P.NAITHI R.N.-2",484,352,0,836,237,183,0,420,408,12,8,95,234,65,1,1,0,1,2,0,0,1,0,2,0,1,2,1,6,420
4,"J.H.S.BINDMATHIYA BYASGIRI",675,502,0,1177,354,239,0,593,558,35,5,49,375,128,2,1,1,3,7,1,0,2,2,3,1,3,1,3,6,593
5,P.P.SONPAR,761,586,0,1347,430,384,0,814,800,14,28,226,418,111,4,1,3,1,9,0,1,3,0,2,1,0,2,1,3,814
6,P.P.SONAWAR,325,243,1,569,195,164,0,359,307,52,3,55,126,166,2,0,1,1,0,0,0,1,0,1,0,0,0,1,2,359
7,P.P.CHADI,598,434,0,1032,272,306,0,578,570,8,6,273,73,207,6,0,0,0,0,0,1,2,0,1,0,0,0,4,5,578
8,"J.H.S. MUSTAFABAD",860,625,1,1486,474,388,0,862,830,32,9,114,269,419,8,0,2,5,11,0,2,4,0,2,2,1,1,4,9,862
9,P.P.SIKANDARPUR,698,490,0,1188,381,361,0,742,725,17,10,180,150,375,1,1,2,6,4,0,0,3,2,1,1,2,0,0,4,742
10,P.P.GUJARPAR,774,608,0,1382,382,286,0,668,648,20,9,155,388,80,6,0,3,3,6,0,1,4,1,0,1,3,3,0,5,668
11,"J.H.S. GUJARPAR R.N.-1",868,644,0,1512,475,453,0,928,900,0,9,465,145,276,1,0,2,1,3,0,1,4,2,2,1,5,2,5,4,928
12,"J.H.S. GUJARPAR R.N.-2",760,631,0,1391,434,381,0,815,778,37,2,55,67,655,9,0,0,0,0,2,0,5,2,0,0,8,5,2,3,815
13,"I.S.SIKATHI SAHAMUHAMMADPUR  ROOM.NO-1",475,359,0,834,216,217,0,433,403,30,4,172,57,197,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,433
14,"I.S.SIKATHI SAHAMUHAMMADPUR  ROOM.NO-2",501,372,3,876,249,223,0,472,463,9,14,231,20,191,5,1,0,0,0,3,0,2,2,1,0,1,0,0,1,472
15,"I.S.SIKATHI SAHAMUHAMMADPUR  ROOM.NO-3",826,587,0,1413,398,386,0,784,700,84,5,270,10,465,13,0,1,1,3,0,1,4,0,1,2,5,0,2,1,784
16,"I.S. UDAYBHANPUR  R.N.-1",829,653,0,1482,479,515,0,994,955,39,14,684,98,170,4,0,0,1,1,0,0,5,0,1,1,4,1,6,4,994
17,"I.S. UDAYBHANPUR  R.N.-2",661,452,0,1113,410,268,0,678,670,8,5,209,73,343,8,2,1,0,3,0,0,9,0,2,3,5,4,4,7,678
18,P.P.DILIYA,877,716,0,1593,455,526,0,981,966,15,11,141,249,539,7,1,0,2,2,1,1,17,2,3,0,2,0,2,1,981
19,"P.P.PAHI JAMEEN PAHI R.N.-1",738,586,0,1324,414,353,0,767,722,45,6,178,80,464,13,2,3,1,1,0,2,5,0,2,1,3,2,0,4,767
20,"P.P.PAHI JAMEEN PAHI R.N.-2",546,428,0,974,262,247,0,509,458,51,12,92,297,75,0,0,2,1,8,2,4,2,2,5,3,2,0,1,1,509
21,"P.P.MUBARAKPUR NEAR AMILO POLICE S. R.N.-1",845,626,0,1471,450,542,0,992,900,92,3,429,22,512,16,0,0,0,1,0,1,3,2,0,0,0,0,1,2,992
22,"P.P.MUBARAKPUR NEAR AMILO POLICE S. R.N.-2",645,497,0,1142,395,373,0,768,736,32,6,159,95,487,5,3,1,0,4,0,1,3,0,0,0,0,1,1,2,768
23,"J.H.S.AMILO R.N.1",424,332,0,756,265,207,0,472,395,77,1,194,52,190,22,0,0,2,1,1,1,3,1,1,1,1,0,1,0,472
24,"J.H.S.AMILO R.N.2",737,512,0,1249,403,272,0,675,620,55,5,436,62,134,27,0,0,1,2,0,0,0,0,3,1,1,1,0,2,675
25,"J.H.S.AMILO R.N.3",948,666,0,1614,623,424,0,1047,1019,28,11,470,13,514,12,1,0,1,7,0,1,2,0,2,1,7,1,2,2,1047
26,"J.H.S.AMILO R.N.4",909,604,0,1513,499,358,0,857,803,0,6,269,30,525,15,0,0,0,0,0,1,0,0,0,0,1,0,8,2,857
27,"J.H.S.AMILO R.N.5",876,577,0,1453,541,383,0,924,866,0,3,222,47,625,10,0,0,1,0,1,1,0,4,3,0,2,0,2,3,924
28,"AMILO J.H.S. M.B. R.N.-1",838,553,0,1391,506,356,0,862,853,0,4,475,66,294,4,1,0,0,2,0,0,5,1,1,1,2,1,3,2,862
29,"AMILO J.H.S. M.B. R.N.-2",696,479,0,1175,428,306,0,734,693,0,1,175,97,439,9,0,0,1,1,1,1,3,0,3,0,2,1,0,0,734
30,"AMILO J.H.S. M.B. R.N.-3",619,473,0,1092,339,288,0,627,282,0,4,401,61,136,15,0,0,0,1,0,5,0,0,0,0,1,1,2,0,627
31,"AMILO J.H.S. M.B. R.N.-4",404,293,0,697,233,183,0,416,400,0,2,120,205,61,8,0,0,1,3,0,3,4,1,2,1,0,1,2,2,416
32,"KANYA P.P. AMILO-1",585,490,0,1075,256,289,0,545,500,0,14,222,73,223,3,0,0,0,1,0,3,2,0,0,1,2,1,0,0,545
33,"KANYA P.P. AMILO-2",625,469,0,1094,314,302,0,616,580,0,6,144,219,216,5,0,1,0,3,0,4,1,4,2,4,5,0,1,1,616
34,"P.P.MAFIYA FIROZABAD",714,558,0,1272,453,348,0,801,741,0,10,411,146,195,15,1,0,0,3,0,2,0,2,1,2,1,3,4,5,801
35,"KANYA P.P. KAUDIYA",720,524,0,1244,426,357,0,783,690,0,7,340,61,319,35,0,0,1,0,1,2,2,1,1,0,3,0,4,6,783
36,"P.P.OJHAULI R.N.-1",561,467,0,1028,332,258,0,590,508,0,8,87,397,62,2,1,0,2,7,0,1,6,5,2,0,5,0,1,4,590
37,"P.P.OJHAULI R.N.-2",423,318,0,741,228,175,0,403,402,0,3,193,172,19,0,0,0,0,1,0,0,2,0,2,0,3,1,5,2,403
38,"P.M.V.OJHAULI R.N.1",323,283,0,606,188,186,0,374,354,0,7,64,229,53,0,0,0,3,3,2,0,3,2,1,4,2,0,0,1,374
39,"P.M.V.OJHAULI R.N.2",600,461,0,1061,290,307,0,597,572,0,7,26,48,473,6,3,1,1,1,0,1,4,11,3,0,4,4,0,4,597
40,"P.M.V.OJHAULI R.N.3",605,453,0,1058,454,298,0,752,725,0,7,377,263,72,6,0,0,1,5,1,1,2,0,5,2,7,2,0,1,752
41,"M.A.M.U.M IBRAHIMPUR R.N.1",578,401,0,979,412,307,0,719,700,0,1,498,2,216,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,719
42,"M.A.M.U.M IBRAHIMPUR R.N.2",468,304,0,772,391,208,0,599,590,0,2,279,3,311,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,599
43,"I.F.U. IBRAHIMPUR R.N.-1",517,363,0,880,288,248,0,536,523,0,3,284,10,224,8,1,0,0,0,0,2,1,0,0,0,2,0,0,1,536
44,"I.F.U. IBRAHIMPUR R.N.-2",526,365,0,891,263,191,0,454,444,0,5,174,74,176,6,1,0,0,0,0,3,1,5,1,0,3,0,2,3,454
45,P.B.IBRAHIMPUR,836,607,0,1443,550,403,0,953,940,0,4,276,25,625,10,2,0,2,0,1,0,1,0,0,1,2,1,1,2,953
46,P.P.MUINABAD,812,675,0,1487,460,416,0,876,856,0,16,177,179,484,4,2,1,1,1,0,3,3,1,0,0,2,0,0,2,876
47,"P.P.DEVKALI TARAN",947,729,0,1676,487,425,0,912,864,0,18,240,253,351,10,0,1,2,6,2,0,1,2,2,1,6,3,7,7,912
48,P.P.GOCHA,653,567,0,1220,289,337,0,626,620,0,2,151,87,356,6,0,0,0,3,1,1,2,2,1,0,6,2,1,5,626
49,P.P.JALALPUR,239,209,0,448,178,163,0,341,339,0,0,190,36,95,2,0,0,0,1,0,0,2,4,5,2,1,0,1,2,341
50,K.P.P.PICHARI,757,639,0,1396,368,398,0,766,685,0,17,121,273,325,4,0,1,1,5,0,1,3,3,3,2,2,0,1,4,766
51,"P.M.V.NARAW R.N.-1",382,332,0,714,203,221,0,424,410,0,3,19,229,134,1,4,2,2,3,4,1,5,3,2,0,2,7,1,2,424
52,"P.M.V.NARAW R.N.-2",517,388,0,905,320,269,0,589,552,0,4,110,382,56,1,2,0,4,7,2,0,0,1,3,3,5,6,1,2,589
53,P.P.DARIYABAD,127,111,0,238,81,72,0,153,152,0,4,23,85,27,2,0,1,2,1,0,0,0,0,2,1,3,0,0,2,153
54,P.P.ATARDEEHA,476,422,0,898,317,262,0,579,577,0,3,127,215,210,3,0,1,2,2,0,5,2,2,2,0,2,0,1,2,579
55,P.P.PYAREPUR,335,279,0,614,194,170,0,364,314,0,5,8,258,74,0,3,0,0,0,3,2,1,0,0,0,0,3,0,7,364
56,"I.S.CHEKSEKH AHMAD",700,615,0,1315,407,383,0,790,747,0,20,247,117,350,12,1,0,3,1,0,1,1,7,6,4,13,1,1,5,790
57,"P.P.TADIYAKHAN R.N.-1",180,157,0,337,103,103,0,206,200,0,1,1,1,190,3,1,1,1,1,0,0,1,0,0,0,2,1,1,1,206
58,"P.P.TADIYAKHAN R.N.-2",705,506,0,1211,411,328,0,739,730,0,12,248,320,128,2,1,2,3,3,1,1,2,2,2,1,4,0,2,5,739
59,"P.P.ADAMPUR R.N.-1",408,326,0,734,231,249,0,480,470,0,3,34,370,45,2,1,2,1,5,1,1,1,1,5,2,3,2,0,1,480
60,"P.P.ADAMPUR R.N.-2",478,387,0,865,258,247,0,505,500,0,10,94,146,224,6,2,0,0,3,1,0,1,1,4,0,3,0,2,8,505
61,P.M.V.ASAUR,701,557,0,1258,329,357,0,686,610,0,5,207,25,414,12,2,5,1,6,0,0,2,0,3,0,2,0,0,2,686
62,"P.M.V. DEVALI  KHALSA",492,432,0,924,255,282,0,537,530,0,1,114,2,393,2,0,1,2,0,0,0,4,1,3,2,2,2,1,7,537
63,"P.P.DEVALI AYAMA",309,289,0,598,143,187,0,330,310,0,4,153,29,118,3,0,0,0,1,0,2,3,5,1,2,3,2,3,1,330
64,P.P.KUKURSANDA,482,394,0,876,272,274,0,546,506,0,3,115,167,238,3,0,2,3,3,0,0,0,0,0,0,0,3,4,5,546
65,P.P.BHATAURA,645,575,0,1220,456,400,0,856,850,0,6,120,46,642,7,0,1,1,1,1,3,6,5,4,1,5,0,0,7,856
66,P.P.AMUDI,352,287,0,639,255,219,0,474,405,0,5,299,112,51,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,474
67,"GANDHI I.C.MUBARAKPUR R.N.-1",455,373,0,828,295,170,0,465,422,0,5,334,18,105,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,465
68,"GANDHI I.C.MUBARAKPUR R.N.-2",736,611,0,1347,449,344,0,793,790,0,8,311,205,253,3,0,0,2,1,1,4,0,2,1,1,1,0,0,0,793
69,"GANDHI I.C.MUBARAKPUR R.N.-3",759,566,0,1325,464,343,0,807,800,0,11,400,102,277,4,0,2,0,2,0,2,4,1,2,0,0,0,0,0,807
70,"GANDHI I.C.MUBARAKPUR R.N.-4",509,416,0,925,316,193,0,509,507,0,2,300,38,160,2,0,0,0,0,0,3,0,0,2,0,0,0,1,1,509
71,"M.G.H.S.S.K.MUBARAKPUR R.N.1",452,319,0,771,320,240,0,560,550,0,2,391,12,138,2,0,0,0,0,1,3,1,0,1,0,0,1,6,2,560
72,"M.G.H.S.S.K.MUBARAKPUR R.N.2",626,582,0,1208,409,415,0,824,810,0,5,558,104,144,2,0,0,1,2,0,1,1,1,1,0,1,0,2,1,824
73,"M.G.H.S.S.K.MUBARAKPUR R.N.3",434,302,0,736,283,218,0,501,408,0,9,261,105,114,2,0,0,0,0,0,0,0,0,1,1,3,1,0,4,501
74,"M.G.H.S.S.K.MUBARAKPUR R.N.3",714,529,0,1243,325,440,0,765,700,0,14,242,230,249,7,1,0,1,2,1,3,4,1,1,1,3,2,1,2,765
75,"A.G.H.S.S. KATRA MUBARAKPUR R.N.-1",467,363,0,830,289,227,0,516,513,0,3,264,84,149,7,0,0,0,0,0,1,2,0,1,3,2,0,0,0,516
76,"A.G.H.S.S. KATRA MUBARAKPUR R.N.-2",424,368,0,792,320,188,0,508,492,0,7,266,63,163,1,0,0,0,0,0,1,0,1,2,2,1,0,1,0,508
77,"M.B.I.P.MUBARAKPUR R.N-1",782,600,0,1382,523,422,0,945,940,0,7,185,43,701,3,0,0,0,0,1,1,3,0,0,0,0,0,0,1,945
78,"M.B.I.P.MUBARAKPUR R.N-1",607,491,0,1098,454,404,0,858,850,0,8,349,25,460,6,0,0,0,0,0,0,5,1,1,0,0,0,2,1,858
79,"H.S.S.MUBARAKPUR (MP) R.N-1",766,568,0,1334,430,313,0,743,720,0,10,430,78,211,2,0,0,0,2,1,1,3,1,0,0,1,2,0,1,743
80,"H.S.S.MUBARAKPUR (MP) R.N-2",509,367,0,876,288,219,0,507,500,0,4,302,47,142,0,1,0,1,1,0,2,1,0,1,0,2,2,0,1,507
81,"H.S.S.MUBARAKPUR (MP) R.N-3",569,419,0,988,287,198,0,485,450,0,3,317,62,93,1,0,0,1,2,0,0,2,0,0,0,0,0,4,0,485
82,"H.S.S.MUBARAKPUR (MP) R.N-4",845,617,0,1462,551,403,0,954,934,0,12,415,143,356,5,1,1,1,4,1,1,8,2,0,0,0,0,0,4,954
83,"H.S.S.MUBARAKPUR (MP) R.N-5",801,639,0,1440,452,405,0,857,770,0,7,474,41,317,3,0,0,0,2,1,2,3,1,0,2,2,0,1,1,857
84,"K.P.P.MUBARAKPUR R.N-1",593,410,0,1003,307,215,0,522,512,0,5,214,175,110,1,0,0,0,1,1,6,3,0,1,0,0,0,2,3,522
85,"K.P.P.MUBARAKPUR R.N-2",555,425,0,980,327,260,0,587,525,0,5,332,12,215,6,1,1,0,0,0,1,3,1,2,1,1,0,5,1,587
86,"K.P.P.MUBARAKPUR R.N-3",884,619,1,1504,499,370,0,869,770,0,17,453,122,242,10,0,0,2,3,0,1,2,0,3,0,4,1,3,6,869
87,"K.P.M.V. MUBARAKPUR R.N-1",788,593,0,1381,500,339,0,839,824,0,18,374,121,319,2,0,0,0,1,0,1,0,0,0,0,1,1,1,0,839
88,"K.P.M.V. MUBARAKPUR R.N-2",629,470,0,1099,376,285,0,661,561,0,3,241,102,284,10,1,1,4,1,1,2,1,0,0,0,2,2,2,4,661
89,"K.P.M.V. MUBARAKPUR R.N-3",606,464,0,1070,343,264,0,607,586,0,14,260,49,268,6,0,0,0,0,1,2,1,0,0,0,1,1,1,3,607
90,"N.P.K. MUBARAKPUR R.N-1",714,543,0,1257,431,282,0,713,688,0,8,342,30,308,16,0,0,0,0,0,2,2,0,2,0,2,1,0,0,713
91,"N.P.K. MUBARAKPUR R.N-2",709,547,0,1256,385,256,0,641,620,0,2,240,199,186,0,1,0,0,1,1,1,0,2,1,1,1,0,5,0,641
92,"N.P.K. MUBARAKPUR R.N-3",713,566,0,1279,448,293,0,741,643,0,9,348,58,314,9,1,0,0,0,0,1,0,0,0,0,0,0,0,1,741
93,"M.Y.U.MUBARAKPUR R.N-1",701,589,0,1290,399,340,0,739,729,0,9,268,30,376,44,0,0,1,1,0,0,3,2,0,0,2,0,2,1,739
94,"M.Y.U.MUBARAKPUR R.N-2",437,395,0,832,310,215,0,525,505,0,8,173,9,319,10,0,0,1,0,0,2,3,0,0,0,0,0,0,0,525
95,"M.Y.U.MUBARAKPUR R.N-3",481,375,0,856,245,210,0,455,445,0,3,100,12,325,10,1,1,1,0,0,0,1,0,0,0,0,0,0,1,455
96,"M.Y.U.MUBARAKPUR R.N-4",731,598,0,1329,435,367,0,802,790,0,11,380,83,289,28,1,0,1,0,0,4,3,0,0,0,0,1,1,0,802
97,"M.B.I.N.P.D.MUBARAKPUR R.N-1",557,469,0,1026,319,202,0,521,486,0,8,188,234,84,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,521
