"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAILASH NATH SINGH YADAV","2 - MO. MAKSUD KHAN","3 - MANOJ SINHA","4 - SMT SHIVKANYA KUSHWAHA","5 - ISHWAR DEV","6 - ISHWARI","7 - OMKAR CHAUHAN","8 - GUPTESHWAR","9 - DEENDAYAL","10 - DHARM YADAV","11 - PAPPU","12 - BRIJ BHUSHAN","13 - BHARAT","14 - RAJENDRA NATH RAM","15 - SATYA DEV YADAV","16 - ARUN KUMAR SINGH","17 - KUBER","18 - LAKSHAMAN","19 - None of the Above","Total Votes Secured"
1,P.P.DAGAIPUR(N.WING),839,690,0,1529,503,300,0,803,803,0,124,14,373,240,4,1,1,1,2,1,1,1,3,3,0,12,8,2,12,803
2,P.P.DAGAIPUR(S.WING),578,446,0,1024,266,271,0,537,537,0,61,5,73,319,4,6,1,0,3,27,5,1,5,1,2,9,8,4,3,537
3,"P.P.DAGAIPUR (EXTRA ROOM)",364,318,0,682,212,204,0,416,416,0,88,6,46,252,2,3,1,0,0,13,0,1,1,0,1,2,0,0,0,416
4,"J.H.SCHOOL PALIWAR",908,700,0,1608,414,400,0,814,805,0,286,34,366,57,2,2,3,1,7,28,2,4,5,1,3,5,4,1,3,814
5,"J.H.SCHOOL PALIWAR",268,204,0,472,84,105,0,189,189,0,62,11,101,9,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,189
6,"J.H.SCHOOL PALIWAR",423,312,0,735,206,180,0,386,386,0,135,7,95,112,1,2,0,1,1,15,2,2,1,5,2,4,1,0,0,386
7,"P.P. BHAWARUPUR",609,531,0,1140,312,300,0,612,600,0,143,11,209,201,1,3,0,1,2,10,4,8,2,0,1,4,8,3,1,612
8,"P.P. BANKAT (N.WING)",464,381,0,845,260,245,0,505,450,0,190,8,82,187,3,1,0,1,2,0,2,11,0,1,3,9,1,1,3,505
9,"P.P. BANKAT (S.WING)",424,351,0,775,218,207,0,425,425,0,201,5,69,115,2,0,1,0,1,3,1,0,2,4,0,9,7,0,5,425
10,"P.P.BHALA BUJURG (S.WING)",517,403,0,920,238,231,0,469,469,0,158,5,109,174,0,7,0,0,2,5,2,0,0,0,0,0,4,1,2,469
11,"JANTA U.M.V.BHALA KHURD (E.WING)",747,591,0,1338,292,258,0,550,537,0,128,14,187,192,5,0,0,0,2,2,2,2,1,1,3,3,5,1,2,550
