"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAISER JAHAN","2 - BHARAT TRIPATHI","3 - RAJESH VERMA","4 - VAISHALI ALI","5 - ERAJ BEG","6 - CHAUDHARY LAL BAGHEL","7 - JAGDISH NARAYAN SHUKLA","8 - JAGMOHAN SINGH VERMA","9 - R. K. MISRA","10 - RAM AVTAR NISHAD","11 - SHEFALI MISRA","12 - SANT KUMAR","13 - SANJAY TIWARI","14 - TURAB ALI","15 - PUSHPA DEVI","16 - SUCHITA KUMAR","17 - None of the Above","Total Votes Secured"
1,"P.S. CHANDRASENI",540,501,0,1041,407,336,0,743,743,0,376,12,282,17,1,2,4,0,9,1,0,1,1,5,1,9,22,743
2,"P.S. BACHEPUR H/O CHANDRASENI",262,226,0,488,219,186,0,405,403,0,174,5,190,15,0,2,2,3,0,1,2,0,1,4,0,3,3,405
3,"P.S. ERAPUR SUTAULI",548,476,0,1024,444,373,0,817,817,0,357,79,281,29,1,1,10,4,2,11,1,1,3,5,5,11,16,817
4,"P.S. BARI",712,618,0,1330,540,397,0,937,936,0,207,80,524,30,3,5,16,5,17,4,2,1,4,8,11,14,6,937
5,"P.S. GUDARUVA DEVARIYA",684,609,0,1293,552,418,0,970,970,0,309,186,394,16,1,3,10,3,1,1,0,18,4,10,4,7,3,970
6,"P.S. DEVARIYA H/O GUDARUVA DEVARIYA",840,689,0,1529,612,440,0,1052,1052,0,496,300,176,8,1,0,10,2,3,3,2,2,3,10,3,17,16,1052
7,"P.S. SEVTA I",817,657,0,1474,600,485,0,1085,1083,0,591,60,369,11,2,3,7,2,0,1,2,2,5,9,2,9,10,1085
8,"P.S. SEVTA II",813,659,0,1472,636,400,0,1036,1035,0,467,69,420,17,2,0,9,3,3,1,4,5,5,9,0,9,13,1036
9,"P.S. PIPRA H/O SEVTA",695,570,0,1265,545,285,0,830,830,0,300,96,328,14,4,1,5,0,2,2,4,44,3,10,3,9,5,830
10,"KISHOR INTER COLLAGE SEVTA R.N.1",683,586,0,1269,447,300,0,747,736,0,193,221,296,23,0,0,2,1,0,1,0,3,0,4,0,2,1,747
11,"KISHOR INTER COLLAGE SEVTA R.N.2",751,603,0,1354,523,349,0,872,872,0,479,118,228,10,1,2,3,2,1,2,0,7,0,1,1,10,7,872
12,"P.S. KHURAWALIYA",773,678,0,1451,521,428,0,949,945,0,217,279,388,12,5,2,10,3,2,1,1,1,3,7,5,8,5,949
13,"P.S. VIJEHADA",396,322,0,718,324,193,0,517,499,0,79,114,265,11,4,2,13,3,5,1,0,0,0,5,3,6,6,517
14,"P.S. JAMAULI",608,539,0,1147,483,404,0,887,887,0,202,112,507,24,2,6,8,1,1,0,1,3,1,2,2,7,8,887
15,"P.S. KODAVA H/O KODAVA DHAMDHAMPUR",306,258,0,564,257,221,0,478,478,0,79,109,271,5,1,1,0,1,0,0,1,0,0,1,1,5,3,478
16,"J.H.S.DHAMDHAMPUR H/O KODAVA DHAMDHAMPUR",296,255,0,551,227,169,0,396,396,0,188,32,142,10,0,0,2,0,4,0,0,2,0,6,1,6,3,396
17,"P.S SUPAULI R.N.1",743,699,0,1442,503,394,0,897,891,0,261,377,197,12,2,1,7,4,2,1,2,1,7,7,7,6,3,897
18,"P.S SUPAULI R.N.2",639,526,0,1165,448,253,0,701,697,0,149,371,119,8,0,3,3,4,1,4,2,0,3,4,2,19,9,701
19,"P.S. MOIYA H/O KHANPUR",377,322,0,699,296,220,0,516,516,0,59,141,281,5,1,1,9,0,1,3,2,0,1,0,7,5,0,516
20,"P.S KHANPUR R.N.1",398,331,0,729,273,180,0,453,445,0,152,29,216,16,2,3,2,1,0,1,0,0,0,5,20,2,4,453
21,"P.S KHANPUR R.N.2",744,601,0,1345,485,370,0,855,846,0,212,81,476,19,3,2,15,2,6,0,1,2,7,3,15,5,6,855
22,"P.S. KANKARI",781,718,0,1499,542,456,0,998,998,0,163,345,419,9,3,5,8,5,16,1,2,2,1,2,2,8,7,998
23,"P.S. BHITHAULI",464,388,0,852,391,241,0,632,632,0,128,158,293,15,1,0,14,2,0,2,3,2,5,5,2,1,1,632
24,"P.S. BELHADRIYANA",368,321,0,689,282,234,0,516,496,0,60,95,316,22,2,2,7,2,1,0,0,0,1,2,0,0,6,516
25,"P.S.DRIYANA H/O BELHADRIYANA",313,271,0,584,252,216,0,468,468,0,117,70,234,22,1,0,4,2,3,1,1,0,2,4,0,5,2,468
26,"P.S. SISAYA DRIYANA",403,370,0,773,346,288,0,634,632,0,95,175,254,38,5,3,9,1,4,4,3,2,4,7,6,15,9,634
27,"PANCHAYATGHAR DRIYANA H/O SISAYA DRIYANA",245,204,0,449,212,177,0,389,387,0,76,2,288,2,2,0,3,0,1,0,0,0,1,6,2,2,4,389
28,"P.S GOVINDAPUR R.N.1",536,473,0,1009,429,339,0,768,766,0,142,289,292,8,2,1,4,4,2,2,1,2,1,2,3,10,3,768
29,"P.S GOVINDAPUR R.N.2",412,338,0,750,323,242,0,565,565,0,191,178,173,2,0,2,8,0,0,0,0,0,0,1,4,4,2,565
30,"J.H.S. GOVINDAPUR R.N.1",513,432,1,946,293,249,0,542,542,0,218,116,177,4,2,1,1,2,0,0,0,12,3,0,0,1,5,542
31,"J.H.S. GOVINDAPUR R.N.2",441,319,0,760,291,125,0,416,416,0,161,54,139,15,2,2,9,2,1,1,1,6,3,3,2,8,7,416
32,"P.S DABKAHA H/O GOVINDAPUR",498,403,0,901,428,320,0,748,748,0,441,151,108,6,2,2,4,3,1,3,2,0,1,3,2,15,4,748
33,"P.S.MALLAPUR STHITH KASHIPUR R.N.1",441,372,0,813,240,172,0,412,412,0,90,56,229,8,3,0,4,1,0,1,0,0,3,7,1,8,1,412
34,"P.S.MALLAPUR STHITH KASHIPUR R.N.2",588,460,0,1048,331,248,0,579,579,0,86,144,298,11,3,1,11,1,1,0,0,1,4,9,3,3,3,579
35,"P.S.KAMHARIYA SEKHUPUR R.N.1",302,266,0,568,241,214,0,455,455,0,110,47,256,16,1,0,3,1,1,2,0,1,3,6,2,2,4,455
36,"P.S.KAMHARIYA SEKHUPUR R.N.2",714,580,0,1294,417,202,0,619,619,0,220,109,257,11,0,0,2,0,1,2,0,0,1,5,5,2,4,619
37,"P.S BADHAIDEEH R.N.1",615,466,0,1081,404,334,0,738,728,0,322,27,330,6,4,3,11,6,4,1,1,1,2,3,1,6,10,738
38,"P.S BADHAIDEEH R.N.2",436,343,1,780,356,212,0,568,568,0,174,20,338,8,0,1,12,3,3,1,0,1,0,0,4,1,2,568
39,"P.S KATRA R.N.1",466,373,0,839,373,257,0,630,630,0,80,94,442,1,0,0,2,0,0,2,0,0,1,2,1,1,4,630
40,"P.S KATRA R.N.2",357,325,0,682,309,227,0,536,24,0,164,34,312,5,1,1,3,2,1,0,0,0,0,3,1,3,6,536
41,"P.S PACHRUKHI H/O AJJAYPUR",650,521,0,1171,559,383,0,942,912,0,257,87,541,18,1,2,3,2,1,0,0,0,1,1,3,6,19,942
42,"P.S  AJJAYPUR R.N.1",696,517,0,1213,501,287,0,788,788,0,267,38,389,5,1,1,13,5,1,17,1,4,5,12,4,17,8,788
43,"P.S AJJAYPUR R.N.2",554,445,0,999,426,336,0,762,760,0,502,125,97,7,2,2,2,3,0,0,1,2,0,4,1,9,5,762
44,"P.S AJJAYPUR R.N.3",468,414,0,882,354,281,0,635,633,0,256,50,271,8,0,2,4,3,3,1,1,1,2,4,3,11,15,635
45,"P.S. SALPUR",821,731,0,1552,607,528,0,1135,1135,0,266,294,506,8,3,3,8,4,3,2,2,1,5,8,6,7,9,1135
46,"P.S RAMUWAPUR KALIKA SINGH R.N.1",713,632,0,1345,575,406,0,981,981,0,314,78,507,14,5,2,19,4,3,3,2,5,4,2,2,10,7,981
47,"P.S RAMUWAPUR KALIKA SINGH R.N.2",494,390,0,884,386,272,0,658,657,0,444,38,117,9,1,3,5,1,2,2,0,0,2,2,1,14,17,658
48,"P.S. BOHRA H/O RAMUWAPUR KALIKA SINGH",345,282,0,627,281,190,0,471,471,0,98,91,226,13,1,1,7,1,2,0,5,3,0,3,5,12,3,471
49,"P.S. DALPATPUR",754,661,0,1415,546,404,0,950,799,0,327,50,452,18,4,3,14,6,7,3,1,2,0,5,6,10,42,950
50,"P.S. BHANIPUR",293,267,0,560,257,221,0,478,478,0,81,42,236,14,3,1,7,2,8,65,0,2,2,1,2,0,12,478
51,"P.S. BHITHNA",343,334,0,677,272,237,0,509,509,0,185,37,217,35,0,1,2,3,3,12,1,0,0,1,1,5,6,509
52,"P.S NAGRAULI",586,511,0,1097,352,416,0,768,768,0,469,44,218,11,0,1,5,0,1,1,1,2,1,4,0,2,8,768
53,"P.S SEMRA H/O NAGRAULI",493,467,0,960,397,313,0,710,710,0,233,74,363,10,5,3,7,3,2,0,1,1,0,2,2,2,2,710
54,"P.S BOODHANPUR",289,257,0,546,251,184,0,435,434,0,5,151,254,6,0,0,8,0,3,0,0,0,3,1,1,2,1,435
55,"P.S. KOLIYACHADIYA STHIT MUNWAPURVA",633,538,0,1171,489,296,0,785,785,0,65,127,524,19,2,6,11,2,11,2,0,0,2,3,1,4,6,785
56,"P.S. CHAUSA",464,397,0,861,385,317,0,702,701,0,334,30,276,7,1,0,3,1,1,0,1,0,1,2,0,4,41,702
57,"P.S. SIRSA",367,286,0,653,318,204,0,522,522,0,105,9,399,4,0,0,1,0,0,0,0,0,0,0,0,2,2,522
58,"P.S. KISHORGANJ H/O JATPURWA",818,658,0,1476,555,447,0,1002,1002,0,555,44,305,18,5,4,9,12,2,1,2,4,3,9,3,14,12,1002
59,"P.S. MEUDHI CHOLAHA",321,259,0,580,268,146,0,414,414,0,152,17,212,14,0,1,3,2,1,1,0,1,1,1,2,2,4,414
60,"P.S. SRIRAMPURWAH/O MEUDHI CHOLAHA",404,286,0,690,280,182,0,462,462,0,144,133,114,36,1,4,6,8,2,1,0,0,0,0,0,2,11,462
61,"P.S. THAHPUR",271,230,0,501,240,163,0,403,403,0,159,9,199,27,1,1,4,0,0,2,0,0,0,0,1,0,0,403
62,"P.S. PAKAURI",265,231,0,496,214,137,0,351,351,0,40,100,170,11,3,1,4,0,1,0,0,2,2,7,2,5,3,351
63,"P.S. BAJHA",765,689,0,1454,576,415,0,991,902,0,164,70,624,49,6,1,13,4,3,1,1,6,2,10,2,21,14,991
64,"P.S. DULAMAU",458,402,0,860,339,241,0,580,580,0,218,82,166,39,6,3,9,5,6,19,4,1,1,4,2,8,7,580
65,"P.S. BASANTAPUR",450,373,0,823,406,260,0,666,666,0,212,47,242,98,0,1,1,1,2,44,1,0,1,3,0,8,5,666
66,"SADHAN SAHKARI SAMITKUSMAURA H/O HARIHARPUR",664,569,0,1233,510,416,0,926,926,0,450,38,357,24,4,0,5,8,2,3,1,2,3,8,4,5,12,926
67,"P.S. HARIHARPUR",666,595,0,1261,525,412,0,937,937,0,400,14,447,12,0,0,8,4,2,0,1,1,1,10,6,11,20,937
68,"P.S. NEVADA H/O HARIHARPUR",597,543,0,1140,422,350,0,772,275,0,346,62,270,22,1,2,4,5,5,1,2,2,3,4,3,25,15,772
69,"P.S. DHENUVA",735,609,1,1345,509,398,0,907,567,0,341,65,431,21,2,0,17,5,1,11,0,1,2,1,2,4,3,907
70,"P.S. KHARAUHA",625,523,0,1148,445,242,0,687,653,0,149,206,294,11,1,1,1,1,0,0,1,1,1,2,1,7,10,687
71,"P.S. PURAINI",636,540,0,1176,513,328,0,841,841,0,351,61,327,19,0,8,14,5,1,8,4,3,4,7,6,19,4,841
72,"P.S. KHARAHRA",550,519,0,1069,416,297,0,713,691,0,199,88,344,24,1,6,22,3,2,4,0,0,4,5,1,5,5,713
73,"J.H.S.BHITHNAFARR R.N.1",555,444,0,999,381,240,0,621,621,0,361,90,143,3,0,2,2,4,0,1,0,1,0,2,1,5,6,621
74,"J.H.S.BHITHNAFARR R.N.2",353,320,0,673,288,216,0,504,499,0,140,29,272,19,2,0,10,1,3,11,0,1,2,2,1,5,6,504
75,"P.S. ITAURI",469,386,0,855,375,285,0,660,659,0,255,52,323,4,1,0,5,2,0,0,0,0,0,1,0,1,16,660
76,"P.S. AURA H/O ITAURI",252,222,0,474,188,159,0,347,347,0,180,8,138,4,0,1,5,1,0,0,1,0,0,1,1,7,0,347
77,"P.S. KODRI",714,631,0,1345,495,399,0,894,617,0,292,110,420,16,0,4,6,3,3,3,1,1,1,9,17,5,3,894
78,"P.S. SIKOHA",479,392,0,871,390,276,0,666,642,0,157,144,335,9,1,1,4,2,1,0,1,1,2,2,1,3,2,666
79,"P.S. BARA",719,587,0,1306,596,451,0,1047,1047,0,406,145,334,57,15,8,18,7,7,3,4,5,1,7,5,14,11,1047
80,"P.S. KHANUWAPUR",483,398,0,881,356,237,0,593,593,0,134,203,202,13,0,5,9,1,2,0,2,3,2,8,3,4,2,593
81,"P.S. RAMUWAPUR MALLHAPUR",251,192,0,443,218,147,0,365,365,0,33,102,214,5,0,0,3,0,0,1,1,0,0,0,2,3,1,365
82,"P.S RASOOLPUR R.N.1",480,408,0,888,355,242,0,597,597,0,96,155,311,1,1,1,3,0,7,7,0,0,5,4,2,3,1,597
83,"P.S RASOOLPUR R.N.2",598,565,1,1164,374,336,0,710,710,0,214,37,382,10,0,4,9,1,3,26,2,1,5,5,0,11,0,710
84,"P.S BHADMARA R.N.1",705,596,0,1301,559,419,0,978,978,0,486,51,373,10,0,3,11,6,6,0,1,2,4,8,0,9,8,978
85,"P.S BHADMARA R.N.2",611,505,0,1116,442,360,0,802,802,0,463,25,260,4,3,1,8,4,0,1,0,1,1,5,3,3,20,802
86,"P.S BHADMARA NEW.ROOM",536,421,0,957,343,237,0,580,580,0,376,37,126,5,1,3,6,5,1,0,0,1,0,2,2,5,10,580
87,P.S.RANGWA,392,355,0,747,328,281,0,609,609,0,339,76,148,7,0,0,7,0,2,1,0,2,2,3,3,10,9,609
88,"P.S. AKSOHA",447,393,0,840,391,304,0,695,695,0,83,68,450,13,6,2,19,7,5,4,1,3,5,10,3,14,2,695
89,"P.S. BHADEWAN",618,535,0,1153,408,388,0,796,796,0,379,312,77,4,1,0,3,1,1,1,0,2,2,5,0,5,3,796
90,"P.S. BHAULI",552,494,0,1046,442,350,0,792,792,0,297,284,172,10,1,2,4,3,1,1,0,1,0,3,4,8,1,792
91,P.S.CHIRAIYA,310,254,0,564,236,210,0,446,444,0,36,7,375,7,1,0,7,2,1,0,0,2,0,4,0,4,0,446
92,"P.S.BARAULI H/O REUSA R.N1",454,411,0,865,352,310,0,662,662,0,293,69,259,11,2,2,3,3,0,0,0,0,2,6,4,3,5,662
