"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DIMPLE YADAV","2 - NIRMAL TIWARI","3 - SUBRAT PATHAK","4 - IMRAN BIN ZAFAR","5 - GANGA CHARAN","6 - PUSHPA DEVI","7 - SUBODH KUMAR","8 - SURENDRA NATH","9 - PRADEEP KUMAR","10 - MUHAR SINGH AMVADI","11 - RAKESH KUMAR TIWARI ADVOCATE","12 - SANJAY SHAKYA","13 - None of the Above","Total Votes Secured"
1,"PS ISHWARPUR",273,201,0,474,210,142,0,352,340,0,315,2,29,1,0,1,0,0,0,0,2,1,1,352
2,"PS JAISINGHPUR KANAK",564,487,1,1052,307,318,0,625,625,0,283,46,276,2,1,1,0,1,0,2,6,3,4,625
3,"PS HARNAGPUR",148,127,0,275,81,70,0,151,151,0,82,47,16,0,0,0,0,0,0,0,4,1,1,151
4,"PS UMRAIN ROOM NO1",413,338,0,751,219,146,0,365,365,0,204,9,134,1,0,0,0,0,0,1,7,1,8,365
5,"PS UMRAIN ROOM 2",447,391,0,838,273,216,0,489,489,0,129,5,334,5,0,0,0,0,1,2,3,1,9,489
6,"JILA PANCHYAT UMV UMRAIN ROOM",685,589,0,1274,452,311,0,763,760,0,452,17,274,6,1,0,1,0,0,2,2,1,7,763
7,"JILA PANCHYAT UMV UMRAIN ROOM 2",685,566,0,1251,379,291,0,670,627,0,342,19,295,5,0,1,0,0,2,1,3,1,1,670
8,"PS NAGLA DAULAT",220,197,0,417,187,156,0,343,343,0,185,58,95,0,0,0,1,1,0,0,1,0,2,343
9,"PS BANDHA KUCHUAILA",275,186,0,461,204,137,0,341,290,0,314,5,19,0,0,0,0,0,0,0,1,0,2,341
10,"PS KUKARKAT",652,525,0,1177,313,245,0,558,292,0,292,102,157,0,0,0,1,0,0,2,0,1,3,558
11,"PS RAMPURA",524,417,1,942,318,252,0,570,554,0,253,103,206,1,1,1,1,0,0,0,1,1,2,570
12,"PS GAJIPUR",529,387,0,916,319,231,0,550,420,0,91,321,126,3,0,0,0,0,0,0,0,4,5,550
13,"PS UDAI PUR",747,540,0,1287,469,317,0,786,776,0,434,21,307,7,2,0,2,1,0,2,4,2,4,786
14,"PS NAGIRA RAJA RAM",704,554,0,1258,321,352,0,673,668,0,359,53,247,1,1,0,2,0,0,0,3,2,5,673
15,"GANDH IC ERWA KATRA ROOM NO1",567,491,0,1058,337,295,0,632,632,0,350,31,235,3,1,0,2,0,0,0,2,2,6,632
16,"GANDH IC ERWA KATRA ROOM NO2",554,438,0,992,344,261,0,605,605,0,338,21,234,3,0,0,1,0,2,1,1,3,1,605
17,"GANDH IC ERWA KATRA ROOM NO3",548,479,0,1027,318,232,0,550,547,0,270,33,226,0,0,0,0,3,1,1,8,0,8,550
18,"GANDH IC ERWA KATRA ROOM NO4",288,233,0,521,155,130,0,285,274,0,162,4,108,1,0,2,1,1,0,1,3,0,2,285
19,"PS BHATPUR EAST ROOM",564,476,0,1040,308,289,0,597,595,0,414,30,130,10,0,1,1,0,1,0,0,3,7,597
20,"PS BHATPUR WEST ROOM",515,391,0,906,259,198,0,457,376,0,313,24,112,2,0,0,0,0,0,2,0,0,4,457
21,"PS AIRWAKATRA EAST",488,420,0,908,288,243,0,531,531,0,151,7,360,0,0,0,0,0,0,0,3,0,10,531
22,"PS AIRWA KATRA SINGLE ROOM",419,327,0,746,183,126,0,309,301,0,177,20,103,2,0,0,0,0,0,0,2,1,4,309
23,"PS AIRWA KATRA WAST",640,526,0,1166,332,264,0,596,415,0,281,52,250,2,1,0,1,1,0,0,3,2,3,596
24,"PS KATIKA",359,276,0,635,214,161,0,375,355,0,208,59,105,0,0,0,0,0,0,1,0,1,1,375
25,"PS RAGHUNATH PUR EAST",611,548,0,1159,390,337,0,727,716,0,142,92,481,2,2,0,0,1,0,3,2,2,0,727
26,"PS RAGHUNATH PUR WAST",277,248,0,525,121,99,0,220,185,0,24,5,183,1,0,0,0,0,1,3,2,0,1,220
27,"PS BELGHALI",315,260,0,575,171,159,0,330,318,0,85,7,229,1,0,0,1,0,0,2,3,0,2,330
28,"PS UMREDI",389,313,0,702,230,175,0,405,300,0,95,26,272,1,0,1,1,0,0,1,6,0,2,405
29,"PS PATNA AIRWA",749,570,1,1320,315,215,0,530,505,0,280,68,169,2,2,0,0,0,0,2,3,1,3,530
30,"PS NAGLA VAISHYA",479,363,0,842,274,192,0,466,466,0,103,3,338,6,2,0,2,0,0,0,7,1,4,466
31,"PS DOVA MAFI EAST",699,564,0,1263,398,275,0,673,373,0,441,5,210,4,1,0,1,0,2,1,3,2,3,673
32,"PS DOVA MAFI WEST",638,519,0,1157,460,315,0,775,775,0,499,7,259,2,0,0,1,0,0,1,3,1,2,775
33,"PS DOVAMAFI NEW BILDING",608,464,0,1072,393,239,0,632,600,0,575,12,42,0,0,0,0,0,0,0,1,0,2,632
34,"PS PAJHANGOI EAST",469,389,0,858,261,193,0,454,399,0,201,20,230,0,1,0,0,0,0,0,2,0,0,454
35,"PS PAKHANGOI WEST",346,286,0,632,193,165,0,358,358,0,87,10,256,2,0,1,0,0,0,0,0,0,2,358
36,"PS MURCHA MUSHA",148,126,0,274,109,90,0,199,199,0,162,4,32,0,0,0,0,0,0,0,0,0,1,199
37,"PS BARONA KHURD",347,252,0,599,169,133,0,302,262,0,103,37,156,0,0,0,0,0,3,0,0,0,3,302
38,"PS SURAJPUR UMRAIN",409,315,0,724,265,182,0,447,444,0,163,28,250,0,0,1,1,0,0,1,2,0,1,447
39,"PS SEJHUPUR NEW BUILDING",455,354,0,809,310,207,0,517,450,0,393,15,100,2,0,0,0,0,0,1,0,2,4,517
40,"JANTA VIDHALAY IC BARAUNA KALA ROOM NO1",584,451,0,1035,346,239,0,585,585,0,194,11,358,3,0,0,1,0,1,3,8,2,4,585
41,"JANTA VIDHALAY IC BARAUNA KALA ROOM NO2",409,282,0,691,195,119,0,314,314,0,165,16,125,3,0,1,1,0,0,0,2,1,0,314
42,"JANTA VIDHALAY IC BARAUNA KALA ROOM NO3",739,500,0,1239,315,179,0,494,494,0,231,40,208,2,1,0,0,0,0,3,5,2,2,494
43,"JANTA VIDHALAY IC BARAUNA KALA ROOM NO4",547,386,0,933,368,221,0,589,589,0,438,10,138,0,0,0,0,0,0,2,0,0,1,589
44,"PS BARONA KALA",788,600,0,1388,419,242,0,661,661,0,261,150,238,3,1,0,0,1,0,0,2,3,2,661
45,"PS AJARA",873,590,0,1463,489,214,0,703,492,0,447,70,177,1,1,0,2,0,2,0,3,0,0,703
46,"PS BHAIDPIR EAST",452,385,0,837,218,146,0,364,357,0,122,64,168,1,2,0,1,0,0,1,5,0,0,364
47,"PS BHAIDPUR WEST",635,528,0,1163,319,191,0,510,507,0,237,171,77,1,0,0,1,6,4,3,5,1,4,510
48,"PS NAHRA BOJH",265,240,0,505,195,166,0,361,359,0,291,1,66,1,0,0,0,0,0,0,0,0,2,361
49,"PS BALLPUR RAJPUR NORTH",657,479,0,1136,394,265,0,659,657,0,336,33,257,4,1,1,2,0,0,3,11,5,6,659
50,"PS BALLPUR RAJPUR SOUTH",376,316,0,692,219,177,0,396,315,0,271,6,113,1,0,0,1,0,0,1,2,0,1,396
51,"PS BANJHARHAR GANUPUR",363,243,1,607,242,174,0,416,392,0,355,12,36,0,1,0,0,0,0,5,0,0,7,416
52,"PS ALAINAGAR M GANUPUR",211,175,0,386,161,116,0,277,250,0,265,1,4,0,0,1,0,0,0,0,1,1,4,277
53,"PS HINHAPUR",323,213,0,536,209,114,0,323,213,0,178,49,85,0,1,0,1,0,0,2,1,3,3,323
54,"SHRI MAHAVEER MV PUNAVAR",437,366,0,803,355,289,0,644,604,0,496,12,129,3,0,0,0,0,1,0,1,0,2,644
55,"PS SARAY SHISHGRAN",644,463,0,1107,391,300,0,691,691,0,447,16,201,2,0,0,1,0,1,2,9,1,11,691
56,"PS BAIVAHA EAST",909,656,0,1565,580,363,0,943,940,0,634,106,184,4,0,0,2,0,0,0,3,2,8,943
57,"PS BAIVAHA WEST",812,572,0,1384,452,277,0,729,729,0,631,32,44,1,0,0,1,0,1,0,5,1,13,729
58,"PS RATHA",451,350,0,801,314,228,0,542,517,0,517,2,18,0,0,0,0,0,0,0,2,1,2,542
59,"PS RAMPUR KHAS",829,657,0,1486,581,335,0,916,616,0,793,27,92,0,0,0,4,0,0,0,0,0,0,916
60,"PMV MASUDPUR",800,610,1,1411,444,341,0,785,781,0,218,347,193,4,0,1,0,1,1,3,7,3,7,785
61,"PS NANDPUR",552,367,0,919,380,181,0,561,561,0,522,6,23,1,0,0,0,0,0,0,2,1,6,561
62,"PS EKGHARA BIDHUNA",566,417,0,983,312,192,0,504,502,0,49,66,373,2,1,0,0,1,1,3,5,2,1,504
63,"PS MANIKOTHI",624,490,0,1114,255,220,0,475,475,0,60,75,327,3,1,0,1,1,0,1,5,0,1,475
64,"PS MURADPIR EAST",687,514,0,1201,354,237,0,591,591,0,238,70,198,1,3,0,75,0,1,1,1,1,2,591
65,"PS MIRADPUR WEST",285,204,0,489,173,117,0,290,283,0,218,1,23,1,0,0,45,0,0,0,1,0,1,290
66,"PMV KUDARKOT NORTH ROOM N0 1",474,385,0,859,282,185,0,467,462,0,67,9,383,3,2,0,0,0,0,2,0,1,0,467
67,"PMV KUDARKOT NORTH ROOM N0 2",580,439,0,1019,293,217,0,510,483,0,137,27,318,15,1,0,0,2,1,1,3,2,3,510
68,"PS SECOND KUDARKOT EAST",413,354,0,767,198,136,0,334,318,0,82,13,211,10,1,2,2,0,1,2,5,0,5,334
69,"PS SECOND KUDARKOT WEST",444,393,0,837,216,187,0,403,396,0,206,11,174,5,0,0,3,0,0,2,1,0,1,403
70,"PS KUDARKOT",511,434,0,945,246,197,0,443,428,0,282,4,126,14,1,0,7,0,0,2,0,0,7,443
71,"PS GOPIYAPUR",260,208,0,468,155,126,0,281,280,0,229,3,41,0,1,0,0,1,0,0,2,2,2,281
72,"PS SHANKARPUR",121,114,0,235,92,99,0,191,191,0,130,2,58,1,0,0,0,0,0,0,0,0,0,191
73,"PS BIBIPUR",511,398,0,909,295,198,0,493,481,0,269,18,191,4,0,0,1,0,0,2,3,1,4,493
74,"PMV HAMIRPUR RURU",836,663,1,1500,396,320,0,716,712,0,247,9,431,8,1,1,0,1,2,5,2,3,6,716
75,"PS SAMAYAN EAST",737,616,0,1353,351,327,0,678,666,0,414,91,150,5,0,0,1,1,1,1,3,4,7,678
76,"PS SAMAYAN WEST",438,354,0,792,225,190,0,415,415,0,196,144,63,0,0,1,1,1,0,0,4,2,3,415
77,"PS RATANPUR",639,500,0,1139,225,190,0,415,415,0,196,144,63,0,0,1,1,1,0,0,4,2,3,415
78,"PS NAGLA HIRMI",471,435,0,906,244,189,0,433,400,0,241,53,130,2,0,0,0,0,0,2,2,1,2,433
79,"PS FAIJUJLAPUR",388,346,0,734,175,146,0,321,300,0,110,9,195,3,1,0,0,0,0,0,0,1,2,321
80,"PS SARAY KACHWAHA",513,409,0,922,279,222,0,501,488,0,149,45,289,6,0,0,1,0,1,0,6,2,2,501
81,"PS KABA",515,442,0,957,273,230,0,503,496,0,195,26,271,1,1,1,1,0,0,1,1,2,3,503
82,"PS GULALPUR",230,167,0,397,128,81,0,209,209,0,182,1,24,1,0,0,0,0,0,0,0,0,1,209
83,"PS CHIKTA",520,406,0,926,281,199,0,480,480,0,197,42,189,6,5,0,0,0,0,36,3,1,1,480
84,"PS SURENDHA",768,641,0,1409,360,298,0,658,658,0,173,40,421,2,0,2,0,0,2,3,8,2,5,658
85,"PS BEELPUR AIRWA",608,498,0,1106,330,271,0,601,601,0,261,69,253,2,0,1,0,0,1,3,4,2,5,601
86,"PS SURAJPUR AIRWA",416,296,0,712,257,173,0,430,378,0,310,3,105,3,0,0,0,0,0,1,2,5,1,430
87,"PS BADHIN NORTH",616,506,0,1122,346,281,0,627,627,0,276,45,296,2,0,0,2,1,0,1,2,0,2,627
88,"PS BADHIN SOUTH",622,453,0,1075,373,256,0,629,627,0,360,13,232,4,0,0,0,1,2,3,3,2,9,629
89,"PS BADHIN",342,224,0,566,205,133,0,338,338,0,0,315,2,16,0,0,0,0,0,0,0,2,3,338
90,"PS BHATORA",211,187,0,398,150,125,0,275,275,0,42,175,56,1,0,1,0,0,0,0,0,0,0,275
91,"PS KARMUPUR",312,284,0,596,217,198,0,415,408,0,168,44,196,0,0,0,0,0,2,2,2,1,0,415
92,"PS AHILWARA",177,135,0,312,161,127,0,288,207,0,282,1,5,0,0,0,0,0,0,0,0,0,0,288
93,"SAHKARI SANGH HARCHANDRAPUR",443,398,0,841,296,256,0,552,502,0,313,38,190,2,0,0,0,0,0,2,4,1,2,552
94,"PS  BHATOLI ROOM NO1",635,543,0,1178,318,244,0,562,545,0,116,22,416,0,0,0,0,0,1,1,1,1,4,562
95,"PS BHATOLI ROOM NO1",521,438,0,959,281,208,0,489,475,0,70,68,337,4,0,0,1,1,2,0,2,1,3,489
96,"PS PILAKHANA",186,173,0,359,119,122,0,241,230,0,163,1,70,1,0,0,0,0,0,0,2,1,3,241
97,"PS CHANDOLI",638,557,0,1195,410,310,0,720,717,0,421,116,164,4,0,0,0,1,2,0,2,0,10,720
98,"PS RATHGAV",763,607,0,1370,433,344,0,777,777,0,372,19,375,3,1,0,0,1,1,1,1,0,3,777
99,"PMV RATHAGAV",388,315,0,703,175,135,0,310,275,0,125,49,132,1,0,1,0,1,0,0,1,0,0,310
100,"PMV RATHAGAV SOUTH",342,275,0,617,205,143,0,348,348,0,177,3,153,2,0,0,0,0,0,1,4,3,5,348
101,"PS NAGLA NIRJAN ROOM  NO1",717,503,0,1220,442,322,0,764,700,0,505,40,193,5,0,0,0,1,1,3,3,2,11,764
102,"PS NAGLA NIRJAN ROOM  NO2",654,512,0,1166,421,294,0,715,690,0,438,119,137,4,0,0,1,1,0,1,5,3,6,715
103,"PS KALA BOJH",743,584,0,1327,425,265,0,690,687,0,306,36,336,2,0,0,1,0,0,2,3,1,3,690
104,"PS DHANWALI EAST",508,442,0,950,309,266,0,575,570,0,89,145,325,3,1,0,1,0,1,2,1,3,4,575
105,"PS DHANWALI WEST",519,395,0,914,329,226,0,555,555,0,181,5,354,2,1,1,2,0,0,1,2,2,4,555
106,"PS PASUA",539,425,0,964,336,246,0,582,508,0,56,21,496,4,0,0,0,0,0,1,2,1,1,582
107,"PS BHAGWANPUR",317,240,0,557,233,156,0,389,310,0,162,175,46,1,0,0,0,0,0,1,0,3,1,389
108,"PS KHANJAHAPUR CHIRKUA",455,357,0,812,301,231,0,532,532,0,155,53,319,0,0,0,0,0,0,0,2,2,1,532
109,"PS KHANJAHAPUR CHIRKUA ROOM NO 2",472,375,0,847,273,241,0,514,511,0,66,205,228,4,1,0,0,0,0,2,7,1,0,514
110,"ADARSHA UMV BIDHUNA ROOM NO1",446,392,0,838,247,177,0,424,406,0,90,10,311,5,0,0,0,3,1,2,2,0,0,424
111,"ADARSHA UMV BIDHUNA ROOM NO12",575,481,0,1056,346,228,0,574,574,0,113,44,400,4,0,0,0,0,2,2,4,2,3,574
112,"PS CHANDARPUR",581,444,0,1025,366,243,0,609,553,0,221,33,348,4,0,0,0,0,0,1,1,0,1,609
113,"PS BIDHUAN PRATHAM ROOM NO1",511,462,0,973,311,254,0,565,565,0,183,7,369,3,0,0,1,0,1,0,0,0,1,565
114,"PS BIDHUAN PRATHAM ROOM N2",501,447,0,948,291,259,0,550,549,0,157,6,375,4,1,0,0,1,0,0,2,1,3,550
115,"PS BIDHUNA OLD BIDHUNA NORTH ROOM NO 1",875,713,0,1588,533,387,0,920,920,0,321,29,552,2,0,6,0,0,0,2,4,1,3,920
116,"PS BIDHUNA OLD BIDHUNA SOUTH ROOM NO 2",459,394,0,853,266,251,0,517,517,0,241,12,253,1,1,0,1,0,0,0,4,1,3,517
117,"PS BIDHUNA OLD BIDHUNA SOUTH ROOM NO 3",492,424,0,916,289,243,0,532,500,0,245,9,261,9,0,0,0,0,0,0,2,0,6,532
118,"PMV BIDHUAN ROOM NO 1",425,368,0,793,243,209,0,452,442,0,191,1,255,0,0,0,0,0,0,1,1,0,3,452
119,"PMV BIDHUAN ROOM NO 2",661,583,0,1244,378,349,0,727,712,0,197,50,462,10,0,0,1,1,0,2,1,0,3,727
120,"PMV BIDHUAN ROOM NO 3",624,515,0,1139,320,264,0,584,574,0,97,14,466,2,0,0,0,0,0,2,0,0,3,584
121,"PMV BIDHUAN ROOM NO 4",892,732,0,1624,392,359,0,751,739,0,249,18,466,4,0,2,0,1,1,1,4,3,2,751
122,"PMV BIDHUAN ROOM NO 5",489,459,0,948,222,214,0,436,433,0,169,40,223,0,1,1,1,0,0,0,1,0,0,436
123,"PV AMBEDKAR NAGAR TOWN BIDHUNA",544,490,0,1034,300,287,0,587,532,0,200,52,310,9,2,2,0,0,1,3,3,1,4,587
124,"PV AMBEDKAR NAGAR TOWN BIDHUNA WEST ROOM",677,607,0,1284,379,352,0,731,697,0,317,120,265,15,3,2,0,1,1,0,1,0,6,731
