ST_CODE,PC_CODE,STATE,PC,NO,NAME,PARTY
S01,1,S01-Andhra Pradesh,1-Adilabad,1,GODAM NAGESH,Telangana Rashtra Samithi
S01,1,S01-Andhra Pradesh,1-Adilabad,2,NARESH,Indian National Congress
S01,1,S01-Andhra Pradesh,1-Adilabad,3,RAMESH RATHOD,Telugu Desam
S01,1,S01-Andhra Pradesh,1-Adilabad,4,RATHOD SADASHIV,Bahujan Samaj Party
S01,1,S01-Andhra Pradesh,1-Adilabad,5,NETHAWATH RAMDAS,Independent
S01,1,S01-Andhra Pradesh,1-Adilabad,6,PAWAR KRISHNA,Independent
S01,1,S01-Andhra Pradesh,1-Adilabad,7,BANKA SAHADEV,Independent
S01,1,S01-Andhra Pradesh,1-Adilabad,8,MOSALI CHINNAIAH,Independent
S01,2,S01-Andhra Pradesh,2-Peddapalle,1,DR.JANAPATI SARAT BABU,Telugu Desam
S01,2,S01-Andhra Pradesh,2-Peddapalle,2,TAGARAM SHANKAR LAL,Bahujan Samaj Party
S01,2,S01-Andhra Pradesh,2-Peddapalle,3,BALKA SUMAN,Telangana Rashtra Samithi
S01,2,S01-Andhra Pradesh,2-Peddapalle,4,G. VIVEKANAND,Indian National Congress
S01,2,S01-Andhra Pradesh,2-Peddapalle,5,KALVALA SHANKAR,Pyramid Party of India
S01,2,S01-Andhra Pradesh,2-Peddapalle,6,KALVALA SANJEEV,Republican Party of India
S01,2,S01-Andhra Pradesh,2-Peddapalle,7,BOTHA VENKATA MALLAIAH,B. C. United Front
S01,2,S01-Andhra Pradesh,2-Peddapalle,8,J.V. RAJU,New India Party
S01,2,S01-Andhra Pradesh,2-Peddapalle,9,VENKATA SWAMY INJAM,Mahajana Socialist Party
S01,2,S01-Andhra Pradesh,2-Peddapalle,10,VELTHURU MALLAIAH,Republican Paksha (Khoripa)
S01,2,S01-Andhra Pradesh,2-Peddapalle,11,KAMILLA JAYA RAO,Independent
S01,2,S01-Andhra Pradesh,2-Peddapalle,12,GADDALA VINAY KUMAR,Independent
S01,2,S01-Andhra Pradesh,2-Peddapalle,13,GORRE RAMESH,Independent
S01,2,S01-Andhra Pradesh,2-Peddapalle,14,JINNA RAMADEVI,Independent
S01,2,S01-Andhra Pradesh,2-Peddapalle,15,THALLAPALLI SRINIVAS,Independent
S01,2,S01-Andhra Pradesh,2-Peddapalle,16,BUPELLI NARAYANA,Independent
S01,2,S01-Andhra Pradesh,2-Peddapalle,17,MOUTAM RAVINDER,Independent
S01,3,S01-Andhra Pradesh,3-Karimnagar,1,CHENNAMANENI VIDYA SAGAR RAO,Bharatiya Janata Party
S01,3,S01-Andhra Pradesh,3-Karimnagar,2,PONNAM PRABHAKAR,Indian National Congress
S01,3,S01-Andhra Pradesh,3-Karimnagar,3,BURLA RAVI,Nationalist Congress Party
S01,3,S01-Andhra Pradesh,3-Karimnagar,4,BYAGARI LAXMAN,Bahujan Samaj Party
S01,3,S01-Andhra Pradesh,3-Karimnagar,5,VINOD KUMAR BOINAPALLY,Telangana Rashtra Samithi
S01,3,S01-Andhra Pradesh,3-Karimnagar,6,DR.DHARMAIAH VENDAVETLA,Bahujan Mukti Party
S01,3,S01-Andhra Pradesh,3-Karimnagar,7,LENKALA PRABHAKAR REDDY,Pyramid Party of India
S01,3,S01-Andhra Pradesh,3-Karimnagar,8,MEESALA RAJI REDDY,Yuvajana Sramika Rythu Congress Party
S01,3,S01-Andhra Pradesh,3-Karimnagar,9,RANAVENI LAKSHMAN,New India Party
S01,3,S01-Andhra Pradesh,3-Karimnagar,10,REDDI MALLA SRINIVAS,Republican Party of India (A)
S01,3,S01-Andhra Pradesh,3-Karimnagar,11,SHAIK MAHMOOD,Welfare Party Of India
S01,3,S01-Andhra Pradesh,3-Karimnagar,12,UPPULETI LAXMAN,Independent
S01,3,S01-Andhra Pradesh,3-Karimnagar,13,KANDEM PRABHAKAR,Independent
S01,3,S01-Andhra Pradesh,3-Karimnagar,14,PULIKOTA RAMESH,Independent
S01,3,S01-Andhra Pradesh,3-Karimnagar,15,MALLESH YADAV BARLA,Independent
S01,3,S01-Andhra Pradesh,3-Karimnagar,16,MOHAMMED AMJAD MOHIUDDIN,Independent
S01,3,S01-Andhra Pradesh,3-Karimnagar,17,SRINIVAS REDDY LINGAMPALLY,Independent
S01,4,S01-Andhra Pradesh,4-Nizamabad,1,ENDALA LAKSHMINARAYANA,Bharatiya Janata Party
S01,4,S01-Andhra Pradesh,4-Nizamabad,2,KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi
S01,4,S01-Andhra Pradesh,4-Nizamabad,3,TALARI RAMULU,Bahujan Samaj Party
S01,4,S01-Andhra Pradesh,4-Nizamabad,4,MADHU YASKHI GOUD,Indian National Congress
S01,4,S01-Andhra Pradesh,4-Nizamabad,5,ABDUL GANI,B. C. United Front
S01,4,S01-Andhra Pradesh,4-Nizamabad,6,BANJA VEERAPPA,Pyramid Party of India
S01,4,S01-Andhra Pradesh,4-Nizamabad,7,MALIK MOHTASIM KHAN,Welfare Party Of India
S01,4,S01-Andhra Pradesh,4-Nizamabad,8,RAPELLY SRINIVAS,Aam Aadmi Party
S01,4,S01-Andhra Pradesh,4-Nizamabad,9,SAGAR SUDDALA,Bahujan Mukti Party
S01,4,S01-Andhra Pradesh,4-Nizamabad,10,SINGAREDDY RAVINDRA REDDY,Yuvajana Sramika Rythu Congress Party
S01,4,S01-Andhra Pradesh,4-Nizamabad,11,ABDUL KAREEM KHAN (BABU),Independent
S01,4,S01-Andhra Pradesh,4-Nizamabad,12,KANDEM PRABHAKAR,Independent
S01,4,S01-Andhra Pradesh,4-Nizamabad,13,KOTAPATI NARSIMHAM NAIDU,Independent
S01,4,S01-Andhra Pradesh,4-Nizamabad,14,S. CHANDRAIAH,Independent
S01,4,S01-Andhra Pradesh,4-Nizamabad,15,CHIRULINGADRULA VENKATESHAM,Independent
S01,4,S01-Andhra Pradesh,4-Nizamabad,16,BAGWAN B,Independent
S01,5,S01-Andhra Pradesh,5-Zahirabad,1,B.B. PATIL,Telangana Rashtra Samithi
S01,5,S01-Andhra Pradesh,5-Zahirabad,2,K.MADAN MOHAN RAO,Telugu Desam
S01,5,S01-Andhra Pradesh,5-Zahirabad,3,SAYYAD FEROJODDIN,Bahujan Samaj Party
S01,5,S01-Andhra Pradesh,5-Zahirabad,4,SURESH KUMAR SHETKAR,Indian National Congress
S01,5,S01-Andhra Pradesh,5-Zahirabad,5,MARRI DURGESH,Republican Party of India (A)
S01,5,S01-Andhra Pradesh,5-Zahirabad,6,MAHMOOD MOHIUDDIN,Yuvajana Sramika Rythu Congress Party
S01,5,S01-Andhra Pradesh,5-Zahirabad,7,DR. SUNEEL KUMAR CHOWDHARY,Aam Aadmi Party
S01,5,S01-Andhra Pradesh,5-Zahirabad,8,TANDALE AMBAJI RAO,Independent
S01,5,S01-Andhra Pradesh,5-Zahirabad,9,BENJAMIN RAJU,Independent
S01,5,S01-Andhra Pradesh,5-Zahirabad,10,RAMA RAO,Independent
S01,6,S01-Andhra Pradesh,6-Medak,1,KALVAKUNTLA CHANDRASHEKAR RAO,Telangana Rashtra Samithi
S01,6,S01-Andhra Pradesh,6-Medak,2,CHAGANLA NARENDRA NATH,Bharatiya Janata Party
S01,6,S01-Andhra Pradesh,6-Medak,3,Y. SHANKAR GOUD,Bahujan Samaj Party
S01,6,S01-Andhra Pradesh,6-Medak,4,DR.P. SHRAVAN KUMAR REDDY,Indian National Congress
S01,6,S01-Andhra Pradesh,6-Medak,5,IQBAL ALI ZAFAR,Majlis Bachao Tahreek
S01,6,S01-Andhra Pradesh,6-Medak,6,KOMPELLI PRABHUDAS,Republican Party of India (A)
S01,6,S01-Andhra Pradesh,6-Medak,7,"PRABHUGOUD, PULLAIAHGARI",Yuvajana Sramika Rythu Congress Party
S01,6,S01-Andhra Pradesh,6-Medak,8,BOMMA BALESHAM,Pyramid Party of India
S01,6,S01-Andhra Pradesh,6-Medak,9,KUNDETI. RAVI.,Independent
S01,6,S01-Andhra Pradesh,6-Medak,10,GAJABINKAR BANSILAL,Independent
S01,6,S01-Andhra Pradesh,6-Medak,11,GURJADA BHEERAIAH YADAV,Independent
S01,6,S01-Andhra Pradesh,6-Medak,12,BALARAJU MITTAPALLY,Independent
S01,6,S01-Andhra Pradesh,6-Medak,13,MEKA. SUBBA RAO,Independent
S01,7,S01-Andhra Pradesh,7-Malkajgiri,1,KARUNAKAR.R,Bahujan Samaj Party
S01,7,S01-Andhra Pradesh,7-Malkajgiri,2,CH.MALLA REDDY,Telugu Desam
S01,7,S01-Andhra Pradesh,7-Malkajgiri,3,SARVEY SATHYANARAYANA,Indian National Congress
S01,7,S01-Andhra Pradesh,7-Malkajgiri,4,HANUMANTH RAO MYNAMPALLY,Telangana Rashtra Samithi
S01,7,S01-Andhra Pradesh,7-Malkajgiri,5,DR.JAYAPRAKASH  NARAYAN .N,Lok Satta Party
S01,7,S01-Andhra Pradesh,7-Malkajgiri,6,JAJULA BHASKAR,Shramajeevi Party
S01,7,S01-Andhra Pradesh,7-Malkajgiri,7,V.DINESH REDDY,Yuvajana Sramika Rythu Congress Party
S01,7,S01-Andhra Pradesh,7-Malkajgiri,8,DIVAKAR DHARANIKOTA SUDHAKAR,All India Majlis-E-Ittehadul Muslimeen
S01,7,S01-Andhra Pradesh,7-Malkajgiri,9,PADURI SRINIVAS REDDY,Telangana Loksatta Party
S01,7,S01-Andhra Pradesh,7-Malkajgiri,10,BANDI SUDHAKAR,Jai Samaikyandhra Party
S01,7,S01-Andhra Pradesh,7-Malkajgiri,11,MURARI.T.N,Shivsena
S01,7,S01-Andhra Pradesh,7-Malkajgiri,12,SATHYANARAYANA YAADAV PEDDIBOYINA,B.C.Bharata Desam Party
S01,7,S01-Andhra Pradesh,7-Malkajgiri,13,SUTHARAPU PADMAIAH,Andhra Pradesh Rashtra Samaikya Samithi Party
S01,7,S01-Andhra Pradesh,7-Malkajgiri,14,DR.N.V.SUDHA KIRAN,Aam Aadmi Party
S01,7,S01-Andhra Pradesh,7-Malkajgiri,15,SURAKANTI VENKAT REDDY,Pyramid Party of India
S01,7,S01-Andhra Pradesh,7-Malkajgiri,16,ANJANEYULU.E,Independent
S01,7,S01-Andhra Pradesh,7-Malkajgiri,17,KANTE SAYANNA,Independent
S01,7,S01-Andhra Pradesh,7-Malkajgiri,18,KOYALKAR BHOJ RAJ,Independent
S01,7,S01-Andhra Pradesh,7-Malkajgiri,19,GAJABINKAR BANSILAL,Independent
S01,7,S01-Andhra Pradesh,7-Malkajgiri,20,DASARI BHARATH REDDY,Independent
S01,7,S01-Andhra Pradesh,7-Malkajgiri,21,PROF. K.NAGESHWAR,Independent
S01,7,S01-Andhra Pradesh,7-Malkajgiri,22,M.NAGESWARA RAO,Independent
S01,7,S01-Andhra Pradesh,7-Malkajgiri,23,PEESARI SATISH REDDY,Independent
S01,7,S01-Andhra Pradesh,7-Malkajgiri,24,POTTURI TULASI DAS,Independent
S01,7,S01-Andhra Pradesh,7-Malkajgiri,25,POLISETTY KRISHNA RAO,Independent
S01,7,S01-Andhra Pradesh,7-Malkajgiri,26,D.BIKSHAPATHI,Independent
S01,7,S01-Andhra Pradesh,7-Malkajgiri,27,RAHUL PANDIT,Independent
S01,7,S01-Andhra Pradesh,7-Malkajgiri,28,VATTIKUTI RAMARAO GOUD,Independent
S01,7,S01-Andhra Pradesh,7-Malkajgiri,29,M.T.VARUGHESE,Independent
S01,7,S01-Andhra Pradesh,7-Malkajgiri,30,B.VEERA HANUMANTHA REDDY,Independent
S01,8,S01-Andhra Pradesh,8-Secundrabad,1,M.ANJAN KUMAR YADAV,Indian National Congress
S01,8,S01-Andhra Pradesh,8-Secundrabad,2,KHAJA KHALID ANWAR,Bahujan Samaj Party
S01,8,S01-Andhra Pradesh,8-Secundrabad,3,BANDARU DATTATREYA,Bharatiya Janata Party
S01,8,S01-Andhra Pradesh,8-Secundrabad,4,T.BHEEMSEN,Telangana Rashtra Samithi
S01,8,S01-Andhra Pradesh,8-Secundrabad,5,ABDUS SATTAR MUJAHED,Akhil Bharatiya Muslim League (Secular)
S01,8,S01-Andhra Pradesh,8-Secundrabad,6,DR.N.S.UDAY KUMAR,Prem Janata Dal
S01,8,S01-Andhra Pradesh,8-Secundrabad,7,KARANKOTE NARENDER,All India Forward Bloc
S01,8,S01-Andhra Pradesh,8-Secundrabad,8,KUMAR CHOWDARY YADAV.G,Samaikyandhra Parirakshana Samithi
S01,8,S01-Andhra Pradesh,8-Secundrabad,9,KLHAJA SIRAJUDDIN AZAZ,Majlis Markaz-e-Siyasee Party
S01,8,S01-Andhra Pradesh,8-Secundrabad,10,CHAYA RATAN MUSINIPALLY,Aam Aadmi Party
S01,8,S01-Andhra Pradesh,8-Secundrabad,11,B.DEEPAK KUMAR,Republican Party of India (Khobragade)
S01,8,S01-Andhra Pradesh,8-Secundrabad,12,NARLA MOHAN RAO,All India Majlis-E-Ittehadul Muslimeen
S01,8,S01-Andhra Pradesh,8-Secundrabad,13,DR.MALATHI LATHA EPPA,Jantantra Party
S01,8,S01-Andhra Pradesh,8-Secundrabad,14,CH. MURAHARI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)
S01,8,S01-Andhra Pradesh,8-Secundrabad,15,MOHD IMTIAZ HUSSAIN,Indian Union Muslim League
S01,8,S01-Andhra Pradesh,8-Secundrabad,16,RAGHU DESHABOINA,Bahujan Mukti Party
S01,8,S01-Andhra Pradesh,8-Secundrabad,17,J.RAMULU,Revolutionary Socialist Party
