Constituency,ST_CODE,PC_CODE
BHONGIR,S01,14
BHOPAL,S12,19
BHUBANESWAR,S18,18
BIDAR,S10,7
BIJAPUR,S10,4
BIJNOR,S24,4
BIKANER,S20,2
BILASPUR,S26,5
BIRBHUM,S25,42
BISHNUPUR,S25,37
BOLANGIR,S18,10
BOLPUR,S25,41
BULANDSHAHR,S24,14
BULDHANA,S13,5
BUXAR,S04,33
CHALAKUDY,S11,11
CHAMARAJANAGAR,S10,22
CHANDIGARH,U02,1
CHANDNI CHOWK,U05,1
CHANDRAPUR,S13,13
CHATRA,S27,4
CHENNAI CENTRAL,S22,4
CHENNAI NORTH,S22,2
CHENNAI SOUTH,S22,3
CHEVELLA,S01,10
CHHINDWARA,S12,16
CHHOTA UDAIPUR,S06,21
CHIDAMBARAM,S22,27
CHIKKBALLAPUR,S10,27
CHIKKODI,S10,1
CHITRADURGA,S10,18
CHITTOOR,S01,42
CHITTORGARH,S20,21
CHURU,S20,3
COIMBATORE,S22,20
COOCHBEHAR,S25,1
CUDDALORE,S22,26
CUTTACK,S18,14
DADRA & NAGAR HAVELI,U03,1
DAHOD,S06,19
DAKSHINA KANNADA,S10,17
DAMAN & DIU,U04,1
DAMOH,S12,7
DARBHANGA,S04,14
DARJEELING,S25,4
DAUSA,S20,11
DAVANAGERE,S10,13
DEWAS,S12,21
DHANBAD,S27,7
DHAR,S12,25
DHARMAPURI,S22,10
DHARWAD,S10,11
DHAURAHRA,S24,29
DHENKANAL,S18,9
DHUBRI,S03,4
DHULE,S13,2
DIBRUGARH,S03,13
DINDIGUL,S22,22
DINDORI,S13,20
DUMKA,S27,2
DURG,S26,7
EAST DELHI,U05,3
ELURU,S01,27
ERNAKULAM,S11,12
ERODE,S22,17
ETAH,S24,22
ETAWAH,S24,41
FAIZABAD,S24,54
FARIDABAD,S07,10
FARIDKOT,S19,9
FARRUKHABAD,S24,40
FATEHGARH SAHIB,S19,8
FATEHPUR,S24,49
FATEHPUR SIKRI,S24,19
FIROZABAD,S24,20
FIROZPUR,S19,10
GADCHIROLI-CHIMUR,S13,12
GANDHINAGAR,S06,6
GANGANAGAR,S20,1
GARHWAL,S28,2
GAUHATI,S03,7
GAUTAM BUDHHA NAGAR,S24,13
GAYA,S04,38
GHAZIABAD,S24,12
GIRIDIH,S27,6
GODDA,S27,3
GONDA,S24,59
GULBARGA,S10,5
GUNA,S12,4
GUNTUR,S01,30
GURDASPUR,S19,1
GURGAON,S07,9
GWALIOR,S12,3
HAJIPUR,S04,21
HAMIRPUR,S08,3
HARDOI,S24,31
HARDWAR,S28,5
HASSAN,S10,16
HATHRAS,S24,16
HATKANANGLE,S13,48
HAVERI,S10,10
HAZARIBAGH,S27,14
HINDUPUR,S01,37
HINGOLI,S13,15
HISAR,S07,4
HOOGHLY,S25,28
HOSHANGABAD,S12,17
HOSHIARPUR,S19,5
HOWRAH,S25,25
HYDERABAD,S01,9
IDUKKI,S11,13
INDORE,S12,26
INNER MANIPUR,S14,1
JABALPUR,S12,13
JAGATSINGHPUR,S18,16
JAHANABAD,S04,36
JAIPUR,S20,7
JAIPUR RURAL,S20,6
JAJPUR,S18,8
JALANDHAR,S19,4
JALAUN,S24,45
JALGAON,S13,3
JALNA,S13,18
JALORE,S20,18
JALPAIGURI,S25,3
JAMMU,S09,6
JAMNAGAR,S06,12
JAMSHEDPUR,S27,9
JAMUI,S04,40
JANGIPUR,S25,9
JANJGIR-CHAMPA,S26,3
JHALAWAR-BARAN,S20,25
JHANJHARPUR,S04,7
JHANSI,S24,46
JHARGRAM,S25,33
JHUNJHUNU,S20,4
JODHPUR,S20,16
JORHAT,S03,12
JUNAGADH,S06,13
KACHCHH,S06,1
KADAPA,S01,38
KAIRANA,S24,2
KAISERGANJ,S24,57
KAKINADA,S01,23
KALAHANDI,S18,11
KALIABOR,S03,11
KALLAKURICHI,S22,14
KALYAN,S13,24
KANCHEEPURAM,S22,6
KANDHAMAL,S18,13
KANGRA,S08,1
KANKER,S26,11
KANNAUJ,S24,42
KANNIYAKUMARI,S22,39
KANNUR,S11,2
KANPUR,S24,43
KARAKAT,S04,35
KARAULI-DHOLPUR,S20,10
KARIMGANJ,S03,1
KARIMNAGAR,S01,3
KARNAL,S07,5
KARUR,S22,23
KASARAGOD,S11,1
KATIHAR,S04,11
KAUSHAMBI,S24,50
KENDRAPARA,S18,15
KEONJHAR,S18,4
KHADOOR SAHIB,S19,3
KHAGARIA,S04,25
KHAJURAHO,S12,8
KHAMMAM,S01,17
KHANDWA,S12,28
KHARGONE,S12,27
KHEDA,S06,17
KHERI,S24,28
KHUNTI,S27,11
KISHANGANJ,S04,10
KODARMA,S27,5
KOKRAJHAR,S03,5
KOLAR,S10,28
KOLHAPUR,S13,47
KOLLAM,S11,18
KOPPAL,S10,8
KORAPUT,S18,21
KORBA,S26,4
KOTA,S20,24
KOTTAYAM,S11,14
KOZHIKODE,S11,5
KRISHNAGIRI,S22,9
KURNOOL,S01,35
KURUKSHETRA,S07,2
LADAKH,S09,4
LAKHIMPUR,S03,14
LAKSHADWEEP,U06,1
LATUR,S13,41
LOHARDAGA,S27,12
LUCKNOW,S24,35
LUDHIANA,S19,7
MACHILIPATNAM,S01,28
MADHA,S13,43
MADHEPURA,S04,13
MADHUBANI,S04,6
MADURAI,S22,32
MAHABUBABAD,S01,16
MAHARAJGANJ,S04,19
MAHASAMUND,S26,9
MAHBUBNAGAR,S01,11
MAHESANA,S06,4
MAINPURI,S24,21
MALAPPURAM,S11,6
MALDAHA DAKSHIN,S25,8
MALDAHA UTTAR,S25,7
MALKAJGIRI,S01,7
MANDI,S08,2
MANDLA,S12,14
MANDSOUR,S12,23
MANDYA,S10,20
MANGALDOI,S03,8
MATHURA,S24,17
MAVAL,S13,33
MAVELIKKARA,S11,16
MAYILADUTHURAI,S22,28
MAYURBHANJ,S18,5
MEDAK,S01,6
MEDINIPUR,S25,34
MEERUT,S24,10
MISRIKH,S24,32
MIZORAM,S16,1
MOHANLALGANJ,S24,34
MORADABAD,S24,6
MORENA,S12,1
MUMBAI NORTH,S13,26
MUMBAI NORTH CENTRAL,S13,29
MUMBAI NORTH EAST,S13,28
MUMBAI NORTH WEST,S13,27
MUMBAI SOUTH,S13,31
MUMBAI SOUTH CENTRAL,S13,30
MUNGER,S04,28
MURSHIDABAD,S25,11
MUZAFFARNAGAR,S24,3
MUZAFFARPUR,S04,15
MYSORE,S10,21
NABARANGPUR,S18,12
NAGALAND,S17,1
NAGAPATTINAM,S22,29
NAGARKURNOOL,S01,12
NAGAUR,S20,14
NAGINA,S24,5
NAGPUR,S13,10
NAINITAL-UDHAMSINGH NAGAR,S28,4
NALANDA,S04,29
NALGONDA,S01,13
NAMAKKAL,S22,16
NANDED,S13,16
NANDURBAR,S13,1
NANDYAL,S01,34
NARASARAOPET,S01,31
NARSAPURAM,S01,26
NASHIK,S13,21
NAVSARI,S06,25
NAWADA,S04,39
NELLORE,S01,39
NEW DELHI,U05,4
NILGIRIS,S22,19
NIZAMABAD,S01,4
NORTH EAST DELHI,U05,2
NORTH GOA,S05,1
NORTH WEST DELHI,U05,5
NOWGONG,S03,10
ONGOLE,S01,33
OSMANABAD,S13,40
OUTER MANIPUR,S14,2
PALAKKAD,S11,8
PALAMAU,S27,13
PALGHAR,S13,22
PALI,S20,15
PANCHMAHAL,S06,18
PARBHANI,S13,17
PATALIPUTRA,S04,31
PATAN,S06,3
PATHANAMTHITTA,S11,17
PATIALA,S19,13
PATNA SAHIB,S04,30
PEDDAPALLE,S01,2
PERAMBALUR,S22,25
PHULPUR,S24,51
PILIBHIT,S24,26
POLLACHI,S22,21
PONDICHERRY,U07,1
PONNANI,S11,7
PORBANDAR,S06,11
PRATAPGARH,S24,39
PUNE,S13,34
PURI,S18,17
PURNIA,S04,12
PURULIA,S25,35
RAE BARELI,S24,36
RAICHUR,S10,6
RAIGAD,S13,32
RAIGANJ,S25,5
RAIGARH,S26,2
RAIPUR,S26,8
RAJAHMUNDRY,S01,25
RAJAMPET,S01,41
RAJGARH,S12,20
RAJKOT,S06,10
RAJMAHAL,S27,1
RAJNANDGAON,S26,6
RAJSAMAND,S20,22
RAMANATHAPURAM,S22,35
RAMPUR,S24,7
RAMTEK,S13,9
RANCHI,S27,8
RATLAM,S12,24
RATNAGIRI SINDHUDURG,S13,46
RAVER,S13,4
REWA,S12,10
ROHTAK,S07,7
SABARKANTHA,S06,5
SAGAR,S12,5
SAHARANPUR,S24,1
SALEM,S22,15
SAMASTIPUR,S04,23
SAMBALPUR,S18,3
SAMBHAL,S24,8
SANGLI,S13,44
SANGRUR,S19,12
SANT KABIR NAGAR,S24,62
SARAN,S04,20
SASARAM,S04,34
SATARA,S13,45
SATNA,S12,9
SECUNDERABAD,S01,8
SHAHDOL,S12,12
SHAHJAHANPUR,S24,27
SHEOHAR,S04,4
SHILLONG,S15,1
SHIMLA,S08,4
SHIMOGA,S10,14
SHIRDI,S13,38
SHIRUR,S13,36
SHRAWASTI,S24,58
SIDHI,S12,11
SIKAR,S20,5
SIKKIM,S21,1
SILCHAR,S03,2
SINGHBHUM,S27,10
SIRSA,S07,3
SITAMARHI,S04,5
SITAPUR,S24,30
SIVAGANGA,S22,31
SOLAPUR,S13,42
SONIPAT,S07,6
SOUTH DELHI,U05,7
SOUTH GOA,S05,2
SREERAMPUR,S25,27
SRIKAKULAM,S01,19
SRINAGAR,S09,2
SRIPERUMBUDUR,S22,5
SULTANPUR,S24,38
SUNDARGARH,S18,2
SUPAUL,S04,8
SURAT,S06,24
SURENDRANAGAR,S06,9
SURGUJA,S26,1
TEHRI GARHWAL,S28,1
TENKASI,S22,37
TEZPUR,S03,9
THANE,S13,25
THANJAVUR,S22,30
THENI,S22,33
THIRUVANANTHAPURAM,S11,20
THOOTHUKKUDI,S22,36
THRISSUR,S11,10
TIKAMGARH,S12,6
TIRUCHIRAPPALLI,S22,24
TIRUNELVELI,S22,38
TIRUPATI,S01,40
TIRUPPUR,S22,18
TIRUVALLUR,S22,1
TIRUVANNAMALAI,S22,11
TONK-SAWAI MADHOPUR,S20,12
TRIPURA EAST,S23,2
TRIPURA WEST,S23,1
TUMKUR,S10,19
TURA,S15,2
UDAIPUR,S20,19
UDHAMPUR,S09,5
UDUPI CHIKMAGALUR,S10,15
UJIARPUR,S04,22
UJJAIN,S12,22
ULUBERIA,S25,26
UNNAO,S24,33
UTTARA KANNADA,S10,12
VADAKARA,S11,3
VADODARA,S06,20
VALSAD,S06,26
VELLORE,S22,8
VIDISHA,S12,18
VIJAYAWADA,S01,29
VILUPPURAM,S22,13
VIRUDHUNAGAR,S22,34
VISAKHAPATNAM,S01,21
VIZIANAGARAM,S01,20
WARANGAL,S01,15
WARDHA,S13,8
WAYANAD,S11,4
WEST DELHI,U05,6
YAVATMAL-WASHIM,S13,14
ZAHIRABAD,S01,5
AZAMGARH,S24,69
BAHARAMPUR,S25,10
BALLIA,S24,72
BANGAON,S25,14
BANSGAON,S24,67
BARASAT,S25,17
BARRACKPUR,S25,15
BASIRHAT,S25,18
CHANDAULI,S24,76
DEORIA,S24,66
DIAMOND HARBOUR,S25,21
DOMARIYAGANJ,S24,60
DUM DUM,S25,16
GHATAL,S25,32
GHAZIPUR,S24,75
GHOSI,S24,70
GOPALGANJ,S04,17
GORAKHPUR,S24,64
JADAVPUR,S25,22
JAUNPUR,S24,73
JAYNAGAR,S25,19
KANTHI,S25,31
KOLKATA DAKSHIN ,S25,23
KOLKATA UTTAR,S25,24
KRISHNANAGAR,S25,12
KUSHI NAGAR,S24,65
LALGANJ,S24,68
MACHHLISHAHR,S24,74
MATHURAPUR,S25,20
MIRZAPUR,S24,79
PASCHIM CHAMPARAN,S04,2
PURVI CHAMPARAN,S04,3
RANAGHAT,S25,13
ROBERTSGANJ,S24,80
SALEMPUR,S24,71
SIWAN,S04,18
TAMLUK,S25,30
VAISHALI,S04,16
VALMIKI NAGAR,S04,1
VARANASI,S24,77
